requirement_id,priority,stage,root_cause_group,owner,title,development_status,verification_status,implementation_order
QA38-CURRENT-005,P0,00_BASELINE,Multi-GPT,QA/Tooling,다중 GPT 경로 분류,완료,완료,01
QA38-CURRENT-006,P0,00_BASELINE,Multi-GPT,QA/Tooling,동시 수정 내용 보존 후 현행화,완료,완료,01
QA38-CURRENT-007,P0,00_BASELINE,Protected Path,QA/Tooling,다른 GPT 보호 경로 전면 차단,완료,완료,01
QA38-GOV-001,P0,00_BASELINE,Governance,QA/Governance,Latest master exact SHA,완료,완료,01
QA38-GOV-002,P0,00_BASELINE,Governance,QA/Governance,다른 GPT 보호 경로,완료,완료,01
QA38-GOV-003,P0,00_BASELINE,Governance,QA/Governance,개발 GPT 62개 Backlog Import,완료,완료,01
QA38-GOV-004,P0,00_BASELINE,Governance,QA/Governance,Canonical 169 확인,완료,완료,01
QA38-VERIFY-001,P0,00_BASELINE,Verification,Codex/QA,00_BASELINE,완료,완료,01
QA38-CURRENT-001,P0,01_CANONICAL,Currentization,QA/Governance,최종 QA 요청서 자체 완결성,완료,완료,02
QA38-CURRENT-002,P0,01_CANONICAL,Currentization,QA/Governance,Current 진입점 단일화,완료,완료,02
QA38-CURRENT-003,P0,01_CANONICAL,Currentization,QA/Governance,과거 Requirement 흡수·Continuity,완료,완료,02
QA38-GOV-005,P0,01_CANONICAL,Governance,QA/Governance,승인 없는 Requirement 제거 금지,완료,완료,02
QA38-GOV-006,P0,01_CANONICAL,Governance,QA/Governance,과거 원장 보존,완료,완료,02
QA38-GOV-007,P0,01_CANONICAL,Governance,QA/Governance,상태 축 분리,완료,완료,02
QA38-GOV-008,P0,01_CANONICAL,Governance,QA/Governance,Source 독립 검토,완료,완료,02
QA38-GOV-009,P0,01_CANONICAL,Governance,QA/Governance,Source Defect와 환경 Blocker,완료,완료,02
QA38-GOV-010,P0,01_CANONICAL,Governance,QA/Governance,Codex Continuity,완료,완료,02
QA38-GOV-011,P0,01_CANONICAL,Governance,QA/Governance,AI 결정 승인 상태,완료,완료,02
