finding_id,severity,area,status,evidence_path,issue,required_action,verification
RV-001,P1,Repository,CLOSED,cpf-docs/work/v9i/fdr/r1/evidence/canonical-integrity.json,과거 긴 Workspace finding은 현재 master에서 경로 부재 확인,없음,GitHub tree에서 _session_workspace 부재 확인
RV-002,P1,CI,OPEN,1b35d84801e256e3e6d7e4482918817ec82865dd,Commit에 연결된 CI status/workflow run 없음,QA 환경에서 전체 Build·Test 실행,실행 URL·Exit Code·결과 Evidence
RV-003,P1,Runtime Wiring,REVALIDATION_REQUIRED,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-002.md,Service와 신규 SPI 구현 Bean wiring 미입증,Codex clean-snapshot Context 재검증,Spring Context 정상 시작
RV-004,P1,Security Approval,REVALIDATION_REQUIRED,cpf-docs/work/v9i/fdr/r1/evidence/FDEV-003.md,클라이언트 Boolean approved를 위험 조치 승인으로 신뢰,Codex clean-snapshot approval 통합 재검증,승인 없음/만료/권한 없음 거부 Test
RV-005,P2,Progress Ledger,FIXED_IN_OVERLAY,cpf-docs/work/v9i/results/PROGRESS_STATUS.csv,Request 30/32인데 100%로 기록,93.75%로 수정,30 / 32 = 93.75 확인
RV-006,P2,Dataset Navigation,DOCUMENTED_IN_OVERLAY,cpf-docs/work/v9i/results/REQUIREMENT_STATUS.csv,헤더 전용 파일이 단일 현재 정본처럼 보임,Index + 4 Parts가 논리 정본임을 명시,"Part 행 합계 47,745"
RV-007,P1,Target Runtime,OPEN,cpf-docs/work/v9i/results/ENVIRONMENT_CAPABILITY_MATRIX.csv,Java25·DB3·Browser·Multi-process 직접 실행 미완료,QA Target 환경 실행,NOT_EXECUTED 제거 전 실제 PASS Evidence
QA-R5I-001,P0,Management/Baseline,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-001,"최신 master는 e7cc9ada(06_10)인데 REVIEW_INDEX, FINAL_MANAGEMENT_STATE, FINAL_INTEGRITY, fdr/r4 BASELINE/REQUIREMENT_STATUS/PACKAGE_MANIFEST가 a8be27/2929163/2a0136/cb3b2a를 현재 기준처럼 혼용한다.","최신 master에서 instruction_basis_sha, work_start_sha, documentation_delta_sha, result_commit_sha, evidence_source_sha를 분리하고 모든 현재 상태·Manifest·Evidence를 재생성한다.","모든 current/result 문서의 result_commit_sha=e7cc9ada, Evidence별 실제 SHA 일치, 과거 SHA는 historical 필드에만 존재."
QA-R5I-002,P0,Runtime/CI,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-002,"e7cc9ada에 연결된 GitHub status와 workflow run이 0건이며 Java25/Gradle9.1, full npm verify, Playwright, Pester, DB3, broker/multi-process가 실행되지 않았다. 추가 독립 환경 probe에서도 GitHub DNS 실패, JDK 21, Node 22.16.0, PowerShell 부재가 확인되어 Target Runtime PASS를 만들 수 없었다.","clean checkout exact SHA에서 지정 Target Runtime 명령을 실행하고 URL, tool version, command, exit code, stdout/stderr hash, artifact hash를 제출한다.","모든 필수 Gate PASS, git status clean, 실행 SHA와 Evidence SHA 동일. 하나라도 미실행/실패면 QA 미통과."
QA-R5I-003,P0,Evidence Integrity,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-003,"idempotency_runtime.txt는 0 byte인데 Ledger는 PASS이며, Requirement CSV는 .log를 참조하지만 저장 파일은 .txt이다. openapi_idempotent_1/2의 935f... 해시는 실제 OpenAPI 22d22...와 불일치한다.",Evidence를 실제 명령 출력으로 재생성하고 경로·확장자·SHA를 원장/Manifest와 exact match한다. 빈 Evidence를 금지한다.,"orphan/missing/empty/hash mismatch 0, 모든 Evidence에 command/environment/time/exit/source SHA 포함."
QA-R5I-004,P0,Governance/Delete Safety,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-004,06_08 기준에 존재하던 cpf-document-quality-r9.svg가 최신 master에서 삭제되었고 Documentation Delete Manifest는 삭제를 지시하지만 사용자 승인 Evidence가 없다.,명시 승인 전 해당 SVG를 복원하거나 승인 ID/일시/범위를 원장에 기록한다. 다른 보호 문서 삭제 여부도 재검사한다.,승인 없는 삭제 0; 삭제 시 exact path 승인과 before/after manifest 존재.
QA-R5I-005,P0,Approval Policy Binding,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-005,"requestApproval은 client가 policyCode/version을 주면 enabled/effective 기간을 검증하지 않고, 해당 정책을 ownerModule/ownerCommand/targetType과 서버 Registry로 결속하지 않는다.",정책 선택은 서버 action/owner/command/target Registry로 제한하고 explicit version도 enabled/effective/authorized override를 검증한다. negative integration test를 추가한다.,expired/disabled/future/wrong-action/wrong-owner/wrong-target policy 요청 모두 4xx; Owner mutation 0; 감사 기록 존재.
QA-R5I-006,P0,Secure Default/Profile,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-006,application.yml이 spring.profiles.active=local을 기본값으로 고정하고 local profile은 integration-closure와 ephemeral providers를 기본 true로 한다.,active profile 기본값을 제거하고 prod/unknown 환경에서 ephemeral provider를 절대 활성화하지 않는 fail-fast guard와 배포 테스트를 추가한다.,profile 미지정/잘못된 profile에서 운영기능 비활성 또는 startup fail; prod에서 ephemeral bean 0.
QA-R5I-007,P0,Spring Bean Wiring,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-007,customerOverridesWinOverDefaultProviders Test는 CpfDataQualityOperations만 공급하지만 Configuration의 Owner Adapter는 별도 CpfDataQualityCorrectionPort를 필수 주입한다. ephemeral bean은 MissingBean(query) 조건으로 생성되지 않아 Context 성공 기대와 Bean graph가 모순된다.,Query/Correction capability를 명시적으로 pair 검증하거나 고객 Owner Adapter override를 허용하고 실제 Gradle Context Test를 실행한다.,disabled/default/customer override/duplicate/missing provider Context Test 모두 실제 PASS; Bean 목록 Evidence 제출.
QA-R5I-008,P0,API Contract Parity,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-008,Webhook replay expectedVersion은 OpenAPI/UI minimum 0이나 Service는 1 이상을 요구한다. reason/idempotencyKey의 OpenAPI max/min 제약은 Controller/Service에서 동일하게 강제되지 않는다.,단일 Validation DTO/Bean Validation에서 제약을 정의하고 runtime-generated OpenAPI와 generated client를 재생성한다.,"0/1 경계, 7/8/128/129 idempotency, reason 500/501 contract test가 Controller+OpenAPI+client에서 동일 결과."
QA-R5I-009,P0,Sensitive Data Exposure,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-009,AdmApprovalService.detail은 COMMAND_PAYLOAD_SNAPSHOT을 포함한 raw request Map을 반환하고 AdmApprovalController detail/create/decision/execute/reconcile 및 ApprovalsPage StructuredData가 이를 그대로 노출한다.,외부 응답 전용 DTO를 도입해 payloadSnapshot을 제거/마스킹하고 민감 필드 접근 권한·감사·negative snapshot test를 적용한다.,API/UI/로그/Evidence에서 원문 corrected/secret/PII 0; 승인 엔진 내부 hash/target/audit reference만 노출.
QA-R5I-010,P1,Approval JSON Integrity,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-010,"Jackson/JSON.parse 기본 파서는 exact duplicate key를 마지막 값으로 덮어쓰고, JS Number는 2^53 초과 정수와 고정소수 정밀도를 손실한다. 현재 canonical hash는 strict duplicate/BigDecimal 설정이 없다.","서버 strict duplicate detection + BigInteger/BigDecimal parsing, 프론트 raw JSON strict parser 또는 typed form을 적용한다.","duplicate key, Unicode collision, 64-bit integer, high-scale decimal corpus가 browser/server 동일 canonical hash로 PASS."
QA-R5I-011,P1,Data Quality Null Handling,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-011,Map.copyOf를 record/corrected payload에 사용하여 null field가 포함된 데이터 품질 검증·정정 요청이 NPE로 실패한다.,null을 허용하는 immutable copy 또는 명시 schema validation을 적용하고 null/empty/oversize 경계 테스트를 추가한다.,null field는 규칙 위반 결과로 처리되고 500/NPE가 발생하지 않는다.
QA-R5I-012,P1,Data Quality Replay/Concurrency,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-012,replay는 expectedVersion 없이 동작하고 validate를 재호출하여 실패 시 새 quarantineId를 생성한다. 동시 correction/replay에서 stale update·중복 quarantine이 가능하다.,Replay CAS/operation id를 추가하고 validation-only 경로와 quarantine creation을 분리하며 parent/replay lineage를 저장한다.,"stale replay 409, concurrent replay 1회, failed replay 신규 orphan 0, reconcile 수렴."
QA-R5I-013,P1,Approval Policy Lifecycle,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-013,Versioned 정책을 same policyCode/version으로 UPDATE하고 steps를 DELETE/INSERT한다. PolicyRequest.reason과 breakGlassAllowedYn은 실행/감사에 반영되지 않는다.,"사용 중/활성 정책 Version immutable, 새 Version 생성, optimistic lock, 변경 reason/audit, break-glass 정책 실제 enforcement를 구현한다.","same version overwrite 거부, concurrent save 409, policy audit before/after hash, break-glass negative test PASS."
QA-R5I-014,P1,Approval Idempotency/DB Integration,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-014,requestKey/decision idempotency는 선조회 후 INSERT/UPDATE하며 실제 DB unique conflict 재조회/수렴 테스트가 없다. 변경된 테스트는 대부분 Mockito이며 3 Vendor transaction/CAS를 검증하지 않는다.,DB unique constraint 기반 insert-or-read와 duplicate exception replay를 구현하고 DB3 동시성 통합 테스트를 수행한다.,"2+ process same key에서 mutation/request/decision 1건, 모든 호출 동일 result, 500 0."
QA-R5I-015,P1,DB3 Runner Safety,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-015,DB runner는 JDBC URL/username을 argv로 전달하고 URL 내 credential/query secret을 금지·redact하지 않는다. WaitForExit에 timeout/cancellation이 없다. 또한 ProcessStartInfo.Environment를 정리하지 않아 부모 프로세스의 CPF_RUNTIME_*_PASSWORD 및 기타 Secret 환경변수가 child로 상속될 수 있다.,"URL credential validation/redaction, config/stdin/file descriptor 방식, vendor별 timeout·kill·timeout Evidence를 추가한다. child environment를 clear 후 명시 allowlist만 주입하고 Password/Token inheritance negative test를 추가한다.","secret corpus argv/log/audit 0, timeout 시 child tree 종료 및 명확한 exit code/UNKNOWN result. child environment secret 0, inherited secret canary 0."
QA-R5I-016,P1,ADM UX/Permission,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-016,Integration Closure 화면은 CRITICAL route이나 query/approval/execute/replay 버튼별 권한 상태를 반영하지 않고 audit link도 없다. Playwright/role/accessibility 검증도 미실행이다.,"operation permission model로 버튼 hide/disable/reason 제공, audit/operation link, 401/403/409 focus flow 및 browser matrix를 구현한다.","role별 버튼 matrix, keyboard/focus/aria/viewport, error injection Playwright PASS."
QA-R5I-017,P1,Frontend Build Reproducibility,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-017,"Gradle frontendBuild inputs에 openapi/, scripts/, orval.config.ts 등 generator 입력이 빠져 있어 변경 후 stale output을 up-to-date로 재사용할 수 있다. install marker도 Node/npm version을 입력으로 추적하지 않는다.",모든 generator/build input과 tool version을 Gradle inputs로 선언하고 clean/incremental 두 경로 artifact hash를 비교한다.,OpenAPI/script/tool version 1 byte 변경 시 task 재실행; clean과 incremental artifact hash 동일.
QA-R5I-018,P1,OpenAPI Source of Truth,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-018,enrich script의 ensureOperation은 Controller/Runtime에 없는 route도 정적 spec에 생성하고 security/error를 수동 삽입한다.,runtime/controller-generated document를 입력으로 사용하고 missing route/operation이면 생성이 아니라 실패하도록 변경한다.,Controller 제거/rename/security 변경 mutation test에서 OpenAPI Gate FAIL; runtime snapshot과 release spec exact parity.
QA-R5I-019,P1,QA Gate Coverage,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-019,QA38 DB parity loop는 cpf-starters 1단계 directory만 검사하여 data/... 등 중첩 module SQL을 놓친다. AutoConfiguration target 일부는 SHA에 묶이지 않은 hard-coded allowlist로 존재 검사를 우회한다.,canonical catalog modules를 순회해 DB/Source를 검사하고 allowlist를 제거하거나 exact path+hash catalog로 검증한다.,중첩 module SQL 누락/AutoConfiguration 삭제 mutation test가 반드시 FAIL.
QA-R5I-020,P1,Documentation Evidence Matrix,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-020,CPF_SOURCE_EVIDENCE_MATRIX는 모두 a8be27 기준이며 integrationClosureApi/Test를 존재하지 않는 generated 경로로 기록하고 일부 OpenAPI 경로도 실제 Repository와 불일치한다.,e7cc9ada source tree로 path existence/hash를 재생성하고 미검증 항목을 완료로 표기하지 않는다.,"matrix 경로 100% 존재, blob/hash 일치, runtime 미실행 status=미검증."
QA-R5I-021,P2,Public API Migration,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-021,CpfDataQualityOperations에 client boolean approved 시그니처가 Deprecated default method로 남아 있다.,호환 기간/제거 버전/사용처 0 증거를 문서화하고 다음 major에서 제거하거나 별도 compatibility adapter로 격리한다.,"production consumer 0, deprecation migration test/document, major removal plan 존재."
QA-R5I-022,P2,Build Graph Reproducibility,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-022,settings.gradle이 local-domains 아래 임의 included build를 별도 opt-in 없이 자동 포함한다.,명시 property/allowlist와 manifest hash가 있을 때만 include하고 Evidence에 mounted domains를 기록한다.,fresh clone/로컬 폴더 존재 환경의 기본 build graph 동일; opt-in 시 manifest 검증.
QA-R5I-023,P2,Frontend Approval Key UX,OPEN,cpf-docs/work/v9i/qa/r5i/QA_FINDINGS.csv#QA-R5I-023,ApprovalsPage의 requestKey/decision idempotencyKey는 초기 1회 생성 후 성공·새 요청 시 자동 회전되지 않아 다른 요청에 재사용되기 쉽다.,"성공 확정/새 작업 시 key rotation, pending retry 시만 동일 key 유지, 상태 표시와 테스트를 추가한다.","timeout retry same key, success/new draft new key, cross-request reuse UI 차단."
