exact_id,requirement_id,finding_id,source_path,source_symbol,consumer_path,test_path,runtime_gate,development_status,verification_status,severity,evidence_id,evidence_path,evidence_sha256,basis_sha,qa_comment,qa_status
FILELOG-001,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,bounded recovery spool,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,미검증,,FILELOG-001,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,maxEntries bounded,PASS_STATIC_RUNTIME_UNVERIFIED
FILELOG-002,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,structured JSON recovery checksum,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,완료,,FILELOG-002,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,cpfRecoveryChecksum injected into JSON,PASS_STATIC
FILELOG-003,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,masking before spool,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,완료,,FILELOG-003,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,SensitiveDataMasker applied,PASS_STATIC
FILELOG-004,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,spool owner-only permission,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,미검증,,FILELOG-004,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,best-effort permissions implemented,PASS_STATIC_RUNTIME_UNVERIFIED
FILELOG-005,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,checksum corruption quarantine,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,미검증,,FILELOG-005,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,checksum mismatch quarantine,PASS_STATIC_RUNTIME_UNVERIFIED
FILELOG-006,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,bad envelope quarantine,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,미검증,,FILELOG-006,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,bad envelope quarantine,PASS_STATIC_RUNTIME_UNVERIFIED
FILELOG-007,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,retry/backoff,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,미검증,,FILELOG-007,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,FileSystemException keeps spool record with backoff,PASS_STATIC_RUNTIME_UNVERIFIED
FILELOG-008,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,writer failure -> enqueue,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,미검증,,FILELOG-008,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,writer enqueue path present,PASS_STATIC_RUNTIME_UNVERIFIED
FILELOG-009,CPF-LOGFAIL,,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,restart replay,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,완료,미검증,,FILELOG-009,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,constructor/before append/close replay paths,PASS_STATIC_RUNTIME_UNVERIFIED
FILELOG-010,CPF-LOGFAIL,QA-A-FINAL-NEW-013,cpf-core/src/main/java/com/cpf/core/common/logging/file/**,replay path containment/symlink defense,CpfFileLogWriter -> CpfFileLogRecoverySpool,CpfFileLogRecoveryContractTest.java,FileLog disk/process-kill/restart recovery,재개발 요청,실패,P0,FILELOG-010,FILELOG_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,direct target Files.writeString bypasses writer hardened path checks,FAIL
