command,exit_code,actual_result
GitHub Connector latest master/read files,0,baseline fc207ac5560da59f352ee0c5f83199177f2987b4 read successfully
git clone https://github.com/freeangelsun/202412_01_CPF,128,Could not resolve host: github.com
java -version,0,OpenJDK 21.0.10
javac -version,0,javac 21.0.10
gradle --version,127,command not found
pwsh --version,127,command not found
docker --version,127,command not found
Center-Cut isolated javac harness,0,PASS assertions=15
Claim isolated javac harness,0,PASS assertions=7
Scheduler isolated javac harness,0,PASS assertions=7
Runtime Command isolated javac harness,0,PASS assertions=6
git diff --no-index --check changed files,0,24 product files clean
local secret-like scan,0,no matches
Host ServiceManager isolated javac harness,0,PASS assertions=8
Host AgentController postcondition isolated javac harness,0,PASS assertions=10
Spring Batch stale-link reconcile isolated javac harness,0,PASS assertions=6
Remote UNKNOWN approved reconcile isolated javac harness,0,PASS assertions=39
Scheduler DB-time integration candidate harness,0,PASS Java assertions=30; SQL guard assertions=52; integration owner pending
Scheduler unsafe UNKNOWN SQL guard isolated javac,0,PASS compile; one serial warning in test stub only
Scheduler unsafe UNKNOWN SQL guard behavior,0,PASS assertions=11; unsafe find/claim SQL rejected before external launch
Manual semantic Work Item mapping review,0,80/80 ties resolved to contract/implementation/verification/failure-recovery Work Items; central assignment untouched
REV-005 Requirement/Scenario manual mapping consistency validation,0,80/80 Requirement and linked Scenario flags/basis synchronized; central assignment untouched
REV-005 atomic ID/evidence/consumer validation,0,141/3136/4564/19 exact equality; 7700 anchors; missing/duplicate/unassigned/consumer blank=0
REV-005 product source hygiene and Scheduler dual-SQL guard validation,0,24 product files clean; find and claim UNKNOWN auto-dispatch both rejected; isolated harness 11 assertions PASS
REV-005 updated Scheduler source isolated javac and behavior rerun,0,OpenJDK 21 isolated compile PASS (stub serial warning only); behavior PASS scheduler assertions=11
