requirement_id,origin,priority,area,requirement,canonical_mapping,related_defects,owner,consumer,acceptance_criteria,verification_method,regression_protection,development_status,verification_status,phase
QA35-REQ-001,QA35_V2_ACTIVE,P0,Truth Reset,latest exact SHA 기준으로 QA34 20건을 실제 Source와 실행 결과로 재판정하고 Frontend 모순 항목은 개발 완료를 취소한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-001;QA35-DF-009,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,QA34 Matrix/Unresolved/Completion Report가 동일 상태를 사용하며 근거 없는 완료 0건,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,작업 전
QA35-REQ-002,QA35_V2_ACTIVE,P0,Current Request,CPF_CURRENT_WORK_REQUEST를 QA35 제품 마감 요청으로 교체하고 ‘검증 한 건만 남음’ 표현을 제거한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-001,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,Current Request가 QA35 Matrix·Review·수용조건을 가리킴,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,작업 전
QA35-REQ-003,QA35_V2_ACTIVE,P0,Governance/Guide,README exact-SHA Evidence 기준을 복원하고 모든 Guide 기준 SHA·현재 제한사항을 latest Source와 재조정한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-024;QA35-DF-025,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"README/Guide Drift Gate 통과, stale SHA와 해결된 blocker 0건",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,작업 전
QA35-REQ-004,QA35_V2_ACTIVE,P0,OpenAPI Canonical,Tracked OpenAPI의 Identity 정책을 단일화한다. Snapshot에는 Git SHA를 넣지 않고 runtime origin·operation count·canonical hash를 사용하며 Release SHA는 Evidence만 소유한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-002;QA35-DF-003,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,ADM/BZA validate-openapi와 marker writer가 동일 Snapshot을 통과,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Frontend
QA35-REQ-005,QA35_V2_ACTIVE,P0,OpenAPI Coverage,ADM/BZA 실제 Backend Runtime에서 전체 Public Controller·DTO·Error·Validation OpenAPI를 Export한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-002;QA35-DF-005,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"Controller inventory 대비 operation 누락 0, 인증 전용 snapshot 금지, empty schema/additionalProperties 자유 Map 제거",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Frontend
QA35-REQ-006,QA35_V2_ACTIVE,P0,Generated Client,"ADM/BZA Orval vue-query Client, compatibility client, operation contract, schemaVersion 3 marker를 실제 생성해 Git에 포함한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-003;QA35-DF-004,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"required generated artifact 전부 존재, marker schema 3/hash 일치",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Frontend
QA35-REQ-007,QA35_V2_ACTIVE,P0,Generation Reproducibility,clean npm ci 후 generate:api를 실행하고 tracked OpenAPI/generated/lock diff 0을 강제한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-003;QA35-DF-004,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"fresh clone generate 후 git diff --exit-code 0, stale/missing negative fixture 실패",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Frontend
QA35-REQ-008,QA35_V2_ACTIVE,P0,Frontend Preflight,Runtime 외부 의존 없이 fresh clone에서 validate/generate/verify/consumer/lint/typecheck/unit/build를 먼저 통과시키는 deterministic Gate를 만든다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-004;QA35-DF-027,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"ADM/BZA preflight Exit 0, Runtime URL·DB 없이 실행 가능",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Frontend
QA35-REQ-009,QA35_V2_ACTIVE,P0,CI,master Push마다 Java 25 empty-cache와 ADM/BZA deterministic preflight를 실행하는 CI Workflow와 Required Status를 추가한다.,작업 전 중복검사 및 Mapping 필수,QA35-DF-008;QA35-DF-027,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,"latest SHA workflow run/status 존재, 실패 시 merge/release 차단",QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,CI
QA35-REQ-010,QA35_V2_ACTIVE,P0,Source Closure,"qa35 source closure가 Static Token뿐 아니라 generated verifier, compile/typecheck, operation/menu coverage, negative fixture를 실행하게 한다.",작업 전 중복검사 및 Mapping 필수,QA35-DF-007,작업 전 리뷰에서 확정,실제 Product Consumer를 Source로 확정,Source Closure가 의도적 stale OpenAPI·schema2 marker·missing artifact fixture를 모두 실패시킴,QA35 Matrix의 구체 명령과 exact-SHA Evidence,기존 QA34 보안·Build·Batch·Gateway 성공 기능 유지,미구현,미검증,Gate
