work_item_id,canonical_requirement_id,assignment_scope,axis,priority,owner,mandatory_results,scenario_classes,applicable_gates,source_consumer_evidence,development_status,verification_status,remaining_gap,cross_session_target,evidence_path,next_action
CPF-WP-GWY-ENTRY-01-CONTRACT_OWNERSHIP,GWY-ENTRY,DEVGPT-6D_ASSIGNED,CONTRACT_OWNERSHIP,P1,cpf-gateway,"Canonical Owner Module·Package·State Owner와 실제 Consumer를 코드 기준으로 확정한다. || Public API·SPI·Internal, 입력·출력·오류·lifecycle·thread-safety·version 계약을 정의한다. || 역방향/순환 의존, Internal 참조, 선택 OSS type 노출, Dual Primary와 owner 없는 공통기능을 제거 또는 이관 대상으로 등록한다. || Local/Remote/Async/Batch 등 적용 topology에서 계약 동등성과 trust boundary를 정의한다.",contract compatibility;unsupported capability;invalid configuration;internal access negative fixture,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/CpfGatewayApplication.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryRouteConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewayConfiguration.java ; External request → Spring Cloud Gateway route → CpfScgPrimaryHandler,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ENTRY-02-IMPLEMENTATION_CONSUMER,GWY-ENTRY,DEVGPT-6D_ASSIGNED,IMPLEMENTATION_CONSUMER,P1,cpf-gateway,"Interface/DTO/Marker가 아닌 안전한 기본 구현·Provider·AutoConfiguration·상태 저장을 제공한다. || Bean/Route/SQL/API/Frontend/Script를 실제 Product Consumer 호출 경로에 연결한다. || 설정 safe default, validation, capability detection, lifecycle start/stop와 resource cleanup을 구현한다. || Consumer 없는 추상화나 Sample-only 구현이면 완료하지 않고 실제 Consumer 연결 또는 통합/폐기 후보로 처리한다.",normal consumer flow;missing provider;invalid property;startup/shutdown;resource cleanup,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/CpfGatewayApplication.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryRouteConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewayConfiguration.java ; External request → Spring Cloud Gateway route → CpfScgPrimaryHandler,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ENTRY-03-VERIFICATION_EVIDENCE,GWY-ENTRY,DEVGPT-6D_ASSIGNED,VERIFICATION_EVIDENCE,P1,cpf-gateway,"연결 CPF-FR Requirement와 CPF-SC Scenario를 논리 원장에서 전수 추출해 이 Work Package에 매핑한다. || 목표 환경을 먼저 실제 실행하고, 불가능할 때 최대 대체검증과 남은 실제 Runtime 차이를 분리한다. || 각 Scenario에 Test Method·Assertion·실제 결과·Evidence를 개별 연결한다. || 명령, 환경/version, 시간, exit code, report/artifact hash, sanitization과 baseline/working-tree 상태를 기록한다.",direct validation;alternative validation;negative fixture;regression;evidence schema failure,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/CpfGatewayApplication.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryRouteConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewayConfiguration.java ; External request → Spring Cloud Gateway route → CpfScgPrimaryHandler,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ENTRY-04-FAILURE_RECOVERY,GWY-ENTRY,DEVGPT-6D_ASSIGNED,FAILURE_RECOVERY,P1,cpf-gateway,"정상, invalid, timeout, cancellation, dependency failure, partial failure와 resource exhaustion을 구현한다. || side-effect 전/후, commit/send/ACK/response loss의 UNKNOWN을 구분하고 durable state에 기록한다. || Retry budget, idempotency, lease/fencing, restart/reclaim, reconcile/compensation/manual resolution을 적용한다. || 다중 JVM/process와 process-kill 이후 중복·stale writer·blind retry를 방지한다.",timeout;cancel;dependency outage;partial failure;unknown result;duplicate;process kill;reconcile,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/CpfGatewayApplication.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryRouteConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewayConfiguration.java ; External request → Spring Cloud Gateway route → CpfScgPrimaryHandler,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ENTRY-05-DATA_MIGRATION,GWY-ENTRY,DEVGPT-6D_ASSIGNED,DATA_MIGRATION,P1,cpf-gateway,DB/SQL/Query 영향 여부를 반드시 판정하고 N/A면 실제 호출 경로 근거를 기록한다. || Canonical Model/Query Contract→Generator/Template→Generated SQL/Mapper→Fresh Init/Seed→Migration/Rollback/Reapply 순서로 변경한다. || MariaDB/PostgreSQL/Oracle의 type/default/paging/locking/error/index/FK/transaction 차이를 전수 반영한다. || Repository/Mapper/DTO/Service/API/Frontend/Batch/ADM/BZA/Sample/EDU 소비자를 모두 점검한다.,fresh install;double seed;upgrade;migration interruption;rollback/forward recovery;drift;vendor difference,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-05-DB-QUERY;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/CpfGatewayApplication.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryRouteConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewayConfiguration.java ; External request → Spring Cloud Gateway route → CpfScgPrimaryHandler,미완료,교차 세션 DB lifecycle 미검증,Oracle/PostgreSQL/MariaDB install/upgrade/rollback/runtime-query lifecycle is owned by DEVGPT-6E.,DEVGPT-6E,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Route to assigned cross-session owner without stopping remaining 6D work
CPF-WP-GWY-ROUTING-01-CONTRACT_OWNERSHIP,GWY-ROUTING,DEVGPT-6D_ASSIGNED,CONTRACT_OWNERSHIP,P1,cpf-gateway,"Canonical Owner Module·Package·State Owner와 실제 Consumer를 코드 기준으로 확정한다. || Public API·SPI·Internal, 입력·출력·오류·lifecycle·thread-safety·version 계약을 정의한다. || 역방향/순환 의존, Internal 참조, 선택 OSS type 노출, Dual Primary와 owner 없는 공통기능을 제거 또는 이관 대상으로 등록한다. || Local/Remote/Async/Batch 등 적용 topology에서 계약 동등성과 trust boundary를 정의한다.",contract compatibility;unsupported capability;invalid configuration;internal access negative fixture,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/route/**|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayRouteSynchronizer.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgTargetResolver.java ; External request → CpfScgPrimaryHandler/route runtime → backend → ledger/audit completion,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ROUTING-02-IMPLEMENTATION_CONSUMER,GWY-ROUTING,DEVGPT-6D_ASSIGNED,IMPLEMENTATION_CONSUMER,P1,cpf-gateway,"Interface/DTO/Marker가 아닌 안전한 기본 구현·Provider·AutoConfiguration·상태 저장을 제공한다. || Bean/Route/SQL/API/Frontend/Script를 실제 Product Consumer 호출 경로에 연결한다. || 설정 safe default, validation, capability detection, lifecycle start/stop와 resource cleanup을 구현한다. || Consumer 없는 추상화나 Sample-only 구현이면 완료하지 않고 실제 Consumer 연결 또는 통합/폐기 후보로 처리한다.",normal consumer flow;missing provider;invalid property;startup/shutdown;resource cleanup,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/route/**|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayRouteSynchronizer.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgTargetResolver.java ; External request → CpfScgPrimaryHandler/route runtime → backend → ledger/audit completion,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ROUTING-03-VERIFICATION_EVIDENCE,GWY-ROUTING,DEVGPT-6D_ASSIGNED,VERIFICATION_EVIDENCE,P1,cpf-gateway,"연결 CPF-FR Requirement와 CPF-SC Scenario를 논리 원장에서 전수 추출해 이 Work Package에 매핑한다. || 목표 환경을 먼저 실제 실행하고, 불가능할 때 최대 대체검증과 남은 실제 Runtime 차이를 분리한다. || 각 Scenario에 Test Method·Assertion·실제 결과·Evidence를 개별 연결한다. || 명령, 환경/version, 시간, exit code, report/artifact hash, sanitization과 baseline/working-tree 상태를 기록한다.",direct validation;alternative validation;negative fixture;regression;evidence schema failure,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/route/**|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayRouteSynchronizer.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgTargetResolver.java ; External request → CpfScgPrimaryHandler/route runtime → backend → ledger/audit completion,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ROUTING-04-FAILURE_RECOVERY,GWY-ROUTING,DEVGPT-6D_ASSIGNED,FAILURE_RECOVERY,P1,cpf-gateway,"정상, invalid, timeout, cancellation, dependency failure, partial failure와 resource exhaustion을 구현한다. || side-effect 전/후, commit/send/ACK/response loss의 UNKNOWN을 구분하고 durable state에 기록한다. || Retry budget, idempotency, lease/fencing, restart/reclaim, reconcile/compensation/manual resolution을 적용한다. || 다중 JVM/process와 process-kill 이후 중복·stale writer·blind retry를 방지한다.",timeout;cancel;dependency outage;partial failure;unknown result;duplicate;process kill;reconcile,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-05-DB-QUERY;GATE-06-STATE-IDEMP;GATE-07-MULTI-INSTANCE;GATE-08-UNKNOWN-RECOVERY;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/route/**|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayRouteSynchronizer.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgTargetResolver.java ; External request → CpfScgPrimaryHandler/route runtime → backend → ledger/audit completion,완료,대체검증 또는 정적 검증 완료; Java25/정식 Runtime 재확인,Java25 Gradle 9.1/full provider runtime remains an external environment difference.,,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,"Codex independent review, then QA latest-master revalidation"
CPF-WP-GWY-ROUTING-05-DATA_MIGRATION,GWY-ROUTING,DEVGPT-6D_ASSIGNED,DATA_MIGRATION,P1,cpf-gateway,DB/SQL/Query 영향 여부를 반드시 판정하고 N/A면 실제 호출 경로 근거를 기록한다. || Canonical Model/Query Contract→Generator/Template→Generated SQL/Mapper→Fresh Init/Seed→Migration/Rollback/Reapply 순서로 변경한다. || MariaDB/PostgreSQL/Oracle의 type/default/paging/locking/error/index/FK/transaction 차이를 전수 반영한다. || Repository/Mapper/DTO/Service/API/Frontend/Batch/ADM/BZA/Sample/EDU 소비자를 모두 점검한다.,fresh install;double seed;upgrade;migration interruption;rollback/forward recovery;drift;vendor difference,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-03-HTTP-API;GATE-05-DB-QUERY;GATE-07-MULTI-INSTANCE;GATE-16-COMPATIBILITY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,cpf-gateway/src/main/java/com/cpf/gateway/route/**|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayRouteSynchronizer.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgTargetResolver.java ; External request → CpfScgPrimaryHandler/route runtime → backend → ledger/audit completion,미완료,교차 세션 DB lifecycle 미검증,Oracle/PostgreSQL/MariaDB install/upgrade/rollback/runtime-query lifecycle is owned by DEVGPT-6E.,DEVGPT-6E,cpf-docs/evidence/development/DEVGPT-6D_09dd686/TEST_AND_EVIDENCE.md,Route to assigned cross-session owner without stopping remaining 6D work
