work_item_id,priority,work_package,source_requirement_ids,developer_status,verification_status,overall_status,development_completion_reason,current_static_evidence,physical_verification_reason,runtime_acceptance,source_identity
WP-R00.01,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,REOPEN-16,완료,미검증,미검증,Current Canonical/Inventory/Source Identity/Current-only/Delete 정책을 현행화했고 Current Final/Hygiene/Garbage Gate가 PASS했다. 개발 구현 완료이며 최종 물리 검증은 별도다.,verify-cpf-current-final=PASS; NXT3 hygiene=PASS; repository garbage=PASS; Delete target residual=0,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,해당 없음,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R00.02,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,REOPEN-17,완료,미검증,미검증,Current Canonical/Inventory/Source Identity/Current-only/Delete 정책을 현행화했고 Current Final/Hygiene/Garbage Gate가 PASS했다. 개발 구현 완료이며 최종 물리 검증은 별도다.,verify-cpf-current-final=PASS; NXT3 hygiene=PASS; repository garbage=PASS; Delete target residual=0,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,해당 없음,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R00.03,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,GOV-CURRENT-REQUEST,완료,미검증,미검증,Current Canonical/Inventory/Source Identity/Current-only/Delete 정책을 현행화했고 Current Final/Hygiene/Garbage Gate가 PASS했다. 개발 구현 완료이며 최종 물리 검증은 별도다.,verify-cpf-current-final=PASS; NXT3 hygiene=PASS; repository garbage=PASS; Delete target residual=0,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,해당 없음,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R00.04,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,GOV-CLOSURE-INVENTORY,완료,미검증,미검증,Current Canonical/Inventory/Source Identity/Current-only/Delete 정책을 현행화했고 Current Final/Hygiene/Garbage Gate가 PASS했다. 개발 구현 완료이며 최종 물리 검증은 별도다.,verify-cpf-current-final=PASS; NXT3 hygiene=PASS; repository garbage=PASS; Delete target residual=0,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,해당 없음,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R00.05,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,GOV-DOC-SYNC,완료,미검증,미검증,Current Canonical/Inventory/Source Identity/Current-only/Delete 정책을 현행화했고 Current Final/Hygiene/Garbage Gate가 PASS했다. 개발 구현 완료이며 최종 물리 검증은 별도다.,verify-cpf-current-final=PASS; NXT3 hygiene=PASS; repository garbage=PASS; Delete target residual=0,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,해당 없음,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R00.06,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,GOV-GARBAGE-ZERO,완료,미검증,미검증,Current Canonical/Inventory/Source Identity/Current-only/Delete 정책을 현행화했고 Current Final/Hygiene/Garbage Gate가 PASS했다. 개발 구현 완료이며 최종 물리 검증은 별도다.,verify-cpf-current-final=PASS; NXT3 hygiene=PASS; repository garbage=PASS; Delete target residual=0,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,해당 없음,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R00.07,P0,WP-R00 Source Identity / Reopen Ledger / Current-only Governance,GOV-TEST-STRENGTH;REOPEN-14;REOPEN-15,완료,미검증,미검증,Current Canonical/Inventory/Source Identity/Current-only/Delete 정책을 현행화했고 Current Final/Hygiene/Garbage Gate가 PASS했다. 개발 구현 완료이며 최종 물리 검증은 별도다.,verify-cpf-current-final=PASS; NXT3 hygiene=PASS; repository garbage=PASS; Delete target residual=0,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Fresh 준비→실제 거래→오류/경계/부분실패/UNKNOWN/동시성/kill/recovery/reconcile→cleanup→rerun→regression 전 범위,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.01,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,RT-91;RT-92;RT-94;RT-95;RT-96;RT-106;RT-109;RT-140;IDE-CPFATTR,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Java25 Gradle clean build/test/publication + member/external/scratch generated build + One-WAS start/transaction/stop,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.02,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-BUILD-PATH,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Java25 clean build + fresh IDE import 후 실제 starter consumer bootstrap,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
WP-R01.03,P0,WP-R01 Immediate Build / Dependency / Runtime Cascade Blockers,IDE-BATCH-RETENTION,완료,미검증,미검증,"Canonical Inventory의 요구 Source/Consumer 구현을 Current Source에 유지·현행화했다. 이번 Closure에서 신규 Source 미완료를 남기지 않았으며, exact-source Physical Acceptance는 검증 상태에서 별도 관리한다.",Current Source/Consumer mapping + canonical/targeted static verification; row runtime acceptance retained as 미검증,해당 Requirement의 runtime_high_intensity_acceptance를 Current exact Source에서 전부 실행하지 못함. Java25/Docker/pwsh/DB3/Browser/Performance/Windows-Linux 환경이 필요한 항목은 PASS로 승계하지 않음.,Batch control-plane 기동 후 retention query/execute/auth/audit/failure/retry 실제 경로,b162d358b4f127f7c4e3a816f89dcc8ab5fc2f66423ec7c37cbbefd6414fde9e
