defect_id,priority,classification,status,area,source_or_command,finding,impact,root_cause,required_fix,acceptance_gate,baseline_sha,qa32_completion_effect
QA33-DF-001,P0,SOURCE_CONFIRMED,실패,Baseline,cpf-docs/work/review/CPF_20260730_QA32_DEVELOPMENT_COMPLETION_REPORT.md,현재 master가 1536a0d인데 보고서는 d31bd127/WORKTREE_OVERLAY_UNCOMMITTED를 Head로 기록한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,최신 exact SHA와 clean worktree 기준으로 보고서·Evidence·Manifest를 재생성하고 stale Overlay 보고를 superseded 처리한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-002,P0,SOURCE_CONFIRMED,실패,Evidence,cpf-docs/evidence/current/CPF_20260730_QA32_COMPLETION_EVIDENCE.json,Push된 exact SHA의 QA32 Completion Evidence 정본이 없다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,sanitized exact-SHA Completion/Requirement/Scenario Evidence와 JSON Schema를 정본 경로에 추가한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-003,P0,SOURCE_CONFIRMED,실패,Evidence,cpf-docs/evidence/templates/CPF_QA32_COMPLETION_EVIDENCE_TEMPLATE.json,QA32 Integrity가 요구한 Completion Evidence Template이 없다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Template·Schema·negative fixture·integrity gate를 추가한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-004,P0,SOURCE_CONFIRMED,실패,Evidence,cpf-docs/evidence/templates/CPF_QA32_REQUIREMENT_EVIDENCE_TEMPLATE.json,Requirement Evidence Template이 없다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Requirement/Scenario Evidence 필수 필드를 통일하고 schema gate를 추가한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-005,P0,SOURCE_CONFIRMED,실패,Evidence,.gitignore,cpf-docs/evidence/** ignore 규칙과 요구된 일반 .json Evidence 이름이 충돌한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Evidence 파일명/추적 정책을 sanitized 정본으로 통일하고 git check-ignore gate를 추가한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-006,P1,SOURCE_CONFIRMED,미검증,Quality Gate,cpf-tools/scripts/verify-cpf-qa32-completion.py,CSV 상태 문자열과 얕은 Marker Gate만으로 개발 완료를 계산한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,완료 행마다 exact-SHA Evidence 파일·명령·exit code·report hash를 직접 검증한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-007,P1,SOURCE_CONFIRMED,미검증,Quality Gate,cpf-tools/scripts/verify-cpf-qa32-primary-engines.py,파일 존재·문자열 Marker·키워드 검색이 대부분이며 compile/call graph/state semantics를 검증하지 않는다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,"Gradle/npm compile, dependency graph, consumer call, runtime smoke와 marker gate를 분리한다.",정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-008,P1,SOURCE_CONFIRMED,미검증,Result Matrix,cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv,서로 다른 Requirement가 동일한 광범위 wildcard Source와 동일 메모를 반복한다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,각 행을 Owner/Consumer/Method/SQL/Test/Evidence exact path로 축소하고 증거 없는 완료를 철회한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-009,P1,FALSE_OR_EXCLUDED,재확인 필요,Documentation Scope,README*;cpf-docs/guides/**,별도 AI 관리 범위가 QA32 Source Commit에 섞였다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,제품 결함 수에서는 제외하되 Source/Documentation provenance scope를 별도 Manifest로 분리한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
QA33-DF-010,P0,SOURCE_CONFIRMED,실패,Build,settings.gradle;cpf-tools/build/platform-bom/**,includeBuild 대상 platform-bom Source가 삭제됐는데 includeBuild가 남아 있다.,Build/Runtime/보안/운영 정합성 또는 완료 Evidence를 훼손하며 QA32 전체 완료 판정을 무효화한다.,파일·Dependency·Marker·개발상태 중심 완료 판정으로 실제 Owner·Consumer·상태기계·다중 인스턴스·exact-SHA Evidence 검증이 부족했다.,Included Build를 복원하거나 includeBuild를 제거하고 BOM 공급 경로를 단일화한다.,정상·오류·경계·부분 실패·동시성·복구를 실제 Owner Consumer에서 검증하고 exact SHA Evidence를 남긴다.,1536a0d59004ebade7dcb29383cbe2e758547f8e,QA32 전체 완료 판정 금지
