work_item_id,canonical_requirement_id,priority,work_type,axis,axis_title,owner,dependencies,markdown_file,ledger_part,development_status,verification_status,next_action,baseline_sha,scope_decision,scope_reason
CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP,CMN-EXTENSION,P2,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-common,,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER,CMN-EXTENSION,P2,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-common,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-EXTENSION-03-VERIFICATION_EVIDENCE,CMN-EXTENSION,P2,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-common,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-EXTENSION-02-IMPLEMENTATION_CONSUMER,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,CMN-EXTENSION,P2,PRODUCT_IMPLEMENTATION,OPERATIONS_SECURITY,보안·승인·감사·운영,cpf-common,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-EXTENSION-05-DATA_MIGRATION,CMN-EXTENSION,P2,PRODUCT_IMPLEMENTATION,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,cpf-common,CPF-WP-CMN-EXTENSION-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP,CMN-SAMPLE-DB,P2,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-common,,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-SAMPLE-DB-02-IMPLEMENTATION_CONSUMER,CMN-SAMPLE-DB,P2,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-common,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-SAMPLE-DB-03-VERIFICATION_EVIDENCE,CMN-SAMPLE-DB,P2,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-common,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP;CPF-WP-CMN-SAMPLE-DB-02-IMPLEMENTATION_CONSUMER,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-SAMPLE-DB-04-FAILURE_RECOVERY,CMN-SAMPLE-DB,P2,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-common,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
CPF-WP-CMN-SAMPLE-DB-05-DATA_MIGRATION,CMN-SAMPLE-DB,P2,PRODUCT_IMPLEMENTATION,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,cpf-common,CPF-WP-CMN-SAMPLE-DB-01-CONTRACT_OWNERSHIP,20_COMMON_DATA_DB_PART_01.md,ledgers/20_COMMON_DATA_DB_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,EXCLUDED_OTHER_OWNER,Canonical owner is cpf-common; not DEVGPT-6E exclusive ownership
