delete_id,exact_repository_path,target_type,deletion_reason,related_requirement,owner,current_consumer,replacement_or_migration,core_api_impact,build_impact,bom_catalog_impact,generator_impact,config_sql_impact,test_impact,documentation_impact,evidence_impact,residual_reference_check,empty_directory_check,approval_status,execution_status
QA39-DEL-FILE-001,cpf-starters/aop-service-access/build.gradle,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/aop-service-access only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-002,cpf-starters/aop-service-access/src/main/java/com/cpf/core/common/aop/ServiceAccessAspect.java,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/aop-service-access only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-003,cpf-starters/aop-service-access/src/main/java/com/cpf/core/config/CpfAopConfig.java,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/aop-service-access only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-004,cpf-starters/aop-service-access/src/main/resources/META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/aop-service-access only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-005,cpf-starters/aop-service-access/src/test/java/com/cpf/core/common/aop/CpfAspectPointcutMigrationTest.java,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/aop-service-access only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-006,cpf-starters/cache-aggregate/build.gradle,FILE,Public aggregate transitively selected mutually exclusive cache providers.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,data Capability with explicit caffeine/valkey binding,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/cache-aggregate only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-007,cpf-starters/featureflag/build.gradle,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/featureflag only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-008,cpf-starters/featureflag/src/main/java/com/cpf/starter/featureflag/CpfFeatureFlagAutoConfiguration.java,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/featureflag only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-009,cpf-starters/featureflag/src/main/java/com/cpf/starter/featureflag/CpfFeatureFlagService.java,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/featureflag only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
QA39-DEL-FILE-010,cpf-starters/featureflag/src/main/resources/META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports,FILE,Complete-remove target lacks sufficient CPF product value or is outside official product scope.,QA39-003;QA39-023;QA39-030;QA39-036;QA39-040,Development GPT / user-executed cleanup,Migrated or no supported consumer; residual-reference gate must be zero,direct Spring/OSS use under CPF standard policies or retained Capability replacement described by QA39,Remove only target-owned thin wrappers; retained CPF public contracts remain with their canonical owner,settings.gradle canonical catalog excludes target; compile/reference gate required after deletion,removedArtifactIds and release catalog exclude target artifact IDs,six-profile/seven-group generator must not resolve target path/artifact,Delete target-owned AutoConfiguration/config/SQL only; official three-vendor retained packs remain,Delete target-owned tests; replacement/negative gates cover retained path,Human canonical updated; protected documentation owner paths remain untouched,Do not reuse evidence for deleted artifact; reference-zero and build logs required,Exact artifact ID/FQN/path search must return zero outside canonical decision manifests,Remove cpf-starters/featureflag only after every listed file is absent and directory is empty,QA_REQUIREMENT_CONFIRMED_USER_EXECUTION_REQUIRED,NOT_EXECUTED
