gap_id,priority,decision,proposed_requirement_id,title,requirement,proposed_owner,canonical_integration_target,개발GPT_작업대상상태,continuity_status,acceptance_summary,next_action
GAP-CACHE,P1,PROMOTE_NEW_CANONICAL,CORE-CACHE,Cache Capability,Caffeine local 및 선택 distributed provider의 key/version/TTL/eviction/invalidation/stampede/negative-cache/multi-instance 계약을 독립 Acceptance로 승격한다.,cpf-core cache SPI + leaf provider + actual consumer,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-FEATURE-FLAG,P1,PROMOTE_NEW_CANONICAL,CORE-FLAG,OpenFeature Feature Flag,"OpenFeature evaluation context, provider lifecycle, hooks/events, secure override, audit, stale cache, fail-safe default와 rollout을 제품 계약으로 승격한다.",cpf-core SPI + OpenFeature starter + ADM operations,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-SESSION-BFF,P0,PROMOTE_NEW_CANONICAL,SEC-SESSION,General Session/BFF,"운영자 Session 외 고객/BFF Session의 fixation, rotation, revocation, CSRF, distributed storage, topology parity를 독립 제품 계약으로 승격한다.",cpf-core security API + web/session starter + generated/customer BFF,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-CRYPTO-AGILITY,P0,PROMOTE_NEW_CANONICAL,SEC-CRYPTO,Crypto Agility·PQC Readiness,"알고리즘 allowlist, provider 정책, envelope encryption, rekey, deprecated algorithm 차단, PQC readiness와 CBOM을 독립 Requirement로 승격한다.",cpf-core crypto SPI + security/release gates,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-VULN-RESPONSE,P0,PROMOTE_NEW_CANONICAL,SEC-VULN,Vulnerability·KEV Response Lifecycle,"취약점 triage, exploitability, KEV/critical patch SLA, 예외 만료, backport, disclosure, 고객 advisory와 재발 방지를 제품 Lifecycle로 승격한다.",cpf-tools security + release/product governance,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-THREAT-MODEL,P1,PROMOTE_NEW_CANONICAL,SEC-THREAT,Threat Modeling·Abuse Cases,"변경 유발형 data flow, trust boundary, abuse case, mitigation, residual-risk 검토를 독립적인 개발·검증 Lifecycle로 승격한다.",architecture/security governance + quality gate,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-PERF-SOAK,P1,PROMOTE_NEW_CANONICAL,TEST-PERF,Load·Stress·Soak·Leak Regression,API/Broker/Batch/Frontend의 load·stress·soak·leak와 비기능 regression budget을 Repository 전역 Test Product로 승격한다.,repository-wide performance test kit + CI/release profile,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-WEBHOOK,P1,PROMOTE_NEW_CANONICAL,API-WEBHOOK,Webhook/Callback Delivery,"서명, replay 방어, endpoint validation, SSRF, retry/order, delivery ledger, reconciliation을 명시적 Callback 계약으로 승격한다.",cpf-core API contract + generated/customer adapter starter,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-ASYNCAPI-SCHEMA,P1,PROMOTE_NEW_CANONICAL,EVENT-SCHEMA,AsyncAPI·Event Schema Lifecycle,"AsyncAPI 3.1 정본, schema registry/compatibility, subject/channel naming, deployment gate와 consumer migration을 독립 Requirement로 승격한다.",event contract + provider starters + quality/generator,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
GAP-DATA-ENCRYPTION,P0,PROMOTE_NEW_CANONICAL,DATA-ENCRYPT,Field/File Encryption·Tokenization,"Field/File 분류, tokenization/searchability, rekey, key version, migration과 Query/Application 영향을 독립 Requirement로 승격한다.",data owner + crypto SPI + DB migration,,작업 대상,REQ-GAP 신규 Canonical 등록 필요,Ownership·Consumer·오류·복구·보안·운영·DB/Generator 영향·Test/Evidence 전축,기존 169개와 중복 검산 후 Continuity Ledger와 Final Target Patch 승인
