work_item_id,scenario_id,linked_requirement_id,canonical_requirement_id
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000481,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000482,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000483,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000484,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000485,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000486,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000487,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000488,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000489,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000490,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000491,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000492,CPF-FR-002441,DB-OWNERSHIP
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000493,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000494,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000495,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000496,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000497,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000498,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000499,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000500,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000501,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000502,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000503,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000504,CPF-FR-002502,DB-INSTALL
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000505,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000506,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000507,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000508,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000509,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000510,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000511,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000512,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000513,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000514,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000515,CPF-FR-002563,DB-FRESH
CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,CPF-SC-000516,CPF-FR-002563,DB-FRESH
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000517,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000518,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000519,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000520,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000521,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000522,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000523,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000524,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000525,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000526,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000527,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER,CPF-SC-000528,CPF-FR-002624,DB-MIGRATION
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000529,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000530,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000531,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000532,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000533,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000534,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000535,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000536,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000537,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000538,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000539,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER,CPF-SC-000540,CPF-FR-002685,DB-ROLLBACK
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000541,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000542,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000543,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000544,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000545,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000546,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000547,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000548,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000549,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000550,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000551,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER,CPF-SC-000552,CPF-FR-002746,DB-BACKUP
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000553,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000554,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000555,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000556,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000557,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000558,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000559,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000560,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000561,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000562,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000563,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER,CPF-SC-000564,CPF-FR-002807,DB-MULTI-VENDOR
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000565,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000566,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000567,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000568,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000569,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000570,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000571,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000572,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000573,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000574,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000575,CPF-FR-002868,DB-SQL
CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER,CPF-SC-000576,CPF-FR-002868,DB-SQL
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000577,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000578,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000579,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000580,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000581,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000582,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000583,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000584,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000585,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000586,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000587,CPF-FR-002929,DB-PERF
CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER,CPF-SC-000588,CPF-FR-002929,DB-PERF
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000589,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000590,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000591,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000592,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000593,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000594,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000595,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000596,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000597,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000598,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000599,CPF-FR-002990,DB-MULTI
CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER,CPF-SC-000600,CPF-FR-002990,DB-MULTI
CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER,CPF-SC-000601,CPF-FR-003051,DATA-LINEAGE
CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER,CPF-SC-000602,CPF-FR-003051,DATA-LINEAGE
CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER,CPF-SC-000603,CPF-FR-003051,DATA-LINEAGE
CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER,CPF-SC-000604,CPF-FR-003051,DATA-LINEAGE
CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER,CPF-SC-000605,CPF-FR-003051,DATA-LINEAGE
CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER,CPF-SC-000606,CPF-FR-003051,DATA-LINEAGE
