id,root_cause,source_status,execution_status,resolution,evidence_or_gate
CPF-QA-FND-001,최신 SHA CI 상태 부재,완료,미검증,master/PR Java25 전체 Test·Assemble·Frontend·Static Gate Workflow 추가,.github/workflows/cpf-final-source-gates.yml
CPF-QA-FND-002,완료 보고와 미실행 검증 충돌,완료,완료,Current Request와 Closure 실행기가 실행 Evidence 없이는 완료를 생성하지 않도록 교정,CPF_CURRENT_WORK_REQUEST.md;invoke-cpf-final-closure.ps1
CPF-QA-FND-003,Remaining Matrix 일괄 완료,완료,재확인 필요,최신 Evidence 없는 완료를 금지하고 P0를 개별 재판정,P0_REMEDIATION_LEDGER.csv
CPF-QA-FND-005,정적 Evidence 참조 부재,완료,완료,Overlay 검증 범위·Commit·명령·환경·결과·Redaction을 별도 Evidence로 기록,OVERLAY_STATIC_VALIDATION.json
CPF-QA-FND-006,Gateway Core Internal 직접 참조,완료,미검증,최신 Controller Public Header API 확인 및 Gate 고정,check-enterprise-qa-closing.ps1
CPF-QA-FND-010,Cache Event 메모리 Queue 유실,완료,미검증,Durable Store 실패 전파와 Memory fallback 금지 Test 정합화,CacheRefreshEventPublisherTest.java
CPF-QA-FND-011,Cache Listener 초기 Event 건너뜀,완료,미검증,Snapshot 이전 High-Water 고정과 Durable Checkpoint Replay 구현,CacheRefreshEventListener.java;CacheRefreshEventListenerTest.java
CPF-QA-FND-013,Routing Weight 미사용,완료,미검증,최신 weighted rendezvous·priority·zone·cell·drain 구현 확인 및 Test/Gate 고정,CpfHealthAwareInstanceSelectorTest.java
CPF-QA-FND-015,Gateway Header/Path 검증 우회,완료,미검증,Route 정본 실행 ID와 정규화 Path 검증으로 우회 차단,CpfGatewayProxyService.java;CpfGatewayChannelPolicyTest.java
CPF-QA-FND-017,Gateway Header 과다 전달,완료,미검증,Allowlist/NEVER_FORWARD 정책으로 변경,CpfGatewayProxyService.java
CPF-QA-FND-018,Gateway 인증 Header 존재 판단,완료,미검증,검증된 Principal·Signature 속성만 신뢰,CpfGatewayProxyService.java
CPF-QA-FND-021,BZA 로그인 결과 비멱등,완료,미검증,최신 request hash·암호화 결과 재사용 구현에 맞춰 구형 Test 교체,BzaLoginTransactionServiceTest.java
CPF-QA-FND-022,BZA Login payload hash 부재,완료,미검증,동일 Operation 다른 fingerprint 충돌 검증 Test 고정,BzaLoginTransactionServiceTest.java
CPF-QA-FND-035,Migration checksum history 축소,완료,미검증,MariaDB Historical Migration 28건 source/runtime Manifest 재생성,checksums.sha256;check-migration-checksums.ps1
CPF-QA-D03-FND-001,Required CI 부재,완료,미검증,Workflow 구현 완료; Repository Required Check 설정과 실제 Run은 Push 후 확인 필요,.github/workflows/cpf-final-source-gates.yml
CPF-QA-D03-FND-002,Current Request SHA 드리프트,완료,완료,모든 신규 정본을 84b4672e 기준으로 통일,CPF_CURRENT_WORK_REQUEST.md
CPF-QA-D03-FND-003,Validation Ledger SHA 불일치,완료,완료,과거 결과를 승계하지 않고 Overlay 전용 Ledger 신규 생성,OVERLAY_STATIC_VALIDATION.json
CPF-QA-D03-FND-004,Overlay PASS를 Repository PASS로 오인,완료,완료,scope=overlay_only를 명시하고 Repository Closure는 별도 실행기로 분리,OVERLAY_STATIC_VALIDATION.json
CPF-QA-D03-FND-005,한 줄 PASS Evidence 불충분,완료,미검증,명령·시간·환경·Commit·출력·Redaction JSON Evidence 생성기 추가,invoke-cpf-final-closure.ps1
CPF-QA-D03-FND-008,완료 Matrix와 미검증 조건 모순,완료,재확인 필요,최신 실행 Evidence 없는 완료 금지 규칙을 Current Request와 Closure Gate에 반영,CPF_CURRENT_WORK_REQUEST.md
CPF-QA-D03-ARCH-001,ADM의 core common 직접 의존,완료,미검증,Runtime Control Public API 예외·Capability로 이관하고 정적 Gate 추가,AdmRuntimeControlController.java;check-runtime-control-public-boundary.ps1
CPF-QA-D03-ALR-001,Notification MariaDB 전용 SQL,완료,미검증,GeneratedKeyHolder·setMaxRows·ANSI Timestamp로 교정; 3 DB 실행 필요,AdmNotificationService.java;check-notification-portable-sql.ps1
CPF-QA-D03-ALR-002,Notification 운영자 fallback,완료,미검증,adm.operatorId 필수·body/query mismatch 403·인증 부재 401,AdmNotificationController.java;AdmNotificationControllerAuthenticationTest.java
