function_point_id,requirement_count,core_scenario_count,related_scenario_count,source_consumer,development_completed,cross_session_pending,verification_status,overall_status
GWY-ENTRY,61,12,14,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,50,11,Java21 Entry/Runtime Applier/Startup/Reference + semantic/static PASS; Java25/실제 TLS Runtime 재확인,부분 구현
GWY-ROUTING,61,12,366,External request → CpfScgPrimaryHandler → CpfScgTargetResolver/CpfGatewayRouteSnapshot → selected backend,50,11,대체/정적 수행; 정식 Runtime 재확인,부분 구현
GWY-TRUST,61,12,28,External request → CpfScgPrimaryHandler authN/authZ → trusted-header regeneration → backend,50,11,대체/정적 수행; 정식 Runtime 재확인,부분 구현
GWY-RESILIENCE,61,12,42,CpfScgPrimaryHandler.invokeWithRetry → CpfGatewayTargetSelector → attempt ledger/recovery spool,50,11,대체/정적 수행; 정식 Runtime 재확인,부분 구현
API-LIMIT,61,12,14,CpfScgPrimaryHandler → CpfGatewayRuntimePolicy.acquire → CounterPort.consumeAtomically → 429/Retry-After or proxy,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-INST,61,12,14,ReferenceExternalIntegrationEducationSample → CpfWebClient/Service Call policy → institution endpoint,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-REST,61,12,0,Business consumer → CpfTypedHttpClient/CpfWebClient → HTTP provider,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-FIXED,61,12,0,Business telegram consumer → CpfFixedLengthCodec/Layout → TCP/HTTP transport,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-SEC,61,12,14,Business consumer → credential reference/TLS policy → external endpoint,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-FILE,61,12,14,Reference filetransfer consumer → CpfFileTransferClient/Operations → SFTP provider/ledger,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-UNKNOWN,61,12,28,External call → side-effect boundary → UNKNOWN ledger → reconciler,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-RECON,61,12,228,Reconciliation worker → owner probe → CAS state transition/audit,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-CORE,61,12,160,Business publisher/consumer → provider-neutral broker contracts → reliability workers,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-OUTBOX,61,12,172,CpfReliableBrokerClient → Outbox persist → CpfBrokerPublisherWorker → provider,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-BROKER,61,12,128,ReferenceMessagingEducationController → CpfBrokerClient.enqueue → provider publisher,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-MQ,61,12,0,CpfReliableBrokerClient → Kafka bridge/client → broker,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-JMS,61,12,128,CpfReliableBrokerClient → CpfJmsBrokerClient → JMS provider,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-IBM-MQ,61,12,128,CpfReliableBrokerClient → CpfIbmMqBrokerClient → IBM MQ provider,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-AMQP,61,12,128,CpfReliableBrokerClient → CpfRabbitMqBrokerClient → RabbitMQ provider,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EXS-TCP,61,12,0,CpfTcpOperations/CpfTcpClient.request → framed socket/TLS → durable UNKNOWN journal,48,13,대체/정적 수행; 정식 Runtime 재확인,부분 구현
EVENT-DLQ,61,12,28,Adm approval → BrokerReliabilityApprovalOwnerCommandAdapter → reliability operations/JDBC DLQ replay,47,14,ADM approval path alternative-verified; core fail-closed/CAS cross-session pending,부분 구현·교차 세션 6C/6E/6A/6F 대기
