entry_id,kind,path,symbol,classification,canonical_replacement,owner,public_surface,notes
GRADLE_TASK:cpf-admin/build.gradle#frontend${taskSuffix},GRADLE_TASK,cpf-admin/build.gradle,frontend${taskSuffix},INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-admin,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-admin/build.gradle#frontendBuild,GRADLE_TASK,cpf-admin/build.gradle,frontendBuild,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-admin,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-admin/build.gradle#frontendInstall,GRADLE_TASK,cpf-admin/build.gradle,frontendInstall,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-admin,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-admin/build.gradle#frontendVerify,GRADLE_TASK,cpf-admin/build.gradle,frontendVerify,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-admin,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-backoffice/build.gradle#generateCpfBusinessOperationManifest,GRADLE_TASK,cpf-backoffice/build.gradle,generateCpfBusinessOperationManifest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-backoffice,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-batch/build.gradle#publishStandaloneArtifacts,GRADLE_TASK,cpf-batch/build.gradle,publishStandaloneArtifacts,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-batch/build.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-batch/build.gradle#publishStandaloneArtifactsToCpfInternal,GRADLE_TASK,cpf-batch/build.gradle,publishStandaloneArtifactsToCpfInternal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-batch/build.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-batch/build.gradle#publishStandaloneArtifactsToCpfLocal,GRADLE_TASK,cpf-batch/build.gradle,publishStandaloneArtifactsToCpfLocal,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-batch/build.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-batch/build.gradle#publishStandaloneArtifactsToCpfStaging,GRADLE_TASK,cpf-batch/build.gradle,publishStandaloneArtifactsToCpfStaging,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-batch/build.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-batch/build.gradle#verifyStandaloneArtifacts,GRADLE_TASK,cpf-batch/build.gradle,verifyStandaloneArtifacts,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-batch/build.gradle,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-batch/testkit/build.gradle#qa32IntegrationTest,GRADLE_TASK,cpf-batch/testkit/build.gradle,qa32IntegrationTest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-batch/testkit,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-batch/testkit/build.gradle#qa34IntegrationTest,GRADLE_TASK,cpf-batch/testkit/build.gradle,qa34IntegrationTest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-batch/testkit,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-education/build.gradle#verifyEducationCanonical35,GRADLE_TASK,cpf-education/build.gradle,verifyEducationCanonical35,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-education,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-education/build.gradle#verifyEducationLegacyZero,GRADLE_TASK,cpf-education/build.gradle,verifyEducationLegacyZero,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-education,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-education/build.gradle#verifyEducationOperationIds,GRADLE_TASK,cpf-education/build.gradle,verifyEducationOperationIds,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-education,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-education/build.gradle#verifyEducationPublicGoldenPath,GRADLE_TASK,cpf-education/build.gradle,verifyEducationPublicGoldenPath,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-education,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-external/build.gradle#generateCpfBusinessOperationManifest,GRADLE_TASK,cpf-external/build.gradle,generateCpfBusinessOperationManifest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-external,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-external/build.gradle#generateCpfDomainRuntimeDescriptor,GRADLE_TASK,cpf-external/build.gradle,generateCpfDomainRuntimeDescriptor,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-external,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-external/online/build.gradle#prepareCpfVendorResources,GRADLE_TASK,cpf-external/online/build.gradle,prepareCpfVendorResources,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-external,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-external/online/build.gradle#validateCpfJdbcDriverSelection,GRADLE_TASK,cpf-external/online/build.gradle,validateCpfJdbcDriverSelection,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-external,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-member/batch/build.gradle#prepareCpfVendorResources,GRADLE_TASK,cpf-member/batch/build.gradle,prepareCpfVendorResources,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-member,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-member/batch/build.gradle#validateCpfJdbcDriverSelection,GRADLE_TASK,cpf-member/batch/build.gradle,validateCpfJdbcDriverSelection,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-member,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-member/build.gradle#generateCpfBusinessOperationManifest,GRADLE_TASK,cpf-member/build.gradle,generateCpfBusinessOperationManifest,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-member,NO,Low-level Gradle engine/task
GRADLE_TASK:cpf-member/build.gradle#generateCpfDomainRuntimeDescriptor,GRADLE_TASK,cpf-member/build.gradle,generateCpfDomainRuntimeDescriptor,INTERNAL_ENGINE,cpf build/test/dev/publish as cataloged,cpf-member,NO,Low-level Gradle engine/task
