case,status,finding_id,evidence
transactionId trusted-origin/spoof/replay,FAIL,QA-B-1000-NEW-003,Policy/filter source; real producer/order gap.
BZA unauthorized direct API / approval simulation permission,미검증,,BzaApiAuthFilter/Test source inspected; test not executed.
ADM HIGH/CRITICAL typed request contract,FAIL,QA-B-1000-NEW-007,Compatibility generated client can satisfy broad generated gate.
XSS,미검증,,No live security corpus/runtime.
CSRF,미검증,,No live security corpus/runtime.
SSRF,미검증,,No live security corpus/runtime.
IDOR/tenant isolation,미검증,,No authenticated multi-tenant runtime fixtures.
masking/raw PII/secret,미검증,,SensitiveDataMasker and DB boundary source inspected; semantic negative runtime absent.
download/export authorization/audit,재확인 필요,,Full backend/direct-call flow not independently opened.
break-glass/replay,재확인 필요,,Full current path not independently executed.
