scenario_id,linked_requirement_id,canonical_requirement_ids,priority,area,scenario_type,title,actor,preconditions,test_data,steps,expected_result,failure_criteria,environment,topology,required_evidence,execution_status,baseline_sha,evidence_path,open_issue,next_action,execution_phase_id,execution_phase_name,execution_order,work_package_id,predecessor_phase_ids,blocking_phase_gate_id,feature_key,QA_검수여부,QA_검수회차,QA_검수결과,QA_검사내용,QA_미통과사유,QA_판정상태,QA_검수evidence
CPF-SC-000853,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,POSITIVE,[EXS-TCP] 정상 수직 흐름,연계 개발자·운영자,최신 exact SHA; 유효 입력과 권한,정상 데이터,요청→검증→처리→저장/전달→응답→감사,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000853,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] 정상 수직 흐름를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000854,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,INVALID,[EXS-TCP] 입력·경계 오류,연계 개발자·운영자,최신 exact SHA; 유효 Session,invalid/empty/oversize/unknown enum,각 invalid 제출,표준 field/path 오류·side effect 0,500/raw exception/부분 저장,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,QA가 공백 correlation 선행 거부를 보완·검증했으나 교차검토와 실제 Product Consumer가 남았다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000854,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] 입력·경계 오류를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. QA가 공백 correlation 선행 거부를 보완·검증했으나 교차검토와 실제 Product Consumer가 남았다.,QA가 공백 correlation 선행 거부를 보완·검증했으나 교차검토와 실제 Product Consumer가 남았다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000855,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,UNAUTHORIZED,[EXS-TCP] 미인증·권한 부족,연계 개발자·운영자,최신 exact SHA; 권한 없는 principal,401/403 대상,UI 직접 URL/API/Method 호출,Server 거부·Audit·민감정보 0,버튼만 숨김/default allow,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000855,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] 미인증·권한 부족를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000856,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,CONFLICT,[EXS-TCP] Version·Hash 충돌,연계 개발자·운영자,최신 exact SHA; 기존 version,stale expectedVersion/다른 hash,동시/재시도 요청,409·기존 결과 보존·lost update 0,후행 요청 덮어씀,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000856,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] Version·Hash 충돌를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000857,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,DUPLICATE,[EXS-TCP] 중복 요청,연계 개발자·운영자,최신 exact SHA; 같은 operationId,동일/상이 payload,동시·순차 중복,"동일 replay, 다른 payload conflict",side effect 2회,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000857,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] 중복 요청를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000858,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,TIMEOUT_PRE,[EXS-TCP] Side effect 전 Timeout,연계 개발자·운영자,최신 exact SHA; dependency delay,connect/header timeout,timeout 주입,retryable failure·side effect 0,UNKNOWN/성공 오인,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,QA가 pool capacity rejection을 side effect 전에 검증했으나 end-to-end deadline과 실제 Consumer가 남았다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000858,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] Side effect 전 Timeout를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. QA가 pool capacity rejection을 side effect 전에 검증했으나 end-to-end deadline과 실제 Consumer가 남았다.,QA가 pool capacity rejection을 side effect 전에 검증했으나 end-to-end deadline과 실제 Consumer가 남았다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000859,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,RESPONSE_LOSS,[EXS-TCP] Side effect 후 응답 유실,연계 개발자·운영자,최신 exact SHA; Owner commit,commit 후 reset,응답 차단,UNKNOWN·blind retry 금지·reconcile,자동 실패/무조건 retry,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,EOF 후 UNKNOWN 기록은 검증했으나 durable 저장·actual reconcile·restart 복구가 없다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000859,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] Side effect 후 응답 유실를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. EOF 후 UNKNOWN 기록은 검증했으나 durable 저장·actual reconcile·restart 복구가 없다.,EOF 후 UNKNOWN 기록은 검증했으나 durable 저장·actual reconcile·restart 복구가 없다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000860,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,PARTIAL,[EXS-TCP] 부분 실패,연계 개발자·운영자,최신 exact SHA; 다중 대상/항목,일부 target failure,group 실행,개별 성공/실패/unknown 보존,전체 성공/실패로 축약,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,QA가 UNKNOWN store 동시 상한을 보완했으나 기관 부분 실패와 durable recovery가 없다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000860,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] 부분 실패를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. QA가 UNKNOWN store 동시 상한을 보완했으나 기관 부분 실패와 durable recovery가 없다.,QA가 UNKNOWN store 동시 상한을 보완했으나 기관 부분 실패와 durable recovery가 없다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000861,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,PROCESS_KILL,[EXS-TCP] Process Kill·Restart,연계 개발자·운영자,최신 exact SHA; durable state,worker kill,claim/apply 후 종료·재기동,lease 회수·stale fencing·복구,고아 상태·중복,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000861,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] Process Kill·Restart를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
CPF-SC-000862,CPF-FR-004332,EXS-TCP,P1,INTEGRATION,MULTI_INSTANCE,[EXS-TCP] 다중 Instance,연계 개발자·운영자,최신 exact SHA; 2개 이상,공유 DB/queue,동시 처리·failover·rejoin,version/state 일치·중복 0,local state 의존,Java25·적용 DB/Provider/Browser/Process 환경,Local/Remote·single/multi-instance 중 적용,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,실패,f97655c1299936a1101bc3ec10239265ec3b502e,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,재개발·교차검토 후 Java25/기관계/kill-restart scenario 재실행,P05,Starter·Capability·Provider 기본 구현,05-00000862,P05-INTEGRATION-EXS-TCP,P03;P04,CPF-GATE-05,EXS-TCP,예,QA-12B-R5,미통과,[EXS-TCP] 다중 Instance를 loopback/EOF/concurrency Harness와 제품 Source 호출 경로로 재검수했다. EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,EXS-TCP actual Product Consumer/Public API와 durable recovery가 없어 scenario 전체 acceptance를 입증하지 못했다.,미통과,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
