document,format,internal_links,broken_targets,status
기술사양서,PDF,36,0,PASS
기술표준서,PDF,40,0,PASS
데이터베이스표준서,PDF,54,0,PASS
산출물목록,PDF,14,0,PASS
아키텍처설계서,PDF,60,0,PASS
00_프레임워크안내,PDF,97,0,PASS
01_개발자매뉴얼,PDF,193,0,PASS
02_배치개발매뉴얼,PDF,138,0,PASS
03_ADM개발자매뉴얼,PDF,102,0,PASS
04_ADM운영자매뉴얼,PDF,261,0,PASS
05_플랫폼운영매뉴얼,PDF,231,0,PASS
90_BZA매뉴얼,PDF,140,0,PASS
91_Gateway매뉴얼,PDF,116,0,PASS
기술사양서,DOCX,36,0,PASS
기술표준서,DOCX,40,0,PASS
데이터베이스표준서,DOCX,54,0,PASS
산출물목록,DOCX,14,0,PASS
아키텍처설계서,DOCX,60,0,PASS
00_프레임워크안내,DOCX,97,0,PASS
01_개발자매뉴얼,DOCX,193,0,PASS
02_배치개발매뉴얼,DOCX,138,0,PASS
03_ADM개발자매뉴얼,DOCX,102,0,PASS
04_ADM운영자매뉴얼,DOCX,259,0,PASS
05_플랫폼운영매뉴얼,DOCX,230,0,PASS
90_BZA매뉴얼,DOCX,140,0,PASS
91_Gateway매뉴얼,DOCX,116,0,PASS
