finding_id,severity,area,requirement_ids,status,confirmation,peer_finding_ids,self_finding_ids,issue,risk,target_files,required_action,rerun_command,expected_result,failure_criteria,required_evidence,unmitigated_risk,baseline_sha,qa_round
QA-R5I-001,P0,Management/Baseline,"FDEV-001,FDEV-021,FDEV-022,FDEV-024",OPEN,PACKAGE_AND_REPOSITORY_CONFIRMED,QA-R5-001,QAF-REV004-001,"최신 master는 e7cc9ada(06_10)인데 REVIEW_INDEX, FINAL_MANAGEMENT_STATE, FINAL_INTEGRITY, fdr/r4 BASELINE/REQUIREMENT_STATUS/PACKAGE_MANIFEST가 a8be27/2929163/2a0136/cb3b2a를 현재 기준처럼 혼용한다.",QA/개발/Codex가 서로 다른 Source를 기준으로 판정하여 완료·회귀·Evidence 연결이 무효화된다.,cpf-docs/work/v9i/REVIEW_INDEX.md; cpf-docs/work/v9i/evidence/FINAL_*.json; cpf-docs/work/v9i/fdr/r4/**,"최신 master에서 instruction_basis_sha, work_start_sha, documentation_delta_sha, result_commit_sha, evidence_source_sha를 분리하고 모든 현재 상태·Manifest·Evidence를 재생성한다.",git rev-parse HEAD; git status --short --branch; python cpf-tools/verification/final-dev/verify-rev004-overlay.py,"모든 current/result 문서의 result_commit_sha=e7cc9ada, Evidence별 실제 SHA 일치, 과거 SHA는 historical 필드에만 존재.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,QA/개발/Codex가 서로 다른 Source를 기준으로 판정하여 완료·회귀·Evidence 연결이 무효화된다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-002,P0,Runtime/CI,"FDEV-004,FDEV-005,FDEV-006,FDEV-017,FDEV-020,FDEV-024,FDEV-010,FDEV-011,FDEV-015,FDEV-018",OPEN,PEER_CONNECTOR_CONFIRMED_AND_LOCAL_ENVIRONMENT_BLOCKED,QA-R5-002,QAF-REV004-007;QAF-REV004-008;QAF-REV004-009;QAF-REV004-010;QAF-REV004-011;QAF-REV004-012;QAF-REV004-015,"e7cc9ada에 연결된 GitHub status와 workflow run이 0건이며 Java25/Gradle9.1, full npm verify, Playwright, Pester, DB3, broker/multi-process가 실행되지 않았다. 추가 독립 환경 probe에서도 GitHub DNS 실패, JDK 21, Node 22.16.0, PowerShell 부재가 확인되어 Target Runtime PASS를 만들 수 없었다.",fresh clone 재현성·컴파일·테스트·배포·다중 인스턴스·DB Vendor·브라우저 품질을 판정할 근거가 없다.,GitHub commit status/workflow lookup; fdr/r4/TEST_AND_EVIDENCE.md; TEST_EXECUTION_LEDGER.csv,"clean checkout exact SHA에서 지정 Target Runtime 명령을 실행하고 URL, tool version, command, exit code, stdout/stderr hash, artifact hash를 제출한다.",.\gradlew.bat --no-daemon clean aggregateQualityBuild publicationGate; npm --prefix cpf-admin/frontend ci; npm --prefix cpf-admin/frontend run verify,"모든 필수 Gate PASS, git status clean, 실행 SHA와 Evidence SHA 동일. 하나라도 미실행/실패면 QA 미통과.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,fresh clone 재현성·컴파일·테스트·배포·다중 인스턴스·DB Vendor·브라우저 품질을 판정할 근거가 없다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-003,P0,Evidence Integrity,"FDEV-001,FDEV-014,FDEV-016,FDEV-020,FDEV-022,FDEV-024",OPEN,PACKAGE_EVIDENCE_CONFIRMED,QA-R5-003,QAF-REV004-002,"idempotency_runtime.txt는 0 byte인데 Ledger는 PASS이며, Requirement CSV는 .log를 참조하지만 저장 파일은 .txt이다. openapi_idempotent_1/2의 935f... 해시는 실제 OpenAPI 22d22...와 불일치한다.",존재하지 않거나 다른 산출물의 Evidence로 PASS를 주장하여 감사 추적성과 재현성이 붕괴한다.,cpf-docs/work/v9i/fdr/r4/e/**; REQUIREMENT_STATUS.csv; TEST_EXECUTION_LEDGER.csv; PACKAGE_MANIFEST.json,Evidence를 실제 명령 출력으로 재생성하고 경로·확장자·SHA를 원장/Manifest와 exact match한다. 빈 Evidence를 금지한다.,git rev-parse HEAD; git status --short --branch; python cpf-tools/verification/final-dev/verify-rev004-overlay.py,"orphan/missing/empty/hash mismatch 0, 모든 Evidence에 command/environment/time/exit/source SHA 포함.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,존재하지 않거나 다른 산출물의 Evidence로 PASS를 주장하여 감사 추적성과 재현성이 붕괴한다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-004,P0,Governance/Delete Safety,"FDEV-020,FDEV-021,FDEV-024",OPEN,COMMIT_DIFF_CONFIRMED,QA-R5-004,-,06_08 기준에 존재하던 cpf-document-quality-r9.svg가 최신 master에서 삭제되었고 Documentation Delete Manifest는 삭제를 지시하지만 사용자 승인 Evidence가 없다.,보호 문서/SVG 무단 삭제는 문서 정본 보존·삭제 승인 규칙을 위반한다.,compare a8be27..e7cc9ada; cpf-docs/deliverables/evidence/CPF_DOCUMENTATION_DELETE_MANIFEST.txt,명시 승인 전 해당 SVG를 복원하거나 승인 ID/일시/범위를 원장에 기록한다. 다른 보호 문서 삭제 여부도 재검사한다.,git diff --name-status a8be27a34bdac0b7c075e06d6e86571244c96421..HEAD -- cpf-docs/deliverables cpf-docs/guides cpf-docs/assets/manuals,승인 없는 삭제 0; 삭제 시 exact path 승인과 before/after manifest 존재.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,보호 문서/SVG 무단 삭제는 문서 정본 보존·삭제 승인 규칙을 위반한다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-005,P0,Approval Policy Binding,"FDEV-003,FDEV-008,FDEV-013",OPEN,DIRECT_SOURCE_CONFIRMED,QA-R5-005,-,"requestApproval은 client가 policyCode/version을 주면 enabled/effective 기간을 검증하지 않고, 해당 정책을 ownerModule/ownerCommand/targetType과 서버 Registry로 결속하지 않는다.",비활성·구버전·저위험 정책을 임의 Owner Command에 적용하여 승인 강도를 낮출 수 있다.,AdmApprovalService.requestApproval; AdmApprovalRepository.findPolicy/findActivePolicy; Approval Controller/UI,정책 선택은 서버 action/owner/command/target Registry로 제한하고 explicit version도 enabled/effective/authorized override를 검증한다. negative integration test를 추가한다.,".\gradlew.bat --no-daemon :cpf-admin:test --tests ""com.cpf.admin.approval.*""",expired/disabled/future/wrong-action/wrong-owner/wrong-target policy 요청 모두 4xx; Owner mutation 0; 감사 기록 존재.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,비활성·구버전·저위험 정책을 임의 Owner Command에 적용하여 승인 강도를 낮출 수 있다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-006,P0,Secure Default/Profile,"FDEV-002,FDEV-003,FDEV-013,FDEV-020",OPEN,PEER_EXACT_BLOB_CONFIRMED,QA-R5-006,-,application.yml이 spring.profiles.active=local을 기본값으로 고정하고 local profile은 integration-closure와 ephemeral providers를 기본 true로 한다.,운영 배포에서 profile 누락 시 in-memory Data Quality/Webhook 운영 기능이 활성화되는 fail-open 구성이다.,cpf-admin/src/main/resources/application.yml; application-adm-local.yml; application-adm-prod.yml,active profile 기본값을 제거하고 prod/unknown 환경에서 ephemeral provider를 절대 활성화하지 않는 fail-fast guard와 배포 테스트를 추가한다.,".\gradlew.bat --no-daemon :cpf-admin:test --tests ""*AdmIntegrationClosureConfigurationTest""",profile 미지정/잘못된 profile에서 운영기능 비활성 또는 startup fail; prod에서 ephemeral bean 0.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,운영 배포에서 profile 누락 시 in-memory Data Quality/Webhook 운영 기능이 활성화되는 fail-open 구성이다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-007,P0,Spring Bean Wiring,"FDEV-002,FDEV-003",OPEN,DIRECT_SOURCE_GRAPH_CONTRADICTION;RUNTIME_REQUIRED,QA-R5-007,QAF-REV004-008,customerOverridesWinOverDefaultProviders Test는 CpfDataQualityOperations만 공급하지만 Configuration의 Owner Adapter는 별도 CpfDataQualityCorrectionPort를 필수 주입한다. ephemeral bean은 MissingBean(query) 조건으로 생성되지 않아 Context 성공 기대와 Bean graph가 모순된다.,고객 Override 구성에서 ApplicationContext가 실패할 가능성이 높고 FDEV-002 완료 주장이 깨진다.,AdmIntegrationClosureConfiguration.java; AdmIntegrationClosureConfigurationTest.java,Query/Correction capability를 명시적으로 pair 검증하거나 고객 Owner Adapter override를 허용하고 실제 Gradle Context Test를 실행한다.,".\gradlew.bat --no-daemon :cpf-admin:test --tests ""*AdmIntegrationClosureConfigurationTest""",disabled/default/customer override/duplicate/missing provider Context Test 모두 실제 PASS; Bean 목록 Evidence 제출.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,고객 Override 구성에서 ApplicationContext가 실패할 가능성이 높고 FDEV-002 완료 주장이 깨진다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-008,P0,API Contract Parity,"FDEV-014,FDEV-016",OPEN,DIRECT_SOURCE_AND_OPENAPI_CONFIRMED,QA-R5-008,-,Webhook replay expectedVersion은 OpenAPI/UI minimum 0이나 Service는 1 이상을 요구한다. reason/idempotencyKey의 OpenAPI max/min 제약은 Controller/Service에서 동일하게 강제되지 않는다.,"Generated Client가 유효하다고 판단한 요청이 Runtime에서 거부되거나, 계약상 거부해야 할 oversized 입력이 서버에서 수용된다.",enrich-adm-openapi-contract.mjs; AdmIntegrationClosureController.java; AdmIntegrationClosureService.java; IntegrationClosurePage.vue,단일 Validation DTO/Bean Validation에서 제약을 정의하고 runtime-generated OpenAPI와 generated client를 재생성한다.,npm --prefix cpf-admin/frontend ci; npm --prefix cpf-admin/frontend run verify,"0/1 경계, 7/8/128/129 idempotency, reason 500/501 contract test가 Controller+OpenAPI+client에서 동일 결과.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,"Generated Client가 유효하다고 판단한 요청이 Runtime에서 거부되거나, 계약상 거부해야 할 oversized 입력이 서버에서 수용된다.",e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-009,P0,Sensitive Data Exposure,"FDEV-003,FDEV-013,FDEV-014",OPEN,DIRECT_SOURCE_CONFIRMED,QA-R5-009,-,AdmApprovalService.detail은 COMMAND_PAYLOAD_SNAPSHOT을 포함한 raw request Map을 반환하고 AdmApprovalController detail/create/decision/execute/reconcile 및 ApprovalsPage StructuredData가 이를 그대로 노출한다.,"정정 값, 계정/개인정보/Secret이 API와 브라우저 화면에 원문 노출될 수 있다.",AdmApprovalService.detail; AdmApprovalController; ApprovalsPage.vue,외부 응답 전용 DTO를 도입해 payloadSnapshot을 제거/마스킹하고 민감 필드 접근 권한·감사·negative snapshot test를 적용한다.,".\gradlew.bat --no-daemon :cpf-admin:test --tests ""com.cpf.admin.approval.*""",API/UI/로그/Evidence에서 원문 corrected/secret/PII 0; 승인 엔진 내부 hash/target/audit reference만 노출.,"결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,"정정 값, 계정/개인정보/Secret이 API와 브라우저 화면에 원문 노출될 수 있다.",e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
QA-R5I-010,P1,Approval JSON Integrity,"FDEV-003,FDEV-012,FDEV-013",OPEN,LOCAL_REPRODUCTION_CONFIRMED,QA-R5-010,-,"Jackson/JSON.parse 기본 파서는 exact duplicate key를 마지막 값으로 덮어쓰고, JS Number는 2^53 초과 정수와 고정소수 정밀도를 손실한다. 현재 canonical hash는 strict duplicate/BigDecimal 설정이 없다.",승인 화면에 표시된 원문과 서버가 해석·hash·실행하는 값이 달라질 수 있다.,AdmApprovalSnapshotIntegrity.java; integrationClosureIdempotency.ts; IntegrationClosurePage.vue,"서버 strict duplicate detection + BigInteger/BigDecimal parsing, 프론트 raw JSON strict parser 또는 typed form을 적용한다.",".\gradlew.bat --no-daemon :cpf-admin:test --tests ""com.cpf.admin.approval.*""","duplicate key, Unicode collision, 64-bit integer, high-scale decimal corpus가 browser/server 동일 canonical hash로 PASS.","결함 잔존, 명령 Exit Code 비정상, exact-SHA 불일치, Evidence 누락/빈 파일/Hash 불일치 또는 필수 Runtime 미실행",exact SHA; clean working tree; command; tool/environment versions; start/end; exit code; sanitized stdout/stderr; artifact/tree hash; negative/concurrency/runtime result,승인 화면에 표시된 원문과 서버가 해석·hash·실행하는 값이 달라질 수 있다.,e7cc9ada86c871214a20862779f2433bc46fea1b,R5I
