work_item_id,canonical_requirement_id,priority,work_type,axis,axis_title,owner,dependencies,markdown_file,ledger_part,development_status,verification_status,next_action
CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,OPS-CONFIG,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-admin control plane + runtime owner,,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,OPS-CONFIG,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-admin control plane + runtime owner,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-CONFIG-03-VERIFICATION_EVIDENCE,OPS-CONFIG,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-admin control plane + runtime owner,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP;CPF-WP-OPS-CONFIG-02-IMPLEMENTATION_CONSUMER,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-CONFIG-04-FAILURE_RECOVERY,OPS-CONFIG,P1,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-admin control plane + runtime owner,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-CONFIG-05-OPERATIONS_SECURITY,OPS-CONFIG,P1,PRODUCT_IMPLEMENTATION,OPERATIONS_SECURITY,보안·승인·감사·운영,cpf-admin control plane + runtime owner,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-CONFIG-06-DATA_MIGRATION,OPS-CONFIG,P1,PRODUCT_IMPLEMENTATION,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,cpf-admin control plane + runtime owner,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-CONFIG-07-GENERATION_COMPATIBILITY,OPS-CONFIG,P1,PRODUCT_IMPLEMENTATION,GENERATION_COMPATIBILITY,생성·Artifact·호환성,cpf-admin control plane + runtime owner,CPF-WP-OPS-CONFIG-01-CONTRACT_OWNERSHIP,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-DRIFT-01-CONTRACT_OWNERSHIP,OPS-DRIFT,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-admin control plane + runtime owner,,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER,OPS-DRIFT,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-admin control plane + runtime owner,CPF-WP-OPS-DRIFT-01-CONTRACT_OWNERSHIP,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_01_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-OPS-DRIFT-03-VERIFICATION_EVIDENCE,OPS-DRIFT,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-admin control plane + runtime owner,CPF-WP-OPS-DRIFT-01-CONTRACT_OWNERSHIP;CPF-WP-OPS-DRIFT-02-IMPLEMENTATION_CONSUMER,70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_02.md,ledgers/70_OPERATIONS_SRE_RUNTIME_CONTROL_PART_02_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
