defect_id,priority,status,area,owner,paths,finding,impact,root_cause,required_fix,required_validation,regression_guard
QA39-DEF-001,P0,실패,Gradle Settings,Root Build,settings.gradle; cpf-starters/integration-ftps; cpf-starters/integration-grpc; cpf-starters/integration-object-storage-s3; cpf-starters/integration-realtime-webflux; cpf-starters/integration-smb; cpf-starters/integration-soap; cpf-starters/integration-webhook,build.gradle과 Source가 존재하는 7개 Integration 모듈이 settings.gradle include/projectDir에 없다.,전체 Build·Test·Publication·BOM·Consumer에서 완전히 제외된다. 파일 존재만으로 완료 표시된 상태다.,신규 Module 디렉터리 생성 후 Settings/Artifact Graph 역추적 Gate가 없었다.,"7개 Module을 정식 Project로 등록하고 Artifact Catalog·BOM·Platform Properties·Profile·Consumer까지 연결하거나, 지원 대상이 아니면 Source와 완료표시를 제거한다.","Gradle projects, 각 모듈 compileJava/test, publication smoke, POM/BOM resolution",모든 build.gradle 디렉터리가 Settings 또는 명시적 Composite Build에 반드시 매핑되는 Gate
QA39-DEF-002,P0,실패,Artifact Graph,Build/Release,cpf-tools/release/cpf-final-artifact-catalog.json; cpf-tools/build/platform-bom/build.gradle; gradle/cpf-platform.properties,"누락된 7개 Integration 모듈이 Artifact Catalog, BOM, Platform Version 정본에도 없다.",Publication·Version Lock·SBOM·License·Upgrade 대상에서 누락된다.,Settings/BOM/Catalog/Properties를 각각 수동 편집했고 단일 생성 정본이 없다.,단일 Artifact Registry에서 Settings/BOM/Catalog/Properties/Publication Matrix를 생성하도록 통합한다.,Registry parity Gate와 실제 published POM/BOM consumer test,Artifact 디렉터리·Project·ArtifactId·Version Property 1:1 정합성 Gate
QA39-DEF-003,P0,실패,BOM,Build/Release,cpf-tools/build/platform-bom/build.gradle:87-137,QA38 BOM constraint 51개가 Groovy single quote 안에 ${project.version}을 사용한다.,버전이 보간되지 않아 literal ${project.version}이 POM에 기록되거나 Publication이 실패한다.,BOM Source 문자열 검증과 published POM assertion이 없었다.,GString 또는 provider 기반 version 사용으로 교정하고 모든 constraint를 Catalog에서 생성한다.,"generatePomFileForMavenJavaPublication 후 literal token 0건, 외부 Consumer dependency resolution","BOM POM에 '$','{project.version}' 문자열이 있으면 실패"
QA39-DEF-004,P0,실패,Compile Classpath,HTTP/Runtime Control/Messaging,cpf-starters/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceRegistryRepository.java; cpf-starters/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java; cpf-starters/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/applier/CpfDynamicLogLevelRuntimeApplier.java; cpf-starters/runtime-control-client/src/main/java/com/cpf/core/common/runtimecontrol/applier/CpfWebhookCallbackRuntimeApplier.java; cpf-starters/messaging-ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqAutoConfiguration.java,내부 Class Owner와 Gradle Compile Classpath를 대조해 7개 미선언/비노출 참조를 확인했다.,Java 전체 Compile 실패 가능성이 높고 현재 Static Gate는 이를 탐지하지 못한다.,물리 이동만 수행하고 Import→Owner→Dependency 역추적을 실행하지 않았다.,Owner 계약을 재배치하고 직접 의존성/API 노출을 교정하되 순환 의존은 금지한다.,모든 Project compileJava + 내부 FQN Classpath Gate,Internal FQN import가 Compile Classpath에 없으면 실패
QA39-DEF-005,P0,실패,Dependency Cycle,HTTP/Runtime Control,cpf-starters/http-client/build.gradle; cpf-starters/http-client/src/main/java/com/cpf/core/common/servicecall/CpfServiceRegistryRepository.java; cpf-starters/runtime-control-client/build.gradle,HTTP Starter가 Runtime Control의 CpfRuntimeCanonicalHash를 참조하고 Runtime Control은 HTTP Starter에 의존한다.,누락 의존성을 단순 추가하면 순환 의존이 된다.,Topology-neutral hash 계약을 Runtime Client 구현 모듈로 이동했다.,CpfRuntimeCanonicalHash를 cpf-core 또는 독립 neutral contract로 이동하고 Service Registry JDBC를 HTTP에서 분리한다.,"Gradle dependency cycle Gate, core-only compile, isolated HTTP Starter boot",Starter 간 SCC 크기 1 초과 금지
QA39-DEF-006,P0,실패,Ownership,Runtime Control,cpf-starters/runtime-control-client/build.gradle; cpf-starters/runtime-control-client/src/main/java/com/cpf/core/config/CpfRuntimeControlAutoConfiguration.java,"Runtime Control Client가 HTTP, JDBC, Messaging, SFTP를 직접 끌고 Webhook·Observability 구현까지 직접 Import하는 God Starter다.",선택 Capability 제거가 불가능하고 optional 제품을 강제로 전이하며 동일 JVM/MSA 경계를 왜곡한다.,각 Capability의 Runtime Applier 등록을 중앙 AutoConfiguration에 집중했다.,Runtime Control Core Client는 SPI만 제공하고 각 Leaf Starter가 자기 Applier를 조건부 등록하도록 역전한다.,"Leaf 제거별 ContextRunner, optional absence, aggregate profile boot",runtime-control-client에서 leaf implementation package import 0건
QA39-DEF-007,P0,실패,IBM MQ,Messaging IBM MQ,cpf-starters/messaging-ibm-mq/build.gradle; cpf-starters/messaging-ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqAutoConfiguration.java; cpf-starters/messaging-ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java,"CpfNamedBrokerClient 직접 의존이 없고, CCDT/Channel/TLS Properties가 실제 ConnectionFactory에 적용되지 않는다.",Compile 실패 가능성과 함께 IBM MQ 기능이 설정 선언 수준에 머문다.,JMS 공통 Provider와 IBM MQ Plugin 경계·Vendor Adapter를 분리하지 않았다.,"IBM MQ Vendor Plugin SPI/Adapter, 직접 Reliability 계약 의존, CCDT/TLS/Reason Code/Reconnect 실제 구현을 완성한다.",IBM MQ Testcontainer/Fixture 또는 실환경 publish/consume/unknown-result/reconnect,Properties field마다 실제 Consumer 또는 명시적 deprecated 근거 필요
QA39-DEF-008,P0,실패,Archive Wiring,File Archive,cpf-starters/file-archive/src/main/java/com/cpf/starter/archive/CpfArchiveAutoConfiguration.java; cpf-starters/file-archive/src/main/java/com/cpf/starter/archive/CpfArchiveService.java; cpf-starters/file-archive/src/main/java/com/cpf/core/common/archive/LocalCpfArchiveService.java,"AutoConfiguration이 새 단순 Zip Service를 Bean으로 등록하고, 실제 Core API 구현 LocalCpfArchiveService는 등록하지 않는다.",기존 CpfArchiveService API Consumer가 Bean을 받지 못하고 TAR/GZIP/Streaming 구현이 Dead Source가 된다.,호환 API 이관과 새 편의 API 추가를 별개로 처리해 Consumer 계약을 놓쳤다.,Core API Port에 LocalCpfArchiveService를 연결하고 편의 Service는 그 Port를 위임하도록 통합한다.,"ApplicationContextRunner, ZIP/TAR/GZIP 정상·ZipSlip·Bomb·Rollback 회귀",이관된 Product implementation은 최소 하나의 실제 Bean/Consumer를 가져야 함
QA39-DEF-009,P0,실패,Batch Ownership,cpf-batch,cpf-batch/build.gradle,subprojects 전체에 Event Kafka와 Scheduled Profile을 implementation으로 주입한다.,contract·testkit까지 Runtime Starter를 오염시키고 Public Contract의 경량성과 역방향 의존을 깨뜨린다.,실제 Batch Runtime Consumer를 식별하지 않고 상위 aggregate에서 일괄 적용했다.,execution-runtime/scheduler/worker 등 실제 Runtime Project에만 필요한 Profile을 선언한다.,"각 Batch subproject dependencyInsight, contract/testkit POM, bootJar/build",contract/testkit의 Spring Boot Runtime Starter 의존 금지
QA39-DEF-010,P0,실패,Generator Binding,Generator,cpf-tools/generator/create-domain.ps1; cpf-tools/generator/contracts/capability-profiles.json,ProviderBindings는 검증·Manifest 기록에만 사용되고 생성 Gradle dependency를 변경하지 않는다. 모든 Profile이 Kafka/Rabbit/JMS/IBM MQ 등을 공통 허용한다.,EVENT_KAFKA에 messaging=rabbitmq를 지정해도 Kafka Profile이 생성되는 등 설정과 실제 Provider가 불일치한다.,Profile Dependency Resolution과 Named Binding Resolution을 분리 구현했다.,Provider Binding으로 Leaf Starter와 Profile Lock을 실제 재해석하고 Capability 없는 Binding은 fail-closed한다.,Profile×Provider positive/negative generated fixture matrix,Manifest resolvedStarters와 생성 build.gradle dependency set 완전 일치
