capability,owner_module,runtime_consumer,target_scope,managed_data,current_state,target_snapshot,preview,permission,approval,operation_id_cas,desired,delivery,ack_actual,drift,retry,cancel,rollback_reconcile,restart_required,audit_masking,adm_ui,runtime_tests,evidence,completion_prohibition
공통코드,cpf-common / cpf-admin,공통코드 조회 Consumer·업무 Domain,Global·Environment·Domain·Group·Instance,코드 그룹/값·시행기간·비활성·Cache Version,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
메시지·응답코드,cpf-common / cpf-admin,API 오류·정상 응답 Consumer,Global·Environment·Domain·Group·Instance,다국어 메시지·응답코드 Mapping·참조 무결성,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
설정·Parameter·Feature Flag,cpf-core / cpf-common / cpf-admin,Configuration Resolver·Feature Consumer,Global·Environment·Domain·Group·Instance,자료형·Schema·범위·우선순위·TTL·Restart Required,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
Cache,cpf-core / cpf-common / cpf-admin,Cache Resolver·업무 Consumer,Domain·Cache Region·Group·Instance·Key,상태·Version·항목수·Full/Delta Refresh·Key Evict,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
온라인 거래,cpf-core / cpf-admin,Online Transaction Engine·업무 Controller,Domain·거래그룹·Transaction ID·Group·Instance,Enable/Block/Drain/Maintenance·Timeout·Retry·Circuit·Rate Limit,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
Local·Remote Service Call,cpf-core / cpf-gateway / cpf-admin,ServiceCall Engine·Generated Domain Client,Service·Endpoint·Zone·Cell·Group·Instance,Local Facade·Remote Facade·Timeout·Retry·Failover·UNKNOWN_RESULT,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
Gateway,cpf-gateway / cpf-admin,Gateway Proxy·Route Consumer,Route·Service·Zone·Cell·Group·Instance,Method·Header·Auth·Weight·Priority·Streaming·Canary·Rollback,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
로그·추적,cpf-core / cpf-admin,Logging Engine·Trace Consumer,Logger·Package·Domain·Transaction·Group·Instance,Log Level·Sampling·Trace Boost·Masking·TTL·Desired/Actual,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
Batch·Scheduler·Worker·Center-Cut·Agent,cpf-batch / cpf-admin,Control Server·Scheduler·Worker·Runner·Agent,Job·Step·Chunk·Partition·Pool·Group·Instance,Run/Stop/Pause/Resume/Cancel·Lock·Ghost·Checkpoint·Reprocess,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
Security Runtime Policy,cpf-core / cpf-admin / cpf-biz-admin,AuthN/AuthZ·Masking·Secret Consumer,Environment·Domain·Group·Instance·Principal,Permission·Masking·JWT Key·Certificate·Secret Ref·Rotation,Version/Hash/Status/UpdatedAt/Owner 조회,Preview 시 대상 고정·Snapshot Hash,전후값·영향·대상수·위험·Rollback 가능성,Read/Write/Operate 분리·Tenant/Domain 격리,고위험 Quorum·Expiry·Self Approval 금지·Break Glass 상한,operationId+requestHash+expectedVersion/CAS,Canonical Desired Version,Durable Delivery·순서·중복 방지,대상별 ACK/Actual Version/Hash/Error,Desired-Actual/Backlog/Offline 표시,실패 대상 bounded retry,예약/미적용 변경 취소,Last Good 또는 Forward Recovery·Offline 복귀 Reconcile,동적 적용/재기동 필요 구분,사유·승인·전후 Hash·결과·민감정보 마스킹,검색·Paging·상세·Preview·상태·Partial/Stale·조치,정상·오류·경계·2+ Instance·재기동·부분 실패,최신 SHA·명령·환경·로그·DB/API/UI·Hash,DB 저장/버튼/API/Mock/현재 JVM 변경만으로 완료 금지
