engineering_gate_id,status,actual_result,evidence_ref
GATE-01-OWNERSHIP,PASS,Direct source/path ownership mapped; no unowned Scope IDs.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-02-CONSUMER,FAIL,"54 capability FRs: actual applier 2, generic primitive only 4, missing actual applier 48.",cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_OPENAPI_NEGATIVE_GATE.json
GATE-05-DB-QUERY,PASS,75 repository SQL statements; unknown table 0; 14 state/CAS/fencing contracts pass.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_DB_STATIC_VALIDATION.json
GATE-06-STATE-IDEMP,PASS_ALT,State transition 45 and duplicate/attempt fencing harnesses pass under Java21.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-08-UNKNOWN-RECOVERY,PASS_ALT,"ACK response-loss, cleanup UNKNOWN, process-kill replay and reconcile pass.",cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-09-SECURITY,PARTIAL,Approval/reason/audit/masking source exists; target authz negative runtime absent.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-10-CRYPTO-PRIVACY,FAIL,payload_json/rollback_payload_json plaintext; encrypt/decrypt storage SPI absent.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_OPENAPI_NEGATIVE_GATE.json
GATE-11-OPS-AUDIT,PASS_ALT,operation/change/delivery/audit durable paths and contract tests pass.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-12-OBSERVABILITY,PARTIAL,health/status/drift exposed; full metrics/alerts/browser dashboard not verified.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-15-GENERATOR,FAIL,OpenAPI snapshot missing requestBody/query; generated client and raw URL consumer drift.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_OPENAPI_NEGATIVE_GATE.json
GATE-16-COMPATIBILITY,PARTIAL,legacy ACK constructor/attempt compatibility verified; Java25 publication/binary check absent.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-17-SUPPLY-CHAIN,UNVERIFIED,No Java25 Gradle publication/SBOM/signature execution.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-18-TEST-EVIDENCE,PARTIAL,338/950 individual ledger complete; substitute tests pass; formal target runtime absent.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-19-DOC-SUPPORT,PASS,V8 session result/evidence/handover produced; protected guides untouched.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-20-HYGIENE,PASS,UTF-8/NUL/trailing whitespace/secret/protected path/collision scan pass under assignment allowlist.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
GATE-21-TIME,PASS_ALT,Clock/timeout/retry/backoff/lease semantics and deterministic harness assertions pass.,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_CONTRACT_HARNESS.txt
