deletion_group,exact_path,final_action,reason,required_before_delete,related_cleanup,verification,approval_state
COMPLETE_REMOVE,cpf-starters/aop-service-access,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/validation,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/resilience,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/featureflag,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/integration-ftps,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/integration-grpc,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/integration-object-storage-s3,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/integration-realtime-webflux,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/integration-smb,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
COMPLETE_REMOVE,cpf-starters/integration-soap,Source/Module 완전 제거,OSS 직접 사용 대비 CPF 제품가치 없음 또는 공식 제품 범위 밖,Consumer/FQN/API 양방향 추적; 필요한 공통 계약 분리,settings/projectDir/BOM/catalog/generator/AutoConfiguration imports/tests/config/docs/evidence,Test-Path false + repository reference 0 + fresh build,QA_REQUEST_CONFIRMED_NOT_EXECUTED
