simple_name,old_fqcn,new_fqcn,layer
CpfContext,com.cpf.core.context.CpfContext,com.cpf.core.api.context.CpfContext,public
CpfContexts,com.cpf.core.context.CpfContexts,com.cpf.core.api.context.CpfContexts,public
CpfContextSnapshot,com.cpf.core.context.CpfContextSnapshot,com.cpf.core.api.context.CpfContextSnapshot,public
CpfContextEnvelope,com.cpf.core.api.context.CpfContextEnvelope,com.cpf.core.api.context.CpfContext,semantic
CpfContextEnvelope,com.cpf.core.api.context.model.CpfContextEnvelope,com.cpf.core.api.context.CpfContext,semantic
CpfContextView,com.cpf.core.api.context.CpfContextView,com.cpf.core.api.context.CpfContext,semantic
CpfContextView,com.cpf.core.api.context.model.CpfContextView,com.cpf.core.api.context.CpfContext,semantic
CpfTransactionContext,com.cpf.core.api.context.CpfTransactionContext,com.cpf.core.api.context.CpfContext.CpfTransactionContext,semantic
CpfTransactionContext,com.cpf.core.api.context.model.CpfTransactionContext,com.cpf.core.api.context.CpfContext.CpfTransactionContext,semantic
CpfExecutionContext,com.cpf.core.api.context.CpfExecutionContext,com.cpf.core.api.context.CpfContext.CpfExecutionContext,semantic
CpfExecutionContext,com.cpf.core.api.context.model.CpfExecutionContext,com.cpf.core.api.context.CpfContext.CpfExecutionContext,semantic
CpfOperationContext,com.cpf.core.api.context.CpfOperationContext,com.cpf.core.api.context.CpfContext.CpfOperationContext,semantic
CpfOperationContext,com.cpf.core.api.context.model.CpfOperationContext,com.cpf.core.api.context.CpfContext.CpfOperationContext,semantic
CpfIdentityContext,com.cpf.core.api.context.CpfIdentityContext,com.cpf.core.api.context.CpfContext.CpfIdentityContext,semantic
CpfIdentityContext,com.cpf.core.api.context.model.CpfIdentityContext,com.cpf.core.api.context.CpfContext.CpfIdentityContext,semantic
CpfTenantContext,com.cpf.core.api.context.CpfTenantContext,com.cpf.core.api.context.CpfContext.CpfTenantContext,semantic
CpfTenantContext,com.cpf.core.api.context.model.CpfTenantContext,com.cpf.core.api.context.CpfContext.CpfTenantContext,semantic
CpfCancellationMode,com.cpf.core.api.context.CpfCancellationMode,com.cpf.core.api.context.CpfContext.CpfCancellationMode,semantic
CpfExecutionType,com.cpf.core.api.context.CpfExecutionType,com.cpf.core.api.context.CpfContext.CpfExecutionType,semantic
CpfIdempotencyMode,com.cpf.core.api.context.CpfIdempotencyMode,com.cpf.core.api.context.CpfContext.CpfIdempotencyMode,semantic
CpfIdempotencyScope,com.cpf.core.api.context.CpfIdempotencyScope,com.cpf.core.api.context.CpfContext.CpfIdempotencyScope,semantic
CpfPrincipalType,com.cpf.core.api.context.CpfPrincipalType,com.cpf.core.api.context.CpfContext.CpfPrincipalType,semantic
CpfTransactionOriginKind,com.cpf.core.api.context.CpfTransactionOriginKind,com.cpf.core.api.context.CpfContext.CpfTransactionOriginKind,semantic
CpfBusinessDateProvider,com.cpf.core.api.context.CpfBusinessDateProvider,com.cpf.foundation.time.spi.CpfBusinessDateProvider,spi
CpfBusinessDateProvider,com.cpf.core.spi.context.CpfBusinessDateProvider,com.cpf.foundation.time.spi.CpfBusinessDateProvider,spi
CpfExecutionIdGenerator,com.cpf.core.api.context.CpfExecutionIdGenerator,com.cpf.foundation.id.spi.CpfExecutionIdGenerator,spi
CpfExecutionIdGenerator,com.cpf.core.spi.context.CpfExecutionIdGenerator,com.cpf.foundation.id.spi.CpfExecutionIdGenerator,spi
CpfTransactionIdGenerator,com.cpf.core.api.context.CpfTransactionIdGenerator,com.cpf.foundation.id.spi.CpfTransactionIdGenerator,spi
CpfTransactionIdGenerator,com.cpf.core.spi.context.CpfTransactionIdGenerator,com.cpf.foundation.id.spi.CpfTransactionIdGenerator,spi
