repository_relative_path,delete_type,reason,approved_by_user
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/CHANGE_MANIFEST.csv,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/CODEX_REVIEW_REQUEST.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/HANDOVER.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/OPEN_ISSUES.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/PACKAGE_MANIFEST.json,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/QA_PATCH_REVIEW.csv,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/REQUEST.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/SESSION_ARTIFACT_MANIFEST.csv,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/SESSION_CLEANUP_COMMAND.ps1,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/TEST_AND_EVIDENCE.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/evidence/CANONICAL_EVIDENCE_MATRIX.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/evidence/ENVIRONMENT.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/evidence/GATE_RESULT.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/evidence/INTEGRATION_REQUEST_CPF-V9-INT-S03-001.md,EXACT_FILE,Replaced by short V9 S03 workspace path,true
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S03/evidence/LATEST_MASTER_CONFIRMATION.json,EXACT_FILE,Replaced by short V9 S03 workspace path,true
