exact_id,document,development_status,verification_status,overall_status,qa_status,basis_sha,qa_comment
DOC-01,기술사양서,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-02,기술표준서,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-03,데이터베이스표준서,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-04,아키텍처설계서,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-05,개발자매뉴얼,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-06,배치개발매뉴얼,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-07,ADM개발자매뉴얼,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-08,ADM운영자매뉴얼,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-09,플랫폼운영매뉴얼,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-10,BZA매뉴얼,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
DOC-11,Gateway매뉴얼,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,07_08 Product source changed after prior document baseline and this QA found NEW-001~005; source fixes must be reflected then doc/PDF visual/source parity rerun.
