scenario_id,linked_requirement_id,canonical_requirement_ids,priority,area,scenario_type,title,actor,preconditions,test_data,steps,expected_result,failure_criteria,environment,topology,required_evidence,execution_status,baseline_sha,evidence_path,open_issue,next_action,execution_phase_id,execution_phase_name,execution_order,work_package_id,predecessor_phase_ids,blocking_phase_gate_id
CPF-SC-035767,CPF-FR-025562,,P0,DATA,DIRECT_FUNCTION_CLOSURE,[Archive / EVIDENCE] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035767,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035768,CPF-FR-025563,,P0,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / SPEC] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035768,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035769,CPF-FR-025564,,P0,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / IMPLEMENT] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035769,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035770,CPF-FR-025565,,P1,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / STATE_DATA] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035770,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035771,CPF-FR-025566,,P0,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / SECURITY] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035771,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035772,CPF-FR-025567,,P1,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / FAILURE] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035772,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035773,CPF-FR-025568,,P0,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / UNKNOWN_RECOVERY] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035773,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035774,CPF-FR-025569,,P1,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / OPERATIONS] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035774,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035775,CPF-FR-025570,,P1,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / COMPATIBILITY] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035775,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035776,CPF-FR-025571,,P0,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / TEST] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035776,P04-DATA_PLATFORM,P03,CPF-GATE-04
CPF-SC-035777,CPF-FR-025572,,P0,DATA,DIRECT_FUNCTION_CLOSURE,[Data Lineage / EVIDENCE] 실제 Consumer 수직 흐름과 실패·복구·Evidence를 검증한다.,담당 개발자·운영자·보안관리자·고객 개발자,상태·DTO·오류·시간·ID 계약 확정; 최신 master exact SHA; 실제 Consumer/Runtime 준비,정상·invalid·경계·duplicate·stale version·권한 부족·timeout·partial·UNKNOWN fixture,1) 정상 Consumer 경로 실행; 2) 오류/경계/권한 검증; 3) 동시성·중복 검증; 4) dependency failure/응답 유실 주입; 5) reconcile/recovery; 6) DB/API/UI/Audit/Metric/Trace pre/post 비교,정의된 상태·side effect·오류·권한·Audit·복구 결과가 일치하고 중복 side effect·민감정보 노출이 0건,Mock-only·Consumer 미호출·자동 성공/실패 축약·blind retry·UI-only 권한·Stale Evidence,적용 가능한 Java25·DB·Provider·Browser·다중 Instance·Fault 환경,동일 JVM·분리 WAS·다중 Instance 중 Requirement 적용 범위,exact SHA·clean tree·명령·환경/버전·시작/종료·exit code·pre/post 상태·DB/API/UI/Audit/Metric/Trace·report/artifact SHA-256·sanitization,미검증,4aea798c913787e86341809e2cef2b9495cbf7ba,,R3 신규 Requirement 실행 대기,지정 Phase에서 구현 후 직접 실행,P04,Canonical Data·DB Schema·Migration·Runtime Query,04-00035777,P04-DATA_PLATFORM,P03,CPF-GATE-04
