requirement_id,family,canonical_role,catalog_row_accounted,direct_current_handler_opened,qa37_gate_source_reviewed,static_verdict,runtime_verdict,QA_closure,linked_finding,review_notes,exact_sha
EDU-DEV-01,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-02,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-03,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-04,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-05,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-06,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-07,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-08,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-09,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-10,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-11,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-12,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-13,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-14,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
EDU-DEV-15,DEV,CPF_EDU_DEVELOPER,Y,N,Y,UNVERIFIED_CURRENT_HANDLER,미검증,미통과,AB-R6-039,"QA37 current gate accounts for catalog/source/scenario/5 tests/consumer binding, but current exact-SHA gate was not executed and this handler was not manually opened in this QA session.",3ed676061246c9db3e44f29e254c0393ecca3929
