scenario_id,scenario,acceptance,requirement_ids,verification_status,evidence
QA39-S001,Starter catalog one-screen,공개 Capability/Profile 수가 기준 이하이고 Leaf가 숨겨지는지,"QA39-005,QA39-007,QA39-033",완료,PASS: canonical gate profiles=6/groups=7 and public-surface Catalog hides Leaves.
QA39-S002,RabbitMQ clean compile,빈 cache JDK25에서 messaging-rabbitmq compile/test,QA39-002,재확인 필요,Low-cost RabbitMQ explicit-import compile PASS; JDK25 fresh Gradle remains.
QA39-S003,Kafka named binding,"Kafka+RabbitMQ named binding, default 1개/0개/2개 matrix","QA39-008,QA39-009",재확인 필요,Named binding source and 0/1/2 fail-closed tests implemented; full Gradle remains.
QA39-S004,Provider swap,동일 업무 Source로 Kafka→RabbitMQ→JMS→IBM MQ 전환,QA39-008,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S005,Outbox process kill,CLAIMED 직후 worker kill 및 lease 회수,QA39-010,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S006,Unknown result reconcile,Broker ACK loss 후 reconcile 전 재발행 금지,QA39-010,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S007,Notification lease reclaim,CLAIMED worker kill 후 재처리,QA39-011,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S008,Notification unknown,SMTP timeout이 SENT/COMPLETED로 오인되지 않는지,QA39-011,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S009,Quartz cluster,"2 scheduler, JDBC JobStore, failover/misfire",QA39-012,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S010,Batch dependency isolation,contract/testkit에 Kafka/Quartz runtime 미포함,QA39-013,완료,PASS: dependency graph gate finds no runtime Profile in cpf-batch contract/testkit.
QA39-S011,Consumer duplicate dependency,ADM/BZA/Gateway/Reference/Member profile-leaf 중복 없음,QA39-014,완료,PASS: consumer dependency gate finds exactly one Profile and no duplicate embedded Leaf.
QA39-S012,Generated Domain capability UX,Capability 3개 선택 후 resolved lock 생성·fresh build,"QA39-015,QA39-033",재확인 필요,Generated Domain canonical/lock/static packaging gate PASS; PowerShell fresh build remains.
QA39-S013,Catalog parity,settings/BOM/artifact/profile 1:1,QA39-016,완료,PASS: Settings/BOM/Artifact/Profile Catalog canonical parity gate.
QA39-S014,Evidence integrity,모든 hash target 존재 및 current SHA 일치,QA39-017,재확인 필요,Overlay hash manifest generated; post-push exact Git SHA verification remains.
QA39-S015,Three vendor lifecycle,MariaDB/PostgreSQL/Oracle empty→install→upgrade→rollback,QA39-019,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S016,SFTP secret/host key,"raw password prod fail, pinned key mismatch fail",QA39-021,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S017,Health real dependency,SFTP/MQ/OTLP down 시 health degraded/down,QA39-022,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S018,Thin wrapper removal,AOP/Validation/Resilience/FeatureFlag Consumer 제거·build,QA39-023,재확인 필요,Reference-zero gate is ready; exact deletion execution remains NOT_EXECUTED.
QA39-S019,File capability,Attachment/Archive/Tabular/SFTP 단일 Capability 생성·사용,QA39-024,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S020,Transaction integration fault,"TCP write 후 response loss, ISO8583/fixedlength reconcile",QA39-025,미검증,Implementation/test source exists; external or Java 25 runtime scenario was not executed in this environment.
QA39-S021,Public API OSS leak,업무 fixture가 OSS SDK import 없이 compile,QA39-026,완료,PASS: customer Broker/Notification provider fixtures compile and run without OSS/internal imports.
QA39-S022,Master CI required checks,정확한 SHA에 Java/Frontend/DB/Runtime/Supply-chain check 존재,QA39-018,재확인 필요,Required workflow Source is wired; branch protection/actual run remains.
QA39-S023,Protected path zero change,Overlay 및 Delete Manifest 보호 경로 0건,QA39-031,완료,PASS: protected path scan 0 changed/delete paths.
QA39-S024,Completion status gate,Evidence 누락 행의 완료 상향 차단,QA39-032,완료,PASS: False Complete gate rejects missing development/verification evidence.
