no,path,component,status,checks,runtime_execution
1,/,cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
2,/topology,cpf-admin/frontend/src/features/topology/TopologyPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
3,/capacity,cpf-admin/frontend/src/features/operations/OnlineDiagnosticsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
4,/logs,cpf-admin/frontend/src/features/logs/LogsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
5,/transactionGroups,cpf-admin/frontend/src/features/operations/IntegratedTracePage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
6,/transactions,cpf-admin/frontend/src/features/transactions/TransactionsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
7,/remoteLogs,cpf-admin/frontend/src/features/remote-logs/RemoteLogsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
8,/auditLogs,cpf-admin/frontend/src/features/audit-logs/AuditLogsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
9,/logLevel,cpf-admin/frontend/src/features/log-level/LogLevelPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
10,/logPolicies,cpf-admin/frontend/src/features/log-policies/LogPoliciesPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
11,/standardExecutions,cpf-admin/frontend/src/features/standard-executions/StandardExecutionsPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
12,/channelPolicy,cpf-admin/frontend/src/features/channel-policy/ChannelPolicyPage.vue,PASS,section;component;feature;actual_block;inputs;actions;permission;version;recovery;specific_procedure,미검증
