requirement_id,title,root_cause_group,status,prevention_gate
SELF-001,Catalog duplicate before dictionary conversion,catalog-bom,완료,cpf-tools/verification/qa39
SELF-002,Apply canonical overlay self-dirty prevention,starter-move,완료,cpf-tools/verification/qa39
SELF-003,Self-nested capability sibling swallow prevention,starter-move,완료,cpf-tools/verification/qa39
SELF-004,Dynamic BOM Gate false-negative prevention,catalog-bom,완료,cpf-tools/verification/qa39
SELF-005,Generated Route Contract comma-safe regeneration,frontend,완료,cpf-tools/verification/qa39
SELF-006,OpenFeature Evaluation Context provider propagation,feature-flag,완료,cpf-tools/verification/qa39
SELF-007,JDBC DDL/insert column semantic parity,database,완료,cpf-tools/verification/qa39
SELF-008,Batch Source Kafka direct import removal,batch,완료,cpf-tools/verification/qa39
SELF-009,Worker composite identity and fencing audit,batch,완료,cpf-tools/verification/qa39
SELF-010,Evidence READY/PLANNED/NOT_EXECUTED false PASS rejection,evidence-gate,완료,cpf-tools/verification/qa39
