exec_id,canonical_ref,target_menu_group,route_id,current_path,screen_name,risk_level,feature_description,required_ui,required_flow,acceptance,evidence,status,coverage_route_id,coverage_path,coverage_mode,coverage_notes,development_status,verification_status
ADMUI-001,"ADM-SERVICE, ADM-UX",01 운영현황,capacity,/capacity,Online Runtime Diagnostics,MEDIUM,온라인 Runtime의 Health/Status와 Outbox/Inbox/Idempotency/File 처리 현황을 함께 보고 병목·적체 징후를 진단.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 6개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,capacity,/capacity,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-002,"ADM-UX, ADM-SERVICE, ADM-INCIDENT",01 운영현황,dashboard,/,통합 운영 Dashboard,MEDIUM,플랫폼 전체 상태를 한 화면에서 요약하고 장애·Unknown·DLQ·Batch 실패·Readiness/Liveness를 업무 흐름별 상세 화면으로 Drill-down하는 운영 시작점.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 9개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,dashboard,/,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-003,ADM-SERVICE,01 운영현황,health-instances,/health-instances,Runtime Instance Health,MEDIUM,"Runtime Instance별 Readiness/Liveness, 최근 상태변경, 기본 진단정보를 조회하여 개별 인스턴스 장애를 빠르게 식별.",페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 2개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,health-instances,/health-instances,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-004,ADM-SERVICE,01 운영현황,topology,/topology,서비스 토폴로지,MEDIUM,"서비스→Endpoint→Instance의 배치 위치, 버전, Zone, Health, Routing 관계를 시각화하고 장애 Instance와 영향 서비스를 즉시 식별.",페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 4개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,topology,/topology,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-005,"ADM-LOG, ADM-TX",02 거래·실행 추적,logs,/logs,거래 로그,MEDIUM,거래 로그를 조건검색하고 상세·Export·Download를 제공하되 TransactionId 연계와 Masking·Download Guard를 적용.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 4개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,logs,/logs,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-006,"ADM-TX, ADM-TIMELINE",02 거래·실행 추적,standardExecutions,/standardExecutions,표준 실행,MEDIUM,표준 실행 단위의 상태와 상세를 조회하여 Transaction/Batch/연계 실행과 연결.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 2개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,standardExecutions,/standardExecutions,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-007,"ADM-TX, ADM-TIMELINE",02 거래·실행 추적,transactionGroups,/transactionGroups,Online·Batch 통합 Trace,MEDIUM,TransactionId/TraceId/BusinessTransactionId 하나로 Online·Remote·Event·Batch·Gateway·File Segment와 Attempt를 시간순 Timeline으로 재구성.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 9개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,transactionGroups,/transactionGroups,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-008,ADM-TX,02 거래·실행 추적,transactions,/transactions,온라인 거래 정의,HIGH,온라인 거래 Metadata/정의와 활성상태를 검색·조회하고 변경 영향과 안전한 비활성화를 관리.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help; 위험조치 배지; 영향 Preview; Reason; Confirm; Approval/SoD; Audit; 결과/복구,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 5개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,transactions,/transactions,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-009,"ADM-SERVICE, ADM-AUDIT",03 서비스·연계·Gateway,channelPolicy,/channelPolicy,채널 정책,HIGH,채널별 실행/허용 정책 Snapshot을 조회·편집·Import/Export하고 Runtime 반영상태와 충돌을 확인.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help; 위험조치 배지; 영향 Preview; Reason; Confirm; Approval/SoD; Audit; 결과/복구,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 6개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,channelPolicy,/channelPolicy,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
ADMUI-010,"ADM-LOG, ADM-UX",03 서비스·연계·Gateway,downloads,/downloads,다운로드,MEDIUM,Download Policy와 Download Audit를 조회하고 안전한 Export/CSV Download를 제공.,페이지 제목+기능설명; 검색/필터; Loading/Empty/Error; 상세/Drill-down; 권한표현; 최근갱신; 관련ID Copy; Help,Menu→Route→Page→Generated Client→Backend API→Owner Runtime/DB→Permission/Audit→E2E,expectedOperationIds 3개 실제 Consumer 확인; raw mock-only 금지; 401/403/404/409/429/500/503 UX; Desktop/Narrow Playwright,"Route Matrix, OpenAPI operation mapping, Browser E2E, Screenshot, permission/audit evidence",DEVELOPMENT_COMPLETE_RUNTIME_UNVERIFIED,downloads,/downloads,DIRECT,요구 Capability를 동일 물리 Route의 Page→Generated Client→Backend Owner 흐름으로 직접 제공,완료,미검증
