campaign_id,session_id,work_item_id,canonical_requirement_id,axis,priority,owner,개발GPT_수행상태,개발GPT_자체검수상태,acceptance_result,actual_source,actual_consumer,actual_result,direct_or_alternative,evidence_ref,remaining_gap
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-AUTH-01-CONTRACT_OWNERSHIP,ADM-AUTH,CONTRACT_OWNERSHIP,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance,"계약·Ownership 확정: Canonical Owner Module·Package·State Owner와 실제 Consumer를 코드 기준으로 확정한다. || Public API·SPI·Internal, 입력·출력·오류·lifecycle·thread-safety·version 계약을 정의한다. || 역방향/순환 의존, Internal 참조, 선택 OSS type 노출, Dual Primary와 owner 없는 공통기능을 제거 또는 이관 대상으로 등록한다. || Local/Remote/Async/Batch 등 적용 topology에서 계약 동등성과 trust boundary를 정의한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java | Consumer: ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log | Result: PASS",ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-AUTH.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_ADM_MFA_JAVA21.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-AUTH-02-IMPLEMENTATION_CONSUMER,ADM-AUTH,IMPLEMENTATION_CONSUMER,P1,cpf-admin,완료,완료,PASS_DIRECT,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance,"기본 구현·실제 Consumer 연결: Interface/DTO/Marker가 아닌 안전한 기본 구현·Provider·AutoConfiguration·상태 저장을 제공한다. || Bean/Route/SQL/API/Frontend/Script를 실제 Product Consumer 호출 경로에 연결한다. || 설정 safe default, validation, capability detection, lifecycle start/stop와 resource cleanup을 구현한다. || Consumer 없는 추상화나 Sample-only 구현이면 완료하지 않고 실제 Consumer 연결 또는 통합/폐기 후보로 처리한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java | Consumer: ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log | Result: PASS",DIRECT_PLUS_ALTERNATIVE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-AUTH.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_ADM_MFA_JAVA21.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-AUTH-03-VERIFICATION_EVIDENCE,ADM-AUTH,VERIFICATION_EVIDENCE,P1,cpf-admin,완료,완료,PASS_DIRECT,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance,"검증·Evidence·추적성: 연결 CPF-FR Requirement와 CPF-SC Scenario를 논리 원장에서 전수 추출해 이 Work Package에 매핑한다. || 목표 환경을 먼저 실제 실행하고, 불가능할 때 최대 대체검증과 남은 실제 Runtime 차이를 분리한다. || 각 Scenario에 Test Method·Assertion·실제 결과·Evidence를 개별 연결한다. || 명령, 환경/version, 시간, exit code, report/artifact hash, sanitization과 baseline/working-tree 상태를 기록한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java | Consumer: ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log | Result: PASS",DIRECT_PLUS_ALTERNATIVE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-AUTH.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_ADM_MFA_JAVA21.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-AUTH-04-FAILURE_RECOVERY,ADM-AUTH,FAILURE_RECOVERY,P1,cpf-admin,완료,완료,PASS_DIRECT,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance,"오류·부분 실패·UNKNOWN·복구: 정상, invalid, timeout, cancellation, dependency failure, partial failure와 resource exhaustion을 구현한다. || side-effect 전/후, commit/send/ACK/response loss의 UNKNOWN을 구분하고 durable state에 기록한다. || Retry budget, idempotency, lease/fencing, restart/reclaim, reconcile/compensation/manual resolution을 적용한다. || 다중 JVM/process와 process-kill 이후 중복·stale writer·blind retry를 방지한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java | Consumer: ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log | Result: PASS",DIRECT_PLUS_ALTERNATIVE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-AUTH.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_ADM_MFA_JAVA21.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-AUTH-05-OPERATIONS_SECURITY,ADM-AUTH,OPERATIONS_SECURITY,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance,"보안·승인·감사·운영: AuthN/AuthZ, object/property/function 권한, trust boundary, secure default와 입력/자원 한도를 적용한다. || Secret/PII/credential masking, raw access, download/export와 Evidence sanitization을 적용한다. || 조회·상태·오류·timeline·control·reason·approval·SoD·expiry·immutable audit를 제공한다. || Metric/alert/runbook와 자동복구 allowlist/attempt limit/rollback/escalation을 연결한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java | Consumer: ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log | Result: PASS",ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-AUTH.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_ADM_MFA_JAVA21.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-AUTH-06-DATA_MIGRATION,ADM-AUTH,DATA_MIGRATION,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance,DB·Query·Generator·Vendor Lifecycle: DB/SQL/Query 영향 여부를 반드시 판정하고 N/A면 실제 호출 경로 근거를 기록한다. || Canonical Model/Query Contract→Generator/Template→Generated SQL/Mapper→Fresh Init/Seed→Migration/Rollback/Reapply 순서로 변경한다. || MariaDB/PostgreSQL/Oracle의 type/default/paging/locking/error/index/FK/transaction 차이를 전수 반영한다. || Repository/Mapper/DTO/Service/API/Frontend/Batch/ADM/BZA/Sample/EDU 소비자를 모두 점검한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java | Consumer: ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log | Result: PASS,ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-AUTH.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_ADM_MFA_JAVA21.log; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/REV006_FRONTEND_ASSEMBLED_CONSUMER_AND_OPENAPI.log,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-RBAC-01-CONTRACT_OWNERSHIP,ADM-RBAC,CONTRACT_OWNERSHIP,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java,ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement,"계약·Ownership 확정: Canonical Owner Module·Package·State Owner와 실제 Consumer를 코드 기준으로 확정한다. || Public API·SPI·Internal, 입력·출력·오류·lifecycle·thread-safety·version 계약을 정의한다. || 역방향/순환 의존, Internal 참조, 선택 OSS type 노출, Dual Primary와 owner 없는 공통기능을 제거 또는 이관 대상으로 등록한다. || Local/Remote/Async/Batch 등 적용 topology에서 계약 동등성과 trust boundary를 정의한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java | Consumer: ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv | Result: PASS",ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-RBAC.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-RBAC-02-IMPLEMENTATION_CONSUMER,ADM-RBAC,IMPLEMENTATION_CONSUMER,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java,ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement,"기본 구현·실제 Consumer 연결: Interface/DTO/Marker가 아닌 안전한 기본 구현·Provider·AutoConfiguration·상태 저장을 제공한다. || Bean/Route/SQL/API/Frontend/Script를 실제 Product Consumer 호출 경로에 연결한다. || 설정 safe default, validation, capability detection, lifecycle start/stop와 resource cleanup을 구현한다. || Consumer 없는 추상화나 Sample-only 구현이면 완료하지 않고 실제 Consumer 연결 또는 통합/폐기 후보로 처리한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java | Consumer: ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv | Result: PASS",ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-RBAC.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-RBAC-03-VERIFICATION_EVIDENCE,ADM-RBAC,VERIFICATION_EVIDENCE,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java,ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement,"검증·Evidence·추적성: 연결 CPF-FR Requirement와 CPF-SC Scenario를 논리 원장에서 전수 추출해 이 Work Package에 매핑한다. || 목표 환경을 먼저 실제 실행하고, 불가능할 때 최대 대체검증과 남은 실제 Runtime 차이를 분리한다. || 각 Scenario에 Test Method·Assertion·실제 결과·Evidence를 개별 연결한다. || 명령, 환경/version, 시간, exit code, report/artifact hash, sanitization과 baseline/working-tree 상태를 기록한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java | Consumer: ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv | Result: PASS",ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-RBAC.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-RBAC-04-OPERATIONS_SECURITY,ADM-RBAC,OPERATIONS_SECURITY,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java,ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement,"보안·승인·감사·운영: AuthN/AuthZ, object/property/function 권한, trust boundary, secure default와 입력/자원 한도를 적용한다. || Secret/PII/credential masking, raw access, download/export와 Evidence sanitization을 적용한다. || 조회·상태·오류·timeline·control·reason·approval·SoD·expiry·immutable audit를 제공한다. || Metric/alert/runbook와 자동복구 allowlist/attempt limit/rollback/escalation을 연결한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java | Consumer: ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv | Result: PASS",ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-RBAC.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv,NONE_FOR_ASSIGNED_ACCEPTANCE
CPF-V9-INITIAL-FULL-REVIEW-20260805-1952,DEVGPT-V9-S05,CPF-WP-ADM-AUDIT-01-CONTRACT_OWNERSHIP,ADM-AUDIT,CONTRACT_OWNERSHIP,P1,cpf-admin,완료,완료,PASS_ALTERNATIVE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuditLogController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmAuditLogService.java,ADM audit search/detail/download UI → audit APIs → AdmAuditLogController → append-only/fail-closed audit service/repository,"계약·Ownership 확정: Canonical Owner Module·Package·State Owner와 실제 Consumer를 코드 기준으로 확정한다. || Public API·SPI·Internal, 입력·출력·오류·lifecycle·thread-safety·version 계약을 정의한다. || 역방향/순환 의존, Internal 참조, 선택 OSS type 노출, Dual Primary와 owner 없는 공통기능을 제거 또는 이관 대상으로 등록한다. || Local/Remote/Async/Batch 등 적용 topology에서 계약 동등성과 trust boundary를 정의한다. | Actual source: cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuditLogController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmAuditLogService.java | Consumer: ADM audit search/detail/download UI → audit APIs → AdmAuditLogController → append-only/fail-closed audit service/repository | Verification: cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmAuditLogServiceFailClosedTest.java; evidence/CANONICAL_SOURCE_TRACE.csv | Result: PASS",ALTERNATIVE_SOURCE_TRACE,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/atomic/ADM-AUDIT.md; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/CANONICAL_SOURCE_TRACE.csv; cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S05-R6/sessions/DEVGPT-V9-S05/evidence/SOURCE_PATH_EXISTENCE_AUDIT.csv,NONE_FOR_ASSIGNED_ACCEPTANCE
