canonical_requirement_id,primary_owner,owner_module,source_paths,actual_consumer_call_path,test_and_assertion,openapi_operation_count,verification_type,source_status,consumer_status,remaining_gap,baseline_sha
ADM-AUTH,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,ADM login UI → generated/auth access method → POST /adm/api/auth/login → AdmAuthController → operator authentication → MFA secret provider/TOTP → session issuance,cpf-admin/src/test/java/com/cpf/admin/opr/security/AdmTotpVerifierTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmSecurityOperationServiceTest.java; evidence/ADM_MFA_JAVA21_HARNESS.log; evidence/ADM_MFA_FRONTEND_CONTRACT.log,6,DIRECT_HARNESS_PLUS_SOURCE_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-RBAC,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java,ADM menu/button/API permission UI → permission HTTP operations → AdmPermissionController → AdmPermissionService → permission repository/server-side enforcement,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmPermissionServiceTest.java; evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,29,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-AUDIT,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuditLogController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmAuditLogService.java,ADM audit search/detail/download UI → audit APIs → AdmAuditLogController → append-only/fail-closed audit service/repository,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmAuditLogServiceFailClosedTest.java; evidence/CANONICAL_SOURCE_TRACE.csv,6,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-TX,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmTransactionGroupController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmTransactionMetaController.java,ADM transaction search/detail UI → transaction group/meta APIs → controllers → transaction repositories/masking/audit,evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,9,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-TIMELINE,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmTransactionGroupController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmObservabilityController.java,ADM timeline/trace UI → timeline and trace APIs → transaction/observability services → local·remote·event·batch·gateway segment assembly,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmObservabilityServiceTest.java; evidence/CANONICAL_SOURCE_TRACE.csv,7,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-SERVICE,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmServiceRegistryController.java; cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryController.java,ADM service registry UI → service/instance/routing APIs → registry controllers → local/remote registry adapters,evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,15,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-LOG,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmLogController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmDynamicLogLevelController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogPolicyService.java,ADM log search/export/policy UI → log APIs → log query/policy services → masked result/audit,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmLogPolicyServiceTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmDynamicLogLevelRuleStoreTest.java; evidence/CANONICAL_SOURCE_TRACE.csv,31,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-BATCH,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java,ADM batch workbench UI → batch execution/control APIs → controllers → batch owner ports/runtime,cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmBatchOperationServiceTest.java; cpf-admin/src/test/java/com/cpf/admin/opr/service/AdmBatchJobLogServiceTest.java; evidence/CANONICAL_SOURCE_TRACE.csv,43,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-CENTER,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCenterCutController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmCenterCutOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/centercut/RemoteAdmCenterCutCommandClient.java; cpf-admin/frontend/openapi/cpf-openapi.json; cpf-admin/frontend/src/generated/cpf-operation-contract.ts; cpf-admin/frontend/src/generated/orval/cpf-api.ts,ADM batch-center-cut route/page → generated operation contract → approval request/detail → execution-scoped ADM API → approval ledger → BAT /api/v1/batch/center-cut/executions/{executionId}/{reprocess-failed|reconcile-unknown},Java21 exact-source behavior/remote-header harness; execution-scope Controller test; FAILED/UNKNOWN UI guards; OpenAPI 323 operation validation; generated facade/Orval/route contract closure; job-scope mutation forbidden,9,DIRECT_HARNESS_PLUS_GENERATED_CONSUMER_TRACE,CONFIRMED_REV005_OVERLAY,CONFIRMED,FULL_GRADLE_BROWSER_BAT_RUNTIME_RERUN_REQUIRED,af12a0c8851a2e8d20e9e42964d8dacc0266af03
ADM-AGENT,DEVGPT-V9-S05,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmServiceRegistryController.java,ADM agent/worker view → worker/instance/heartbeat/drain APIs → workbench/registry services → runtime owner adapters,evidence/ADM_BZA_OPENAPI_OPERATION_INVENTORY.csv; evidence/CANONICAL_SOURCE_TRACE.csv,1,ALTERNATIVE_SOURCE_CONSUMER_OPENAPI_TRACE,CONFIRMED_AT_EXACT_SHA,CONFIRMED,NONE_FOR_ASSIGNED_ACCEPTANCE,af12a0c8851a2e8d20e9e42964d8dacc0266af03
