requirement_id,source_type,priority,owner,title,current_gap,required_implementation,required_verification,development_status,verification_status,baseline_sha
CPF-SELF-DEV-001,SELF,P0,공통/검증,완료 판정 모델 재정의,File·Class·Script·Matrix 존재를 기능 완료로 승격하는 관행이 반복 미완료를 만든다.,Requirement별 Source·API·SQL·Consumer·Test·Runtime·Evidence 상태를 분리하고 실제 Consumer와 검증 근거가 없으면 완료를 금지한다.,"상태 전이 Negative Test, Matrix·Evidence 정합성 Gate, False Green Fixture",미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-002,SELF,P0,cpf-tools,Fail-Always 통합 Wrapper 제거,존재하지 않는 하위 Script를 호출하거나 파라미터 불일치로 시작 단계에서 실패할 수 있다.,모든 하위 Script 존재·호출 인자·종료코드를 사전 검증하고 단일 통합 실행이 Fresh Clone에서 시작·종료 가능하게 한다.,Missing Script·Invalid Parameter Negative Test와 통합 Wrapper 1회 실행,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-003,SELF,P0,문서/Evidence,Push SHA 정본 동기화,완료 보고·Current Request·Matrix·Evidence가 서로 다른 Commit SHA를 가리킬 수 있다.,최종 Push 이후 Source를 다시 변경하지 않는 two-phase Evidence 구조로 정본·Evidence를 최신 SHA에 동기화한다.,"sourceSha=resultSha, clean tree, read-only Fresh Clone",미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-004,SELF,P0,Evidence,Bulk-ID Evidence 금지,하나의 Evidence에 다수 Requirement·Scenario·Result ID를 일괄 기록해 미실행 항목까지 승격할 위험이 있다.,각 Result를 실행 단계·명령·환경·종료코드·Artifact와 직접 매핑하고 검증된 N:1 관계만 허용한다.,미실행 ID 완료 승격 방지 Negative Test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-005,SELF,P0,cpf-tools,실행 가능한 Scenario 계약,정상·오류·복구 문구만 반복된 Scenario는 실제 검증을 보장하지 않는다.,"Fixture, precondition, action, expected result, recovery, evidence path를 명시한 실행 가능한 Scenario 계약을 만든다.",Scenario lint와 executable-reference Gate,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-006,SELF,P0,cpf-admin,Canonical ADM Capability Registry,Menu·Route·Component·Permission·Backend API·Evidence가 분리돼 Drift가 발생한다.,"단일 Registry에서 Menu, Route, Tab, Permission, 위험도, operationId, feature flag, Consumer를 생성 또는 전수 검증한다.",전체 ADM Menu·Route parity test,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-007,SELF,P0,cpf-admin,Silent Dashboard Fallback 제거,알 수 없는 Route와 Component 누락이 Dashboard로 조용히 대체된다.,"403, 404, feature-disabled, lazy-load failure를 구분하고 원인·correlationId를 표시한다.",Route Negative E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-008,SELF,P0,cpf-admin/cpf-gateway,Gateway Menu·Tab 정합성,여러 Gateway 메뉴가 같은 Component와 기본 Tab으로 연결될 수 있다.,Menu별 고유 Tab·Deep Link·Permission·Filter State를 보장하거나 명확한 단일 Workspace로 통합한다.,Gateway Route별 active tab·권한·URL 복원 E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-009,SELF,P0,cpf-admin/cpf-batch,Batch Execution Workbench,Execution 화면이 조회 전용 Dynamic Table 수준이다.,검색·Server Paging·실행 상세·Step Timeline·Parameter·Worker/Server·Log·Artifact·Report·실패 원인·재실행·중지·강제완료를 제공한다.,정상·실패·중단·재실행·Unknown Result E2E,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
CPF-SELF-DEV-010,SELF,P0,cpf-admin/cpf-batch,Batch Scheduler HA Workbench,Scheduler HA 메뉴가 전용 운영 제어와 Schedule 분석을 제공하지 않는다.,"Schedule Preview, Misfire, Calendar, Leader/Lease, Duplicate Suppression, Pause/Resume, Failover, Next-fire 영향도를 제공한다.",다중 인스턴스 Leader Kill·Misfire·Duplicate Fixture,미구현,미검증,95e592c05fc457301efdb13ee50e0d7453325806
