persona,lifecycle,feature,intent,owner_document,owner_section,status
의사결정자/제안자,검토,제품 가치·도입 판단,무엇인가,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,왜 쓰나,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,언제 쓰나,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,어디서 찾나,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,어떻게 선택하나,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,언제 쓰지 말아야 하나,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,선행조건은,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,입력과 기본값은,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,설정 범위는,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,순서는,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,정상 결과는,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,오류면,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,Timeout이면,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,동시성 충돌이면,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,중복이면,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,부분 실패면,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,Retry 가능한가,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,Restart/Reprocess는,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,Reconcile/Compensation은,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,Rollback은,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,권한/보안/감사는,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 가치·도입 판단,Log/Metric/Trace/Test/Source는,00,11. 제안·도입 검토자가 설명해야 할 핵심,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,무엇인가,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,왜 쓰나,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,언제 쓰나,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,어디서 찾나,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,어떻게 선택하나,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,언제 쓰지 말아야 하나,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,선행조건은,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,입력과 기본값은,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,설정 범위는,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,순서는,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,정상 결과는,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,오류면,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,Timeout이면,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,동시성 충돌이면,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,중복이면,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,부분 실패면,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,Retry 가능한가,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,Restart/Reprocess는,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,Reconcile/Compensation은,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,Rollback은,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,권한/보안/감사는,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,제품 범위·비범위,Log/Metric/Trace/Test/Source는,00,4. 제품 범위와 비범위,ROUTED
의사결정자/제안자,검토,Architecture·Topology,무엇인가,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,왜 쓰나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,언제 쓰나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,어디서 찾나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,어떻게 선택하나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,언제 쓰지 말아야 하나,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,선행조건은,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,입력과 기본값은,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,설정 범위는,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,순서는,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,정상 결과는,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,오류면,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,Timeout이면,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,동시성 충돌이면,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,중복이면,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,부분 실패면,arch,5. 지원 Topology와 동등성,ROUTED
의사결정자/제안자,검토,Architecture·Topology,Retry 가능한가,arch,5. 지원 Topology와 동등성,ROUTED
