starter_id,kind,registered,current_value,public_api_spi,actual_consumer,development_status,qa39_action,target_public_surface,evidence
cpf-starter-foundation-base,foundation,Y,Binding registry와 fail-closed 기반 제공. 다만 Profile 정본 중복 존재.,CpfCapabilityBindingRegistry,모든 Profile,부분 구현,KEEP_INTERNAL_FOUNDATION,6개 Profile이 자동 포함,settings.gradle; CpfCapabilityBindingRegistry.java
cpf-starter-data-persistence-jdbc,leaf,Y,CPF DataSource/Primary-Replica routing/transaction/JDBC template 제공.,CpfVendorSqlCatalogProvider 및 CPF DB 정책,DB Consumer,부분 구현,KEEP_DATA_INTERNAL_LEAF,data,CpfDataSourceConfig.java
cpf-starter-data-persistence-mybatis,leaf,Y,CPF 전용 SqlSession/Mapper 경계는 있으나 JDBC Starter 위 얇은 Provider.,CPF mapper/session naming,ADM/BZA/Member/Reference,부분 구현,KEEP_DATA_INTERNAL_LEAF,data,CpfMyBatisConfig.java
cpf-starter-aop-service-access,leaf,Y,호출 스택 문자열로 웹 진입점만 허용. Batch/Event/Internal 호출과 충돌하며 보안 가치 불충분.,없음,미확인,미구현,REMOVE_COMPLETE,없음,ServiceAccessAspect.java
cpf-starter-profile-web-api,leaf,Y,CPF 거래 헤더/표준 오류/operationId 자동화 가치 있음.,OpenAPI customizer,Web API Consumer,부분 구현,ABSORB_WEB_API_PROFILE,web-api,CpfOpenApiAutoConfiguration.java
cpf-starter-security-resource-server,leaf,Y,JWT Resource Server 기반은 유지. issuer/audience 검증은 가치 있으나 currentUserId/currentTenantId/currentPrincipal/role/scope/safe-claim 등 개발자 편의 API와 token propagation/표준 401·403를 신규 DX 기준으로 재검수.,CPF security properties,Gateway/Member/Profile,재검수 필요,REVALIDATE_AND_HARDEN_SECURITY_DX,security,CpfResourceServerAutoConfiguration.java
cpf-starter-security-session-jdbc,leaf,Y,세션/JDBC 보안 구현이 있으나 별도 public choice보다 BFF Profile 내부가 적절.,CPF session/security runtime,ADM/BZA,부분 구현,KEEP_SECURITY_INTERNAL_LEAF,security,cpf-starters/security/**
cpf-starter-security-service-identity,leaf,Y,서비스 신원 token/key rotation 경계 가치 있음.,CpfServiceIdentityTokenService,Secure API Profile,부분 구현,KEEP_SECURITY_INTERNAL_LEAF,security,CpfServiceIdentityAutoConfiguration.java
cpf-starter-security,aggregate,Y,상호 다른 Resource/Session/Service Identity를 모두 전이. 선택성 훼손.,없음,ADM/BZA 직접 참조,미구현,REMOVE_PUBLIC_AGGREGATE,security 그룹 + 선택형 내부 leaf,security-aggregate/build.gradle
cpf-starter-messaging-reliability-jdbc,leaf,Y,"Outbox/Router/Reconcile의 강한 CPF 가치 유지. Business+Outbox 동일 TX, publisher kill/ACK loss, Inbox/Dedup, multi-instance/fencing/UNKNOWN까지 핵심 신뢰성 기준으로 재검수·고도화.","CpfBrokerClientRouter, Operations",Messaging Consumers,재검수 필요,HARDEN_OUTBOX_INBOX_RELIABILITY,messaging,messaging-reliability-jdbc/**
cpf-starter-platform-operations-channel-registry-jdbc,leaf,Y,채널 정책 Registry를 JDBC로 공급하나 독립 Starter 선택 가치 낮음.,CpfChannelRegistryPort,플랫폼 Runtime,부분 구현,KEEP_PLATFORM_OPERATIONS_COMPONENT,platform-operations,CpfChannelRegistryJdbcAutoConfiguration.java
cpf-starter-data-cache-caffeine,leaf,Y,CPF CachePort/lock/cache-aside로 OSS 타입을 숨김.,CpfCachePort,업무 Consumer,부분 구현,KEEP_DATA_INTERNAL_LEAF,data,CpfCacheAutoConfiguration.java
cpf-starter-data-cache-valkey,leaf,Y,분산 lock/invalidation/secret 연계 가치 있으나 Redis 호환 코드 중복.,"CpfCachePort, CpfDistributedLockPort",분산 Runtime,부분 구현,KEEP_DATA_INTERNAL_LEAF,data,CpfRedisCompatibilityAutoConfiguration.java
cpf-starter-cache,aggregate,Y,Caffeine과 Valkey를 동시에 전이해 footprint와 bean 충돌 위험.,없음,미확인,미구현,REMOVE_PUBLIC_AGGREGATE,data 그룹 + cache provider binding,cache-aggregate/build.gradle
cpf-starter-platform-operations-observability,leaf,Y,CPF 로그 정책/복구를 제공하나 DB 의존과 tracing 범위 정리가 필요.,LogPolicyResolver,다수 Profile,부분 구현,KEEP_PLATFORM_OPERATIONS_COMPONENT,platform-operations,CpfLogPolicyAutoConfiguration.java
cpf-starter-platform-operations-otlp,leaf,Y,OTLP SDK 조립뿐이며 metrics/logs/resource/failure 운영 가치 부족.,OpenTelemetry bean,Observable Profile,부분 구현,INTERNALIZE_PROVIDER,platform-operations 내부 exporter,CpfOtlpAutoConfiguration.java
cpf-starter-integration-http-client,leaf,Y,"거래/멱등 헤더, endpoint registry, routing, health selection, unknown-result 경계 등 강한 가치.",CPF typed service call APIs,Gateway/Profiles,부분 구현,KEEP_INTEGRATION_API,integration,http-client/**
cpf-starter-integration-fixedlength,leaf,Y,Fixed-length codec 자동 조립. 단독 공개 선택보다 TCP/전문 Capability 내부가 적절.,CpfFixedLengthCodec,TCP Profile,부분 구현,KEEP_INTEGRATION_INTERNAL_LEAF,integration,integration-fixedlength/**
cpf-starter-file-sftp,leaf,Y,전송 ledger/checksum/resume/fail-closed 의도는 가치 있음. secret/host-key/lease/runtime 미완료.,CpfFileTransfer API + ledger,Reference/Profile,부분 구현,MERGE_FILE_GROUP_INTERNAL_LEAF,file,integration-sftp/**
cpf-starter-file-tabular-poi,leaf,Y,행/열 제한을 둔 Xlsx service는 일부 가치 있으나 단독 Starter 과함.,CpfXlsxService,ADM,부분 구현,MERGE_FILE_GROUP_INTERNAL_LEAF,file,CpfTabularPoiAutoConfiguration.java
cpf-starter-file-archive,leaf,Y,Zip Slip/폭탄 방어 등 명확한 보안 가치.,CpfArchiveService,SFTP Profile 등,부분 구현,MERGE_FILE_GROUP_INTERNAL_LEAF,file,CpfArchiveService.java
cpf-starter-validation,leaf,Y,LocalValidatorFactoryBean 하나 추가. Spring Boot 직접 사용 대비 가치 없음.,없음,Domain Web Profile,미구현,REMOVE_COMPLETE,없음,CpfValidationAutoConfiguration.java
cpf-starter-file-attachment,leaf,Y,"CPF storage port, 정책, inspection/watermark hook은 가치 있음.",CpfAttachmentStoragePort,ADM/BZA,부분 구현,KEEP_FILE_GROUP_API,file,CpfAttachmentAutoConfiguration.java
cpf-starter-platform-operations-runtime-control-client,leaf,Y,Owner Remote Port/운영 제어가 실제 API로 확인돼야 함. 현재 독립 공개 단위 과함.,CPF runtime control API,ADM,부분 구현,KEEP_PLATFORM_OPERATIONS_COMPONENT,platform-operations,runtime-control-client/**
cpf-starter-messaging-kafka,leaf,Y,"CPF BrokerClient, 표준 Header, ACK/UNKNOWN 제공은 가치 있음. Named Binding 구현 결함.",CpfBrokerClient,Batch/Reference/Profile,부분 구현,KEEP_MESSAGING_INTERNAL_PROVIDER,messaging,KafkaCpfBrokerClient.java; CpfKafkaBindingAutoConfiguration.java
cpf-starter-messaging-rabbitmq,leaf,Y,"CPF BrokerClient, publisher confirm/mandatory, named binding, manual acknowledge와 표준 UNKNOWN 결과를 제공.",CpfBrokerClient,event-service 또는 batch-service의 messaging=rabbitmq binding Consumer,완료,KEEP_MESSAGING_INTERNAL_PROVIDER,messaging,CpfRabbitMqAutoConfiguration.java; CpfRabbitMqBrokerClient.java; RabbitMQ compile harness; provider conformance gate
cpf-starter-messaging-jms,leaf,Y,Provider-neutral JMS Runtime 가치 유지. Local session transaction과 XA-capable ConnectionFactory/XAResource/JTA 연결을 명확히 분리하고 실제 Consumer/recovery를 재검수.,CpfBrokerClient,JMS Profile,재검수 필요,REVALIDATE_JMS_LOCAL_AND_XA,messaging,CpfJmsBrokerClient.java
cpf-starter-messaging-ibm-mq,leaf,Y,IBM MQ는 JMS 위 Optional Provider로 유지. CPF 기본 dependency에 강제하지 않고 선택 시 TLS/CCDT/recovery/reason-code 및 XA-capable JMS 경로를 검증.,CpfBrokerClient + IBM extension,IBM MQ Profile,재검수 필요,KEEP_OPTIONAL_PROVIDER_REVALIDATE,messaging,CpfIbmMqProperties.java
