requirement_id,canonical_requirement_id,work_item_id,mapped_axis,mapping_rule,priority,capability,feature,function_type,requirement,acceptance_criteria,actual_consumer,verification_method,source_basis,change_target,development_status_master,verification_status_master,baseline_sha
CPF-FR-002441,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS,P0,DB-OWNERSHIP,기능 목적·업무 결과,PURPOSE,"[DB-OWNERSHIP / 기능 목적·업무 결과] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 해결할 업무 문제, 사용 역할, 미제공 위험과 완료 결과를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",DB·Module Owner가 실제 제품 경로에서 기능 목적·업무 결과 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,PURPOSE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::PURPOSE,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002442,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS,P0,DB-OWNERSHIP,Owner·경계,OWNER,[DB-OWNERSHIP / Owner·경계] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 단일 Owner Module·Package·DB/API 책임과 금지 의존 방향을 확정한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,DB·Module Owner가 실제 제품 경로에서 Owner·경계 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,OWNER Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::OWNER,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002443,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS,P0,DB-OWNERSHIP,실제 Consumer,CONSUMER,[DB-OWNERSHIP / 실제 Consumer] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 실제 Product Consumer와 호출 진입점·전체 호출 경로·종료 지점을 연결한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,DB·Module Owner가 실제 제품 경로에서 실제 Consumer 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,CONSUMER Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::CONSUMER,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002444,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS,P0,DB-OWNERSHIP,Public API,PUBLIC_API,[DB-OWNERSHIP / Public API] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 고객 개발자가 사용하는 최소 Public API와 version·compatibility 계약을 제공한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,DB·Module Owner가 실제 제품 경로에서 Public API 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,PUBLIC_API Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::PUBLIC_API,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002445,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS,P0,DB-OWNERSHIP,고객 확장 SPI,EXTENSION_SPI,[DB-OWNERSHIP / 고객 확장 SPI] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 고객 Provider·Adapter가 Internal Package 없이 구현할 SPI와 lifecycle을 제공한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,DB·Module Owner가 실제 제품 경로에서 고객 확장 SPI 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,EXTENSION_SPI Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::EXTENSION_SPI,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002446,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,IMPLEMENTATION_CONSUMER,PRIMARY_AXIS,P0,DB-OWNERSHIP,Internal 구현,INTERNAL_IMPL,[DB-OWNERSHIP / Internal 구현] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 OSS Adapter·Repository·Worker를 Internal로 격리하고 외부 compile을 차단한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,DB·Module Owner가 실제 제품 경로에서 Internal 구현 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,INTERNAL_IMPL Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::INTERNAL_IMPL,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002447,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS,P0,DB-OWNERSHIP,입력 계약,INPUT,"[DB-OWNERSHIP / 입력 계약] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 필수·선택 입력, 형식, 길이, 허용값, canonicalization과 default를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",DB·Module Owner가 실제 제품 경로에서 입력 계약 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,INPUT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::INPUT,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002448,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS,P0,DB-OWNERSHIP,출력 계약,OUTPUT,"[DB-OWNERSHIP / 출력 계약] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 정상 결과, 식별자, 상태, version, tracking 정보와 민감정보 범위를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",DB·Module Owner가 실제 제품 경로에서 출력 계약 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,OUTPUT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::OUTPUT,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002449,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,CONTRACT_OWNERSHIP,PRIMARY_AXIS,P0,DB-OWNERSHIP,설정 계약,CONFIG,"[DB-OWNERSHIP / 설정 계약] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 Property schema, safe default, profile/operation override, validation과 secret reference를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",DB·Module Owner가 실제 제품 경로에서 설정 계약 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,CONFIG Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::CONFIG,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
CPF-FR-002450,DB-OWNERSHIP,CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE,VERIFICATION_EVIDENCE,PRIMARY_AXIS,P0,DB-OWNERSHIP,검증,VALIDATION,[DB-OWNERSHIP / 검증] 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다. 이를 위해 입력·Header·Config·Payload·SQL Parameter의 위치별 오류와 상한을 제공한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,DB·Module Owner가 실제 제품 경로에서 검증 기능을 사용할 때 모든 schema/table/view/index/FK/trigger/seed/query에 단일 Owner와 실제 Consumer를 부여하고 Admin/타 Domain 직접 갱신을 금지한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,모든 DB Consumer,VALIDATION Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,CPF_FINAL_TARGET_REQUIREMENTS.md::DB-OWNERSHIP; 공통 상세 기능::VALIDATION,cpf-tools/db + owning module; Public API/SPI/Internal·SQL·Config·Frontend·Script·Test·Docs,재확인 필요,미검증,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
