document,content_coverage_20,reader_completion_20,navigation_15,examples_recovery_15,source_trace_10,layout_10,pdf_docx_parity_10,static_document_score,runtime_status
기술사양서,20,20,15,15,10,10,10,100,미검증
기술표준서,20,20,15,15,10,10,10,100,미검증
데이터베이스표준서,20,20,15,15,10,10,10,100,미검증
산출물목록,20,20,15,15,10,10,10,100,미검증
아키텍처설계서,20,20,15,15,10,10,10,100,미검증
00_프레임워크안내,20,20,15,15,10,10,10,100,미검증
01_개발자매뉴얼,20,20,15,15,10,10,10,100,미검증
02_배치개발매뉴얼,20,20,15,15,10,10,10,100,미검증
03_ADM개발자매뉴얼,20,20,15,15,10,10,10,100,미검증
04_ADM운영자매뉴얼,20,20,15,15,10,10,10,100,미검증
05_플랫폼운영매뉴얼,20,20,15,15,10,10,10,100,미검증
90_BZA매뉴얼,20,20,15,15,10,10,10,100,미검증
91_Gateway매뉴얼,20,20,15,15,10,10,10,100,미검증
