bundle_id,direct_verification,alternative_verification,equivalence_result,remaining_runtime_gap
BND-BASELINE-PROVENANCE,source evidence,source/consumer/semantic parity review,PASS,
BND-CRYPTO-AGILITY,IntegrationClosureHarness,source/consumer/semantic parity review,PASS,
BND-TIME-STANDARD,IntegrationClosureHarness,source/consumer/semantic parity review,PASS,
BND-FIELD-ENCRYPTION,IntegrationClosureHarness,source/consumer/semantic parity review,PASS,
BND-DATA-QUALITY,IntegrationClosureHarness,source/consumer/semantic parity review,PASS,
BND-WEBHOOK-LIFECYCLE,IntegrationClosureHarness concurrency/UNKNOWN,source/consumer/semantic parity review,PASS,
BND-BATCH-UNKNOWN-RECONCILIATION,batch unknown semantic gate,source/consumer/semantic parity review,PASS,
BND-ADM-INTEGRATION-CONSUMER,ADM javac + TypeScript tsc,source/consumer/semantic parity review,PASS,
BND-ADM-ROUTE-CLOSURE,raw URL gate,source/consumer/semantic parity review,PASS,
BND-ADM-BROWSER-RELEASE,static project path review,source/consumer/semantic parity review,STATIC_PASS_TARGET_BROWSER_TRACKED,target runtime only
BND-NOTIFICATION-DB-PARITY,notification lifecycle gate,source/consumer/semantic parity review,PASS,
BND-STARTER-GENERATOR-PUBLICATION,catalog/static gate,source/consumer/semantic parity review,PASS,
BND-FINAL-LEDGER,lossless validator,source/consumer/semantic parity review,PASS,
BND-FINAL-INTEGRATION-CLOSURE,execution ledger,source/consumer/semantic parity review,PASS,
