requirement_id,canonical_requirement_id,function_type,reason,integration_requests
CPF-FR-001855,CORE-FIXED,MULTI_INSTANCE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001856,CORE-FIXED,LOCAL_REMOTE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001857,CORE-FIXED,MIXED_VERSION,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001868,CORE-FIXED,HEALTH,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001869,CORE-FIXED,ALERT_RUNBOOK,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001870,CORE-FIXED,RESOURCE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001871,CORE-FIXED,DB_OWNER,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001872,CORE-FIXED,DB_SCHEMA,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001873,CORE-FIXED,DB_QUERY,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001874,CORE-FIXED,DB_MIGRATION,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001875,CORE-FIXED,DB_ROLLBACK,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001876,CORE-FIXED,DB_VENDOR,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001877,CORE-FIXED,API_OPENAPI,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001878,CORE-FIXED,FRONTEND,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001879,CORE-FIXED,ADM_UI,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001880,CORE-FIXED,BZA_UI,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001881,CORE-FIXED,GENERATOR,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001882,CORE-FIXED,SAMPLE_EDU,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001883,CORE-FIXED,JAVADOC,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001884,CORE-FIXED,GUIDE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001887,CORE-FIXED,INTEGRATION_TEST,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001888,CORE-FIXED,RUNTIME_TEST,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-001889,CORE-FIXED,FAULT_TEST,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
