defect_id,priority,area,title,evidence,impact,root_cause,status,related_requirements,origin,baseline_sha
QA35-DF-001,P0,Governance/Closure,Current Work Request가 실제 Source 상태보다 종료를 앞당김,CPF_CURRENT_WORK_REQUEST.md는 exact-SHA 독립 검증 한 건만 남았다고 선언하지만 Frontend 정본이 현재 검증 계약을 충족하지 못함.,개발 결함이 검증 작업으로 잘못 이관되어 다음 회차에도 동일 결함이 재발함.,개발 완료를 실제 fresh-clone 소비 가능성 대신 Overlay·Script 존재로 판정함.,실패,QA35-REQ-001;QA35-REQ-002,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-002,P0,ADM/BZA OpenAPI,Tracked OpenAPI가 과거 SHA·인증 일부 API만 포함,"ADM snapshot은 c1f273... SHA와 인증 2개 Operation, BZA는 인증 4개 Operation만 포함하며 Schema가 비어 있음.",전체 Public Controller·DTO·Error·Validation을 대표하지 못하고 ADM/BZA 기능과 Generated Client가 분리됨.,Runtime 전체 Export를 실제 완료하기 전에 부분 Snapshot을 정본으로 유지함.,실패,QA35-REQ-004;QA35-REQ-005,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-003,P0,Frontend Generation,Tracked OpenAPI와 Validator/Marker Writer 계약이 상호 모순,현재 Snapshot에는 x-cpf-source-sha가 있으나 validate-openapi.mjs와 write-generated-marker.mjs는 해당 필드가 있으면 즉시 실패하도록 구현됨.,"fresh clone에서 npm run build도, npm run generate:api도 현 상태 그대로 성공할 수 없음.",Producer·Tracked Artifact·Verifier를 같은 Commit에서 재생성·검증하지 않음.,실패,QA35-REQ-004;QA35-REQ-006;QA35-REQ-007,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-004,P0,Frontend Generation,Verifier가 요구하는 Generated Artifact가 Git에 없음,verify-generated-client.mjs는 cpf-operation-contract.ts와 generated/orval/cpf-api.ts를 요구하지만 latest master에서 파일이 조회되지 않음. Marker도 schemaVersion 2임.,typecheck/build/verify:generated가 fresh clone에서 실패함.,생성 Script만 Commit하고 실제 생성 결과와 Drift 0을 Commit Gate로 묶지 않음.,실패,QA35-REQ-006;QA35-REQ-007;QA35-REQ-008,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-005,P0,Frontend Consumer,Generated Client가 인증 API 일부에만 한정,ADM generated cpf-api.ts는 getAdmAuthMe/getAdmAuthSession만 제공하며 실제 운영 기능은 generic URL 기반 admQuery/admMutation을 사용함.,Typed DTO·Error·Validation·Operation Consumer Closure를 충족하지 못함.,Orval 도입을 Dependency·Wrapper 수준에서 완료 처리하고 실제 기능별 Consumer 이관을 완료하지 않음.,부분 구현,QA35-REQ-005;QA35-REQ-023,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-006,P0,Verification Command,Requirement Matrix의 OpenAPI 검증 명령이 실행 불가,QA34 Matrix는 export-cpf-backend-openapi.ps1 -Release만 제시하지만 Script는 Module과 BaseUrl을 Mandatory로 요구함.,개발자·Codex가 정본 명령을 그대로 실행할 수 없어 검증이 다음 회차로 이월됨.,Matrix의 command를 실제 Parameter Binding으로 검증하는 Gate가 없음.,실패,QA35-REQ-011,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-007,P0,Source Gate,QA34 Source Closure가 Static Token·Syntax 중심,"source-closure.py는 Python Static Gate와 node --check만 실행하며 generated verifier, typecheck, frontend build, menu/API semantic coverage를 실행하지 않음.",실제 Compile/Consumer 실패가 있어도 development_status=완료로 승격될 수 있음.,저비용 Static Gate와 개발 완료 Gate를 동일시함.,실패,QA35-REQ-010;QA35-REQ-012,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-008,P0,CI/Exact SHA,Latest SHA에 CI Status·Workflow Run 부재,GitHub exact SHA e1f8bef...의 combined status와 workflow run이 모두 비어 있음.,Push 후 자동 fresh-clone 검증과 필수 Status Check가 없고 수동 이월이 반복됨.,제품 완료 Gate가 Repository CI에 강제되지 않고 문서·수동 Wrapper에만 존재함.,미구현,QA35-REQ-009;QA35-REQ-034,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-009,P0,QA34 Status,QA34 20개 Requirement 전체가 여전히 미검증,QA34 Requirement/Unresolved Matrix에서 20/20 verification_status=미검증이며 exact-SHA Runtime Evidence가 없음.,Release/GA 완료 선언 불가.,실행 환경·Fixture·Profile을 개발 완료 전에 확보하지 않고 마지막 독립 검증으로 모두 미룸.,미검증,QA35-REQ-001;QA35-REQ-013;QA35-REQ-034,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-010,P0,Independent Verification,독립 검증 Wrapper가 외부 입력 다수를 요구하나 실행 Manifest가 없음,"Root, ExpectedSha, 3DB Profile·Upgrade Profile, Backup Manifest, Registry, URL, Auth State, Route/Failure/Security Fixture 등을 Mandatory로 요구함.",‘한 번 실행’ 지침만으로 재현 불가하고 다음 작업자가 입력을 다시 탐색함.,환경 계약과 sanitized fixture template/checksum을 Repository 정본으로 만들지 않음.,부분 구현,QA35-REQ-011;QA35-REQ-035,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-011,P0,ADM Menu,ADM 59개 Route의 기능·API·권한·Owner 정본 Matrix 부재,"routes.ts에는 59개 Route가 있으나 Route별 API Operation, Permission, Button, Data Scope, 위험조치, Audit, Owner를 연결한 정본이 없음.",메뉴 존재가 기능 완료로 오판되고 누락 Consumer·권한 우회·빈 화면을 체계적으로 탐지하지 못함.,화면 Route Registry와 Backend 운영 계약을 별도 관리함.,미구현,QA35-REQ-014;QA35-REQ-015;QA35-REQ-016,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-012,P0,ADM E2E,비 Release E2E Mock Session의 menu 자료형이 실제 Store 계약과 불일치,Mock은 routes path 문자열 배열을 menus로 반환하지만 Store는 menu.menuId 또는 menu.id 객체를 기대함.,visibleMenus가 비거나 fallback되어도 Test가 요청 Route의 실제 기능 진입을 확인하지 않아 false-pass 가능.,Backend Session DTO Fixture를 실제 Schema/Generated Type에서 만들지 않음.,실패,QA35-REQ-015;QA35-REQ-019,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-013,P0,ADM E2E,Route Quality Test가 요청 Route 정체성을 검증하지 않음,"page.goto(path) 후 main/aria/overflow/API 호출만 확인하고 URL 유지, active menu, 제목, 전용 Component, 기대 Operation을 필수 검증하지 않음.",다른 화면으로 Redirect/Fallback되어도 PASS할 수 있음.,공통 UI 품질과 Route별 Business Outcome을 분리하지 않음.,실패,QA35-REQ-018;QA35-REQ-019,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-014,P0,ADM E2E,Release Route Matrix가 외부 파일이며 Route별 Interaction이 선택 사항,Wrapper는 외부 Fixture 경로를 Mandatory로 받지만 Repository 정본 Fixture/Schema/Hash Baseline이 없고 interactions는 optional임.,전체 Route 목록만 채우고 실제 조회·검색·Paging·상세·조치 없이 PASS 가능.,테스트 입력을 제품 Source와 분리하고 최소 상호작용 수용조건을 강제하지 않음.,부분 구현,QA35-REQ-018;QA35-REQ-020,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-015,P1,ADM Gateway Menu,Gateway 9개 메뉴가 동일 Component를 공유하며 Route별 계약이 불명확,gateway-dashboard/servers/groups/routes/security/health/transactions/log-policies/apply-status가 모두 GatewayOperationsPage.vue에 매핑됨.,메뉴 세분화가 실제 독립 Workflow·Deep Link·권한·API 범위로 이어지는지 확인 불가.,기능 분할보다 단일 대형 운영 화면 재사용을 우선하고 Route Parameter/Mode 계약을 정본화하지 않음.,재확인 필요,QA35-REQ-017,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-016,P1,ADM Permission,거래 로그와 거래 그룹이 동일 LOG_LIST Permission을 공유,state menu registry에서 logs와 transactionGroups가 모두 menuId=LOG_LIST임.,데이터 범위·민감도·상세 접근이 다른 기능을 동일 권한으로 노출할 수 있음.,Route ID와 Permission ID의 다대일 정책에 대한 ADR·Negative Test가 없음.,재확인 필요,QA35-REQ-015;QA35-REQ-016,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
QA35-DF-017,P0,ADM API,ADM 실제 Operation Inventory와 Menu Consumer Closure 부재,Frontend는 문자열 URL 기반 generic helper를 사용하고 tracked OpenAPI는 인증 일부뿐이며 메뉴별 Operation 사용 증거가 없음.,"Dead API, Consumer 없는 메뉴, 권한·Error DTO Drift를 탐지하지 못함.",Controller→OpenAPI→Generated Client→Menu Consumer의 양방향 Gate가 없음.,부분 구현,QA35-REQ-023;QA35-REQ-024,QA35_V2_ACTIVE,95e592c05fc457301efdb13ee50e0d7453325806
