id,area,work_package,title,setup,steps,expected,evidence,environment
CPF-QA-EXEC-202,FND,WP00,최신 SHA CI Required Check,"clean checkout of 9fa4bb0, Java25, Gradle9.1, Node/pwsh",Source/Build/Test/Frontend/Security/DB/Artifact/Evidence workflow를 실행한다.,정확한 SHA에 모든 Required Check가 생성·성공하고 미실행 Check가 없다.,"workflow URL, job logs, SHA",CI
CPF-QA-EXEC-203,FND,WP00,문서 기준 SHA 일치,Current/Next/Matrix/Handover/Ledger/Evidence index,모든 기준 SHA와 Artifact hash를 수집·비교한다.,최신 SHA 9fa4bb0으로 일치하고 과거 Overlay를 현재 PASS로 참조하지 않는다.,document consistency report,Static
CPF-QA-EXEC-204,FND,WP00,한 줄 Evidence 거부 Gate,의도적으로 content=PASS만 있는 evidence fixture,Evidence validator를 실행한다.,명령·환경·시간·출력·redaction 없는 Evidence는 FAIL 처리된다.,negative gate output,Static
CPF-QA-EXEC-205,FND,WP00,"기존 1,214 Inventory 재판정",기존 CSV + 최신 repo,각 ID의 Source/API/SQL/Test/Runtime/Evidence를 재매핑한다.,"누락 0, 중복 root cause 식별, 허용 상태만 사용한다.",updated inventory,Static+Runtime
CPF-QA-EXEC-206,FND,WP00,기존 201 Scenario 연속 실행,기존 scenario CSV + delta scenario CSV,의존순서로 실행하고 각 결과를 저장한다.,미실행은 미검증이며 PASS 위장 0.,scenario ledger,Mixed
CPF-QA-EXEC-207,HYG,WP15,중간 Overlay 산출물 정리,clean clone + current docs,"CPF_INTERMEDIATE, overlay manifest, tmp/bak/log를 owner/requirement와 대조한다.","Current 정본 최소화, 필요한 archive만 보존, 제품 파일 오삭제 0.",cleanup manifest,Static
CPF-QA-EXEC-208,LOCAL,WP02,Local Web minimal 기동,ADM 인증·기본 운영 API만 활성,minimal profile로 1 JVM/1 Port 기동→health→shutdown,"불필요 모듈 미기동, 정상 종료, 포트 충돌 0","startup logs, process/port/memory snapshot",WAS+MariaDB/Mock
CPF-QA-EXEC-209,LOCAL,WP02,Local Web standard 기동,ADM/BZA/Gateway/1 Domain,standard profile 기동 후 주요 route 호출,1 JVM/1 HTTP Port에서 route와 보안 계약 정상,"startup logs, process/port/memory snapshot",WAS+MariaDB/Mock
CPF-QA-EXEC-210,LOCAL,WP02,Local Web full 기동,모든 선택 Web 모듈,full profile 기동 후 bean/config 충돌 검사,중복 Bean·TransactionManager·route 충돌 0,"startup logs, process/port/memory snapshot",WAS+MariaDB/Mock
CPF-QA-EXEC-211,LOCAL,WP02,Local 내부 호출,동일 JVM 두 업무 Facade,업무 A가 B를 호출,"HTTP loopback 없이 Local Facade, 동일 Header/Error/Trace","startup logs, process/port/memory snapshot",WAS+MariaDB/Mock
