scenario_id,linked_requirement_id,execution_order,scenario_type,qa_result,finding_ids,evidence_path,next_action
CPF-SC-003137,CPF-FR-012741,05-00012741,NORMAL,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,NORMAL 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003138,CPF-FR-012741,05-00012741,INVALID,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,INVALID 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003139,CPF-FR-012741,05-00012741,DEPENDENCY_DOWN,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DEPENDENCY_DOWN 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003140,CPF-FR-012741,05-00012741,DUPLICATE,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,DUPLICATE 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003141,CPF-FR-012741,05-00012741,TIMEOUT,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,TIMEOUT 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003142,CPF-FR-012741,05-00012741,UNKNOWN,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,UNKNOWN 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003143,CPF-FR-012741,05-00012741,RESTART,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RESTART 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003144,CPF-FR-012741,05-00012741,RECOVERY,미검증,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,RECOVERY 목표 환경 또는 동등 fault/runtime Harness 실행
CPF-SC-003145,CPF-FR-012749,05-00012749,NORMAL,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,NORMAL 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
CPF-SC-003146,CPF-FR-012749,05-00012749,INVALID,미통과,QA12F-LOG-003,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/dynamic-log-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/log-spool-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-retention-before-after-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/file-log-permission-before-after.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,INVALID 실패 조건을 재현하는 Test/Runtime 보완 후 재검수
