requirement_id,source_type,priority,area,QA_B_검수여부,QA_B_검수회차,QA_B_검사내용,QA_B_검수결과,QA_B_미통과사유,development_status,verification_status,baseline_sha,evidence_path,open_issue,next_action,updated_at,updated_by
AB-R6-001,QA_FINDING,P0,Management/Quality,완료,R6J-DEEP-REAUDIT,개발 Evidence 14/14 current master 404; result_sha=PENDING_USER_APPLY_COMMIT,미통과,Evidence를 exact current SHA에 commit/bind하고 SHA/command/cwd/tool/exit/hash를 재작성,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-001,Evidence를 exact current SHA에 commit/bind하고 SHA/command/cwd/tool/exit/hash를 재작성,2026-08-07T20:49:00+09:00,QA-B
AB-R6-002,QA_FINDING,P0,Runtime/Release,완료,R6J-DEEP-REAUDIT,current exact SHA에 workflow run/status 없음,미통과,current exact SHA release workflow SUCCESS artifact 필요,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-002,current exact SHA release workflow SUCCESS artifact 필요,2026-08-07T20:49:00+09:00,QA-B
AB-R6-003,QA_FINDING,P0,Runtime/Release,완료,R6J-DEEP-REAUDIT,runner는 exact HEAD+clean tree를 강제하지만 current execution 없음,미통과,clean exact-SHA Release runner 실행 Evidence,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-003,clean exact-SHA Release runner 실행 Evidence,2026-08-07T20:49:00+09:00,QA-B
AB-R6-004,QA_FINDING,P0,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,real URL/auth-state 기반 config와 role matrix test source 확인; 실행 없음,미통과,authenticated real backend 3-browser PASS,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-004,authenticated real backend 3-browser PASS,2026-08-07T20:49:00+09:00,QA-B
AB-R6-005,QA_FINDING,P0,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,IntegrationClosurePage가 AdmSessionStore.hasButton(operationId) 직접 사용,통과,,부분 구현,완료,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,,current source consumer path independently verified,2026-08-07T20:49:00+09:00,QA-B
AB-R6-006,QA_FINDING,P0,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,Generic workbench는 GET-only + session hasButton; mutation 우회 차단,통과,,부분 구현,완료,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,,current source consumer path independently verified,2026-08-07T20:49:00+09:00,QA-B
AB-R6-007,QA_FINDING,P0,Approval/Security,완료,R6J-DEEP-REAUDIT,ApprovalsPage canAction(operationId)로 mutation button gating,통과,,부분 구현,완료,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,,current source independently verified; broader routes tracked in NEW-007,2026-08-07T20:49:00+09:00,QA-B
AB-R6-008,QA_FINDING,P1,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,single route registry + routes.test 63 route/63 sidebar assertions,통과,,부분 구현,완료,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,,current source independently verified,2026-08-07T20:49:00+09:00,QA-B
AB-R6-009,QA_FINDING,P0,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,generated contract current source contains 63 route operation sets; exact regeneration not executed,미통과,current SHA regeneration zero-diff,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-009,current SHA regeneration zero-diff,2026-08-07T20:49:00+09:00,QA-B
AB-R6-010,QA_FINDING,P0,ADM/Frontend/Contract,완료,R6J-DEEP-REAUDIT,release runtime OpenAPI parity source exists; committed spec is pre-runtime; current BACKEND_RUNTIME export absent,미통과,runtime OpenAPI export + parity + generation zero diff,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_FINDINGS.csv,AB-R6-010,runtime OpenAPI export + parity + generation zero diff,2026-08-07T20:49:00+09:00,QA-B
