evidence_id,path_or_root,role,manual_link,evidence_basis,documentation_check,baseline,runtime_verification,status
SRC-001,cpf-docs/specification/CPF_DOCUMENTATION_STANDARD.md,문서 표준 정본,00~91·설계 산출물,direct,문서 구조·독자·기능 장 필수 항목 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-002,cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,169개 최상위 요구 정본,전체 문서,direct,제품 범위·Module·Topology·완료 축 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-003,README.md,제품 브로셔·Guide 진입점,README,direct,06_08 브로셔 구조 보존 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-004,settings.gradle,Module Registry,00·01·05·아키텍처,commit-diff,06_07 변경 목록에서 Module 조립 변경 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-005,gradle/cpf-stack.properties,기술 Stack 정본,00·01·05·기술사양,canonical-root,기준 Repository 적용 시 exact version 재확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,재확인 필요
SRC-006,cpf-admin/frontend/src/app/routes.ts,ADM Route Registry,03·04,direct,Route ID·Path·Menu·Risk·Operation 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-007,cpf-admin/frontend/src/app/routes.test.ts,ADM Route Registry Test,04,direct,60개 기대 Assertion과 Registry Reader 63행 차이 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-008,cpf-admin/frontend/src/features/integration-closure/IntegrationClosurePage.vue,정정 승인 화면,03·04,commit-diff,승인 요청·Approval ID 실행 흐름 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-009,cpf-admin/frontend/src/generated/integrationClosureApi.ts,정정 승인 Generated Client,03·04,commit-diff,승인 요청 Body와 Approval ID 실행 계약 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-010,cpf-admin/frontend/src/generated/integrationClosureApi.test.ts,Generated Client Test,03,commit-diff,approved boolean 부재·실행 Body 제한 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-011,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmIntegrationClosureController.java,ADM 통합 운영 Controller,03·04,commit-diff,OpenAPI Operation 연결 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-012,cpf-admin/src/main/java/com/cpf/admin/opr/integration/AdmIntegrationClosureService.java,통합 운영 Application Service,03·04,commit-diff,정정·Replay·Webhook 흐름 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-013,cpf-admin/src/main/java/com/cpf/admin/config/AdmIntegrationClosureConfiguration.java,통합 운영 Bean 조립,05,commit-diff,Profile·Provider 조건 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-014,cpf-admin/src/main/java/com/cpf/admin/config/AdmIntegrationClosureProperties.java,통합 운영 Property,05,direct,enabled·TTL·Webhook·Crypto Default 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-015,cpf-admin/src/main/java/com/cpf/admin/approval/owner/DataQualityCorrectionApprovalOwnerCommandAdapter.java,정정 승인 Owner Adapter,03·04,commit-diff,승인 Snapshot 실행 Owner 경계 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-016,cpf-admin/src/test/java/com/cpf/admin/approval/owner/DataQualityCorrectionApprovalOwnerCommandAdapterTest.java,승인 Adapter Test,03,commit-diff,승인 실행 Test 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-017,cpf-admin/src/test/java/com/cpf/admin/config/AdmIntegrationClosureConfigurationTest.java,Configuration Test,05,commit-diff,Profile별 Bean 조건 Test 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-018,cpf-admin/src/test/java/com/cpf/admin/opr/integration/AdmIntegrationClosureServiceTest.java,통합 운영 Service Test,03·04,commit-diff,정정·Replay Test 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-019,cpf-core/src/main/java/com/cpf/core/api/data/quality/CpfDataQualityOperations.java,Data Quality Public API,01·03,commit-diff,Validation·Quarantine·Correction 계약 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-020,cpf-common/src/main/java/com/cpf/common/data/quality/InMemoryCpfDataQualityOperations.java,Local/Dev Data Quality Adapter,01,commit-diff,Production 정본과 분리된 Adapter 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-021,cpf-common/src/test/java/com/cpf/common/data/quality/InMemoryCpfDataQualityOperationsTest.java,Data Quality Adapter Test,01,commit-diff,Version·정정 동작 Test 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-022,cpf-tools/contracts/openapi/cpf-integration-closure.openapi.json,통합 운영 OpenAPI 정본,03·04,commit-diff,8개 Operation과 Schema 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-023,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/api/CpfOpenApiDocument.java,OpenAPI Document Public Contract,01·03,commit-diff,Document Contract 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-024,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/api/CpfOpenApiSnapshot.java,OpenAPI Snapshot,03·04,commit-diff,Schema Snapshot 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-025,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/api/CpfOpenApiStatus.java,OpenAPI Status,04,commit-diff,운영 상태 Contract 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-026,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/api/CpfOpenApiOperations.java,OpenAPI Operations,03·04,commit-diff,Refresh·Status Public API 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-027,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/internal/DefaultCpfOpenApiOperations.java,OpenAPI Default Adapter,03·05,commit-diff,Snapshot·Refresh 구현 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-028,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/internal/CpfOpenApiWebMvcAutoConfiguration.java,OpenAPI AutoConfiguration,01·05,commit-diff,조건부 조립 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-029,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/internal/CpfOpenApiWebMvcProperties.java,OpenAPI Property,05,direct,8개 실제 Key·Default·Validation 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-030,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/internal/CpfOpenApiActuatorEndpoint.java,OpenAPI Actuator,04·05,commit-diff,Management 조회 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-031,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/internal/CpfOpenApiHealthIndicator.java,OpenAPI Health,05,commit-diff,Health 판정 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-032,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/internal/CpfOpenApiCustomizerAdapter.java,OpenAPI Customizer,01·03,commit-diff,Controller→Schema 연결 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-033,cpf-starters/profiles/web-api/src/main/java/com/cpf/starter/openapi/webmvc/internal/CpfOpenApiEnvironmentPostProcessor.java,OpenAPI Environment 조립,05,commit-diff,환경 Property 반영 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-034,cpf-starters/profiles/web-api/src/main/resources/META-INF/additional-spring-configuration-metadata.json,OpenAPI Configuration Metadata,05,commit-diff,Property Metadata 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-035,cpf-starters/profiles/web-api/src/main/resources/META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports,AutoConfiguration Import,01·05,commit-diff,Starter 소비 연결 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-036,cpf-starters/profiles/web-api/build.gradle,web-api Profile Build,01·기술사양,commit-diff,OpenAPI Starter Dependency 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-037,cpf-admin/build.gradle,ADM Runtime Dependency,03·04,commit-diff,integration-webhook Starter 전환 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-038,cpf-admin/src/main/resources/application-adm-local.yml,ADM Local Profile,05,commit-diff,Local Provider 선택 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-039,cpf-admin/src/main/resources/application-adm-dev.yml,ADM Dev Profile,05,commit-diff,Dev Provider 선택 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-040,cpf-admin/src/main/resources/application-adm-prod.yml,ADM Prod Profile,05,commit-diff,Ephemeral Provider 비활성 경계 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-041,cpf-tools/build/platform-bom/public-bom/build.gradle,Public BOM,01·05·기술사양,commit-diff,공개 Artifact Version 정렬 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-042,cpf-tools/build/platform-bom/internal-bom/build.gradle,Internal BOM,기술사양,commit-diff,내부 Module Version 정렬 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-043,cpf-tools/generator/contracts/cpf-starter-catalog.json,Generator Starter Catalog,00·01,commit-diff,Profile·Resolved Starter Catalog 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-044,cpf-tools/verification/verify_integration_closure_contract.py,통합 운영 Contract Gate,03·04,commit-diff,OpenAPI·Source 계약 검증 Script 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-045,cpf-tools/verification/verify_starter_catalog.py,Starter Catalog Gate,00·01,commit-diff,Catalog 정합성 Script 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-046,cpf-tools/verification/final-dev/run-browser-matrix.ps1,Browser Target Runtime Script,03·04,commit-diff,Browser 실행 명령 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-047,cpf-tools/verification/final-dev/run-db3-lifecycle.ps1,DB 3종 Lifecycle Script,05·DB표준,commit-diff,DB Runtime 검증 명령 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-048,cpf-tools/verification/final-dev/run-java25-gradle91.ps1,Java/Gradle Runtime Script,01·05,commit-diff,Build Runtime 명령 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-049,cpf-tools/verification/final-dev/run-multiprocess-chaos.ps1,다중 Process Fault Script,01·02·05,commit-diff,Process Kill·Lease 검증 경로 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-050,cpf-tools/verification/final_dev_campaign.py,통합 검증 Campaign,산출물목록,commit-diff,직접 Gate 묶음 확인,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,완료
SRC-051,cpf-reference,EDU·Fault·Recovery Consumer Root,01·02·03·90·91,canonical-root,적용 Repository에서 교육 ID와 Test exact path 대조,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,재확인 필요
SRC-052,cpf-member,Golden Generated Domain Root,00·01,canonical-root,Generator 산출물과 Public Contract Consumer 대조,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,재확인 필요
SRC-053,cpf-batch,Batch Engine·Control Root,02·04,canonical-root,Job·Scheduler·Runner·Worker·Agent exact path 대조,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,재확인 필요
SRC-054,cpf-gateway,Gateway Runtime Root,04·91,canonical-root,Route·Attempt·Publish·LKG exact path 대조,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,재확인 필요
SRC-055,cpf-backoffice,BZA Backend·Frontend Root,90,canonical-root,26개 Route·Permission·Approval exact path 대조,a8be27a34bdac0b7c075e06d6e86571244c96421,미검증,재확인 필요
