request_id,target_owner,requirement_id,scenario_ids,canonical_requirement_id,function_type,request,provider_artifact,reason,status,baseline_sha
DEVGPT-6E-X-0001,DEVGPT-6A ADM frontend,CPF-FR-002488,CPF-SC-013805,DB-OWNERSHIP,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0002,DEVGPT-6A ADM frontend,CPF-FR-002549,CPF-SC-013865,DB-INSTALL,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0003,DEVGPT-6A ADM frontend,CPF-FR-002610,CPF-SC-013925,DB-FRESH,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0004,DEVGPT-6A ADM frontend,CPF-FR-002671,CPF-SC-013985,DB-MIGRATION,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0005,DEVGPT-6A ADM frontend,CPF-FR-002732,CPF-SC-014045,DB-ROLLBACK,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0006,DEVGPT-6A ADM frontend,CPF-FR-002793,CPF-SC-014105,DB-BACKUP,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0007,DEVGPT-6A ADM frontend,CPF-FR-002854,CPF-SC-014165,DB-MULTI-VENDOR,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0008,DEVGPT-6A ADM frontend,CPF-FR-002915,CPF-SC-014225,DB-SQL,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0009,DEVGPT-6A ADM frontend,CPF-FR-002976,CPF-SC-014285,DB-PERF,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0010,DEVGPT-6A ADM frontend,CPF-FR-003037,CPF-SC-014345,DB-MULTI,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0011,DEVGPT-6A ADM frontend,CPF-FR-003098,CPF-SC-014405,DATA-LINEAGE,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0012,DEVGPT-6A ADM frontend,CPF-FR-003159,CPF-SC-014465,DATA-RETENTION,FRONTEND,Implement and execute the FRONTEND consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0013,DEVGPT-6A ADM frontend/backend,CPF-FR-002489,CPF-SC-013806,DB-OWNERSHIP,ADM_UI,Implement and execute the ADM_UI consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
DEVGPT-6E-X-0014,DEVGPT-6A ADM frontend/backend,CPF-FR-002550,CPF-SC-013866,DB-INSTALL,ADM_UI,Implement and execute the ADM_UI consumer outside cpf-tools DB ownership using the generated DB provider contract/OpenAPI and return exact-SHA evidence.,cpf-tools/db/cpf-db-operability-contract.json; cpf-tools/db/generated/cpf-db-operations.openapi.json,6E implemented the DB provider-side contract but cannot modify the target owner path.,OPEN,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
