request_id,gate_id,assigned_work_item_count,judged_work_item_count,assertion_id,actual_result,evidence_path,evidence_sha256,verification_status
MISSING_IN_ASSIGNMENT_SOURCE,GATE-01-OWNERSHIP,93,93,AT-GATE-01-OWNERSHIP,PASS: GATE-01-OWNERSHIP applied to all 93 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-02-CONSUMER,93,93,AT-GATE-02-CONSUMER,PASS: GATE-02-CONSUMER applied to all 93 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-05-DB-QUERY,93,93,AT-GATE-05-DB-QUERY,PASS: GATE-05-DB-QUERY applied to all 93 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_query_contract.json,c4ef62960da3b6f81e4aec46926645135eb759f277c877ac9e975914a3620895,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-06-STATE-IDEMP,21,21,AT-GATE-06-STATE-IDEMP,PASS: GATE-06-STATE-IDEMP applied to all 21 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-07-MULTI-INSTANCE,10,10,AT-GATE-07-MULTI-INSTANCE,PASS: GATE-07-MULTI-INSTANCE applied to all 10 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-08-UNKNOWN-RECOVERY,37,37,AT-GATE-08-UNKNOWN-RECOVERY,PASS: GATE-08-UNKNOWN-RECOVERY applied to all 37 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_tests_final.log,1f102536dd2e95663febbcc635b3cd3df8f372a92dbd3bcaafdeac35dcf30c2a,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-09-SECURITY,5,5,AT-GATE-09-SECURITY,PASS: GATE-09-SECURITY applied to all 5 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-10-CRYPTO-PRIVACY,10,10,AT-GATE-10-CRYPTO-PRIVACY,PASS: GATE-10-CRYPTO-PRIVACY applied to all 10 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-11-OPS-AUDIT,24,24,AT-GATE-11-OPS-AUDIT,PASS: GATE-11-OPS-AUDIT applied to all 24 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-12-OBSERVABILITY,5,5,AT-GATE-12-OBSERVABILITY,PASS: GATE-12-OBSERVABILITY applied to all 5 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-verification.json,2cbe666da2c9f7d62e9f0a426409b9b83a7641d33f3f29d0897b3a8f0f7da149,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-13-PERFORMANCE,15,15,AT-GATE-13-PERFORMANCE,PASS: GATE-13-PERFORMANCE applied to all 15 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/performance-verification.json,d1be279a8a2dfbf30b83b34ddc830449e6e46cccfe7595da0d49d007fe3e14bf,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-15-GENERATOR,21,21,AT-GATE-15-GENERATOR,PASS: GATE-15-GENERATOR applied to all 21 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_vendor_semantic_parity.json,228b693802902b143bb1f3fbff848ae16bac140d35af869eba2518df22fd96a2,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-16-COMPATIBILITY,55,55,AT-GATE-16-COMPATIBILITY,PASS: GATE-16-COMPATIBILITY applied to all 55 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_vendor_semantic_parity.json,228b693802902b143bb1f3fbff848ae16bac140d35af869eba2518df22fd96a2,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-18-TEST-EVIDENCE,93,93,AT-GATE-18-TEST-EVIDENCE,PASS: GATE-18-TEST-EVIDENCE applied to all 93 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_tests_final.log,1f102536dd2e95663febbcc635b3cd3df8f372a92dbd3bcaafdeac35dcf30c2a,완료
MISSING_IN_ASSIGNMENT_SOURCE,GATE-20-HYGIENE,93,93,AT-GATE-20-HYGIENE,PASS: GATE-20-HYGIENE applied to all 93 assigned Work Items; static/direct/substitute evidence linked.,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_db_development_contract.json,0fb145f3ec9b97fc4880277f459432dfd9cdf0a6c0baff16227a80799eba7ff6,완료
