scenario_id,requirement_id,canonical_requirement_id,scenario_type,reason,integration_requests
CPF-SC-000369,CPF-FR-001831,CORE-FIXED,PROCESS_KILL,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-SC-000370,CPF-FR-001831,CORE-FIXED,MULTI_INSTANCE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-SC-000371,CPF-FR-001831,CORE-FIXED,ROLLBACK,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-SC-000381,CPF-FR-001892,CORE-FILE,PROCESS_KILL,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-SC-000382,CPF-FR-001892,CORE-FILE,MULTI_INSTANCE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-SC-000383,CPF-FR-001892,CORE-FILE,ROLLBACK,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-SC-000393,CPF-FR-001953,CORE-MESSAGE,PROCESS_KILL,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000394,CPF-FR-001953,CORE-MESSAGE,MULTI_INSTANCE,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000395,CPF-FR-001953,CORE-MESSAGE,ROLLBACK,"Real brokers, rebalance/restart, ordering/backpressure, three-vendor DB, process kill and browser operations require target environment.",S03-ICR-001;S03-ICR-002;S03-ICR-003;S03-ICR-005
CPF-SC-000633,CPF-FR-003173,GWY-ENTRY,PROCESS_KILL,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000634,CPF-FR-003173,GWY-ENTRY,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-SC-000635,CPF-FR-003173,GWY-ENTRY,ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
