requirement_id,source_type,origin,priority,area,title,root_cause_cluster,development_status,verification_status,source_paths,consumer_paths,test_paths,evidence_paths,source_sha,result_sha,notes
CPF-SELF-DEV-001,SELF,SELF,P0,공통/검증,완료 판정 모델 재정의,completion-and-product-closure,완료,미검증,cpf-tools/scripts/verify-cpf-requirement-traceability.py;cpf-tools/scripts/verify-cpf-legacy-continuity.py;cpf-docs/quality/CPF_20260801_01_LEGACY_CONTINUITY_MAPPING.csv,cpf-tools/verification/20260801_01/cpf-final-verification-plan.json;.github/workflows/cpf-final-source-gates.yml;cpf-docs/work/handover/CPF_20260801_01_DEVELOPMENT_HANDOVER.md,cpf-tools/scripts/tests/test_verify_cpf_requirement_traceability.py;cpf-tools/scripts/tests/test_verify_cpf_legacy_continuity.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=TRACE). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-002,SELF,SELF,P0,cpf-tools,Fail-Always 통합 Wrapper 제거,completion-and-product-closure,완료,미검증,cpf-tools/scripts/verify-cpf-requirement-traceability.py;cpf-tools/scripts/verify-cpf-legacy-continuity.py;cpf-docs/quality/CPF_20260801_01_LEGACY_CONTINUITY_MAPPING.csv,cpf-tools/verification/20260801_01/cpf-final-verification-plan.json;.github/workflows/cpf-final-source-gates.yml;cpf-docs/work/handover/CPF_20260801_01_DEVELOPMENT_HANDOVER.md,cpf-tools/scripts/tests/test_verify_cpf_requirement_traceability.py;cpf-tools/scripts/tests/test_verify_cpf_legacy_continuity.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=TRACE). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-003,SELF,SELF,P0,문서/Evidence,Push SHA 정본 동기화,completion-and-product-closure,완료,미검증,cpf-tools/scripts/verify-cpf-requirement-traceability.py;cpf-tools/scripts/verify-cpf-legacy-continuity.py;cpf-docs/quality/CPF_20260801_01_LEGACY_CONTINUITY_MAPPING.csv,cpf-tools/verification/20260801_01/cpf-final-verification-plan.json;.github/workflows/cpf-final-source-gates.yml;cpf-docs/work/handover/CPF_20260801_01_DEVELOPMENT_HANDOVER.md,cpf-tools/scripts/tests/test_verify_cpf_requirement_traceability.py;cpf-tools/scripts/tests/test_verify_cpf_legacy_continuity.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=TRACE). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-004,SELF,SELF,P0,Evidence,Bulk-ID Evidence 금지,completion-and-product-closure,완료,미검증,cpf-tools/scripts/verify-cpf-requirement-traceability.py;cpf-tools/scripts/verify-cpf-legacy-continuity.py;cpf-docs/quality/CPF_20260801_01_LEGACY_CONTINUITY_MAPPING.csv,cpf-tools/verification/20260801_01/cpf-final-verification-plan.json;.github/workflows/cpf-final-source-gates.yml;cpf-docs/work/handover/CPF_20260801_01_DEVELOPMENT_HANDOVER.md,cpf-tools/scripts/tests/test_verify_cpf_requirement_traceability.py;cpf-tools/scripts/tests/test_verify_cpf_legacy_continuity.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=TRACE). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-005,SELF,SELF,P0,cpf-tools,실행 가능한 Scenario 계약,completion-and-product-closure,완료,미검증,cpf-tools/scripts/verify-cpf-requirement-traceability.py;cpf-tools/scripts/verify-cpf-legacy-continuity.py;cpf-docs/quality/CPF_20260801_01_LEGACY_CONTINUITY_MAPPING.csv,cpf-tools/verification/20260801_01/cpf-final-verification-plan.json;.github/workflows/cpf-final-source-gates.yml;cpf-docs/work/handover/CPF_20260801_01_DEVELOPMENT_HANDOVER.md,cpf-tools/scripts/tests/test_verify_cpf_requirement_traceability.py;cpf-tools/scripts/tests/test_verify_cpf_legacy_continuity.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=TRACE). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-006,SELF,SELF,P0,cpf-admin,Canonical ADM Capability Registry,completion-and-product-closure,완료,미검증,cpf-admin/frontend/src/app/routes.ts;cpf-admin/frontend/src/App.vue;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java;cpf-tools/verification/20260801_01/adm-public-operation-catalog.csv,cpf-admin/frontend/src/components/RouteOperationWorkbench.vue;cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue;cpf-admin/frontend/src/features/errors/RouteStatusPage.vue,cpf-tools/scripts/tests/test_verify_cpf_adm_route_source_consumers.py;cpf-tools/scripts/tests/test_verify_cpf_adm_route_interaction_contract.py;cpf-admin/frontend/e2e/adm-route-contract.spec.ts,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=ADM). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-007,SELF,SELF,P0,cpf-admin,Silent Dashboard Fallback 제거,completion-and-product-closure,완료,미검증,cpf-admin/frontend/src/app/routes.ts;cpf-admin/frontend/src/App.vue;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java;cpf-tools/verification/20260801_01/adm-public-operation-catalog.csv,cpf-admin/frontend/src/components/RouteOperationWorkbench.vue;cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue;cpf-admin/frontend/src/features/errors/RouteStatusPage.vue,cpf-tools/scripts/tests/test_verify_cpf_adm_route_source_consumers.py;cpf-tools/scripts/tests/test_verify_cpf_adm_route_interaction_contract.py;cpf-admin/frontend/e2e/adm-route-contract.spec.ts,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=ADM). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-008,SELF,SELF,P0,cpf-admin/cpf-gateway,Gateway Menu·Tab 정합성,completion-and-product-closure,완료,미검증,cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java;cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgTargetResolver.java;cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayRegistryPort.java;cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryController.java,cpf-admin/frontend/src/features/gateway-operations/GatewayOperationsPage.vue;cpf-admin/frontend/src/components/RouteOperationWorkbench.vue,cpf-tools/scripts/tests/test_verify_cpf_network_policy_consumers.py;cpf-tools/scripts/tests/test_verify_cpf_adm_route_interaction_contract.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=GATEWAY). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-009,SELF,SELF,P0,cpf-admin/cpf-batch,Batch Execution Workbench,completion-and-product-closure,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/batch/CpfBatchOperationsPort.java;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java;cpf-batch/control-server/src/main/java/com/cpf/batch/control/compat/BatchOperationsCompatibilityService.java,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue;cpf-admin/frontend/src/features/batch-executions/BatchExecutionsPage.vue;cpf-admin/frontend/src/features/batch-recovery/BatchRecoveryPage.vue,cpf-tools/scripts/tests/test_verify_cpf_batch_fail_closed.py;cpf-tools/scripts/tests/test_verify_cpf_batch_ghost_safety.py;cpf-tools/scripts/tests/test_verify_cpf_adm_route_interaction_contract.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=BATCH). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
CPF-SELF-DEV-010,SELF,SELF,P0,cpf-admin/cpf-batch,Batch Scheduler HA Workbench,completion-and-product-closure,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/batch/CpfBatchOperationsPort.java;cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java;cpf-batch/control-server/src/main/java/com/cpf/batch/control/compat/BatchOperationsCompatibilityService.java,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue;cpf-admin/frontend/src/features/batch-executions/BatchExecutionsPage.vue;cpf-admin/frontend/src/features/batch-recovery/BatchRecoveryPage.vue,cpf-tools/scripts/tests/test_verify_cpf_batch_fail_closed.py;cpf-tools/scripts/tests/test_verify_cpf_batch_ghost_safety.py;cpf-tools/scripts/tests/test_verify_cpf_adm_route_interaction_contract.py,,,,Source/Consumer/Test 구현 및 정적 계약 Gate 완료(bundle=BATCH). exact-SHA Java25/Frontend/3DB/Browser/분산 Runtime은 미검증.
