engineering_gate_id,work_item_count,work_item_ids,baseline_sha
GATE-01-OWNERSHIP,60,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY;CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION;CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-INSTALL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-INSTALL-04-DATA_MIGRATION;CPF-WP-DB-FRESH-01-CONTRACT_OWNERSHIP;CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-FRESH-03-VERIFICATION_EVIDENCE;CPF-WP-DB-FRESH-04-FAILURE_RECOVERY;CPF-WP-DB-FRESH-05-DATA_MIGRATION;CPF-WP-DB-FRESH-06-GENERATION_COMPATIBILITY;CPF-WP-DB-MIGRATION-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MIGRATION-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MIGRATION-04-FAILURE_RECOVERY;CPF-WP-DB-MIGRATION-05-DATA_MIGRATION;CPF-WP-DB-MIGRATION-06-GENERATION_COMPATIBILITY;CPF-WP-DB-ROLLBACK-01-CONTRACT_OWNERSHIP;CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-ROLLBACK-03-VERIFICATION_EVIDENCE;CPF-WP-DB-ROLLBACK-04-FAILURE_RECOVERY;CPF-WP-DB-ROLLBACK-05-DATA_MIGRATION;CPF-WP-DB-BACKUP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-BACKUP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY;CPF-WP-DB-BACKUP-05-DATA_MIGRATION;CPF-WP-DB-MULTI-VENDOR-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-VENDOR-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-VENDOR-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-VENDOR-05-DATA_MIGRATION;CPF-WP-DB-SQL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-SQL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-SQL-04-DATA_MIGRATION;CPF-WP-DB-PERF-01-CONTRACT_OWNERSHIP;CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-PERF-03-VERIFICATION_EVIDENCE;CPF-WP-DB-PERF-04-FAILURE_RECOVERY;CPF-WP-DB-PERF-05-DATA_MIGRATION;CPF-WP-DB-MULTI-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-05-DATA_MIGRATION;CPF-WP-DATA-LINEAGE-01-CONTRACT_OWNERSHIP;CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER;CPF-WP-DATA-LINEAGE-03-VERIFICATION_EVIDENCE;CPF-WP-DATA-LINEAGE-04-OPERATIONS_SECURITY;CPF-WP-DATA-LINEAGE-05-DATA_MIGRATION;CPF-WP-DATA-RETENTION-01-CONTRACT_OWNERSHIP;CPF-WP-DATA-RETENTION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DATA-RETENTION-03-VERIFICATION_EVIDENCE;CPF-WP-DATA-RETENTION-04-FAILURE_RECOVERY;CPF-WP-DATA-RETENTION-05-DATA_MIGRATION,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-02-CONSUMER,60,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY;CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION;CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-INSTALL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-INSTALL-04-DATA_MIGRATION;CPF-WP-DB-FRESH-01-CONTRACT_OWNERSHIP;CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-FRESH-03-VERIFICATION_EVIDENCE;CPF-WP-DB-FRESH-04-FAILURE_RECOVERY;CPF-WP-DB-FRESH-05-DATA_MIGRATION;CPF-WP-DB-FRESH-06-GENERATION_COMPATIBILITY;CPF-WP-DB-MIGRATION-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MIGRATION-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MIGRATION-04-FAILURE_RECOVERY;CPF-WP-DB-MIGRATION-05-DATA_MIGRATION;CPF-WP-DB-MIGRATION-06-GENERATION_COMPATIBILITY;CPF-WP-DB-ROLLBACK-01-CONTRACT_OWNERSHIP;CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-ROLLBACK-03-VERIFICATION_EVIDENCE;CPF-WP-DB-ROLLBACK-04-FAILURE_RECOVERY;CPF-WP-DB-ROLLBACK-05-DATA_MIGRATION;CPF-WP-DB-BACKUP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-BACKUP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY;CPF-WP-DB-BACKUP-05-DATA_MIGRATION;CPF-WP-DB-MULTI-VENDOR-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-VENDOR-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-VENDOR-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-VENDOR-05-DATA_MIGRATION;CPF-WP-DB-SQL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-SQL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-SQL-04-DATA_MIGRATION;CPF-WP-DB-PERF-01-CONTRACT_OWNERSHIP;CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-PERF-03-VERIFICATION_EVIDENCE;CPF-WP-DB-PERF-04-FAILURE_RECOVERY;CPF-WP-DB-PERF-05-DATA_MIGRATION;CPF-WP-DB-MULTI-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-05-DATA_MIGRATION;CPF-WP-DATA-LINEAGE-01-CONTRACT_OWNERSHIP;CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER;CPF-WP-DATA-LINEAGE-03-VERIFICATION_EVIDENCE;CPF-WP-DATA-LINEAGE-04-OPERATIONS_SECURITY;CPF-WP-DATA-LINEAGE-05-DATA_MIGRATION;CPF-WP-DATA-RETENTION-01-CONTRACT_OWNERSHIP;CPF-WP-DATA-RETENTION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DATA-RETENTION-03-VERIFICATION_EVIDENCE;CPF-WP-DATA-RETENTION-04-FAILURE_RECOVERY;CPF-WP-DATA-RETENTION-05-DATA_MIGRATION,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-05-DB-QUERY,60,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY;CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION;CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-INSTALL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-INSTALL-04-DATA_MIGRATION;CPF-WP-DB-FRESH-01-CONTRACT_OWNERSHIP;CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-FRESH-03-VERIFICATION_EVIDENCE;CPF-WP-DB-FRESH-04-FAILURE_RECOVERY;CPF-WP-DB-FRESH-05-DATA_MIGRATION;CPF-WP-DB-FRESH-06-GENERATION_COMPATIBILITY;CPF-WP-DB-MIGRATION-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MIGRATION-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MIGRATION-04-FAILURE_RECOVERY;CPF-WP-DB-MIGRATION-05-DATA_MIGRATION;CPF-WP-DB-MIGRATION-06-GENERATION_COMPATIBILITY;CPF-WP-DB-ROLLBACK-01-CONTRACT_OWNERSHIP;CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-ROLLBACK-03-VERIFICATION_EVIDENCE;CPF-WP-DB-ROLLBACK-04-FAILURE_RECOVERY;CPF-WP-DB-ROLLBACK-05-DATA_MIGRATION;CPF-WP-DB-BACKUP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-BACKUP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY;CPF-WP-DB-BACKUP-05-DATA_MIGRATION;CPF-WP-DB-MULTI-VENDOR-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-VENDOR-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-VENDOR-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-VENDOR-05-DATA_MIGRATION;CPF-WP-DB-SQL-01-CONTRACT_OWNERSHIP;CPF-WP-DB-SQL-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-SQL-03-VERIFICATION_EVIDENCE;CPF-WP-DB-SQL-04-DATA_MIGRATION;CPF-WP-DB-PERF-01-CONTRACT_OWNERSHIP;CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-PERF-03-VERIFICATION_EVIDENCE;CPF-WP-DB-PERF-04-FAILURE_RECOVERY;CPF-WP-DB-PERF-05-DATA_MIGRATION;CPF-WP-DB-MULTI-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-05-DATA_MIGRATION;CPF-WP-DATA-LINEAGE-01-CONTRACT_OWNERSHIP;CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER;CPF-WP-DATA-LINEAGE-03-VERIFICATION_EVIDENCE;CPF-WP-DATA-LINEAGE-04-OPERATIONS_SECURITY;CPF-WP-DATA-LINEAGE-05-DATA_MIGRATION;CPF-WP-DATA-RETENTION-01-CONTRACT_OWNERSHIP;CPF-WP-DATA-RETENTION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DATA-RETENTION-03-VERIFICATION_EVIDENCE;CPF-WP-DATA-RETENTION-04-FAILURE_RECOVERY;CPF-WP-DATA-RETENTION-05-DATA_MIGRATION,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-06-STATE-IDEMP,12,CPF-WP-DB-FRESH-04-FAILURE_RECOVERY;CPF-WP-DB-MIGRATION-04-FAILURE_RECOVERY;CPF-WP-DB-ROLLBACK-04-FAILURE_RECOVERY;CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-VENDOR-04-FAILURE_RECOVERY;CPF-WP-DB-PERF-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-05-DATA_MIGRATION;CPF-WP-DATA-RETENTION-04-FAILURE_RECOVERY,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-07-MULTI-INSTANCE,5,CPF-WP-DB-MULTI-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-05-DATA_MIGRATION,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-08-UNKNOWN-RECOVERY,30,CPF-WP-DB-FRESH-01-CONTRACT_OWNERSHIP;CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-FRESH-03-VERIFICATION_EVIDENCE;CPF-WP-DB-FRESH-04-FAILURE_RECOVERY;CPF-WP-DB-FRESH-05-DATA_MIGRATION;CPF-WP-DB-FRESH-06-GENERATION_COMPATIBILITY;CPF-WP-DB-MIGRATION-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MIGRATION-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MIGRATION-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MIGRATION-04-FAILURE_RECOVERY;CPF-WP-DB-MIGRATION-05-DATA_MIGRATION;CPF-WP-DB-MIGRATION-06-GENERATION_COMPATIBILITY;CPF-WP-DB-ROLLBACK-01-CONTRACT_OWNERSHIP;CPF-WP-DB-ROLLBACK-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-ROLLBACK-03-VERIFICATION_EVIDENCE;CPF-WP-DB-ROLLBACK-04-FAILURE_RECOVERY;CPF-WP-DB-ROLLBACK-05-DATA_MIGRATION;CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-VENDOR-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-VENDOR-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-VENDOR-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-VENDOR-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-VENDOR-05-DATA_MIGRATION;CPF-WP-DB-PERF-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-01-CONTRACT_OWNERSHIP;CPF-WP-DB-MULTI-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-MULTI-03-VERIFICATION_EVIDENCE;CPF-WP-DB-MULTI-04-FAILURE_RECOVERY;CPF-WP-DB-MULTI-05-DATA_MIGRATION;CPF-WP-DATA-RETENTION-04-FAILURE_RECOVERY,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-09-SECURITY,2,CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY;CPF-WP-DATA-LINEAGE-04-OPERATIONS_SECURITY,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-10-CRYPTO-PRIVACY,5,CPF-WP-DB-BACKUP-01-CONTRACT_OWNERSHIP;CPF-WP-DB-BACKUP-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-BACKUP-03-VERIFICATION_EVIDENCE;CPF-WP-DB-BACKUP-04-FAILURE_RECOVERY;CPF-WP-DB-BACKUP-05-DATA_MIGRATION,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-11-OPS-AUDIT,6,CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY;CPF-WP-DATA-LINEAGE-01-CONTRACT_OWNERSHIP;CPF-WP-DATA-LINEAGE-02-IMPLEMENTATION_CONSUMER;CPF-WP-DATA-LINEAGE-03-VERIFICATION_EVIDENCE;CPF-WP-DATA-LINEAGE-04-OPERATIONS_SECURITY;CPF-WP-DATA-LINEAGE-05-DATA_MIGRATION,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
GATE-12-OBSERVABILITY,5,CPF-WP-DB-PERF-01-CONTRACT_OWNERSHIP;CPF-WP-DB-PERF-02-IMPLEMENTATION_CONSUMER;CPF-WP-DB-PERF-03-VERIFICATION_EVIDENCE;CPF-WP-DB-PERF-04-FAILURE_RECOVERY;CPF-WP-DB-PERF-05-DATA_MIGRATION,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c
