requirement_id,priority,area,requirement,related_defects,acceptance_evidence,development_status,verification_status,development_evidence,verification_command,note
QA34-REQ-001,P0,Build,Canonical Plugin ID/Group/Artifact/Marker와 pluginManagement Included Build를 단일화한다.,QA34-DF-001,"fresh clone empty Gradle cache에서 help/projects 성공, cpf-member와 generated domain 실제 Plugin 적용",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/verify-cpf-qa34-build-contract.py --root . && .\gradlew.bat help projects --no-daemon,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-002,P0,Build/Artifact,BOM Canonical Coordinate와 Local/Staging/Internal Publication 계약을 단일화한다.,QA34-DF-002,POM/Module/Marker 좌표와 verifier/generator/consumer 일치,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/verify-cpf-qa34-build-contract.py --root . && pwsh -File cpf-tools/scripts/verify-local-artifact-propagation.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-003,P0,Build,Java25 aggregateQualityBuild와 Included Build check를 실행한다.,QA34-DF-001;QA34-DF-015,"Java25 exact SHA command/evidence, compile/test/assemble 통과",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-java-build.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-004,P0,Evidence,최종 Push exact SHA에서 clean Evidence를 재생성한다.,QA34-DF-003;QA34-DF-009,"sourceSha=resultSha=최종 Commit, dirty false, hash/command/time 포함",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-final-closure.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-005,P0,Frontend/API,실제 Backend 전체 OpenAPI를 exact SHA에서 Export한다.,QA34-DF-004;QA34-DF-005,"모든 Public operation/DTO/error/validation 포함, 수작업 최소 snapshot 제거",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/export-cpf-backend-openapi.ps1 -Release,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-006,P0,Frontend/Evidence,Generated Client exact-SHA 검증을 항상 fail-closed한다.,QA34-DF-004;QA34-DF-006,"CPF_SOURCE_SHA 생략/stale marker fixture 실패, producer/verifier schema 일치",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,node cpf-admin/frontend/scripts/test-generated-client-contract.mjs && node cpf-biz-admin/frontend/scripts/test-generated-client-contract.mjs,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-007,P0,Frontend,ADM/BZA clean npm ci/lint/typecheck/test/build를 승인 Registry에서 실행한다.,QA34-DF-004;QA34-DF-005,"fresh node_modules, exact lock, production bundle hash",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-frontend-runtime.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-008,P0,Frontend/Test,Chromium/Firefox/WebKit E2E를 전체 Route/권한/오류 계약으로 강화한다.,QA34-DF-007,"assertion 없는 PASS 0, Router registry 전체, 3 browser evidence",완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/verify-cpf-qa34-frontend-runtime.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-009,P0,Security,BFF FilterChain authorization ownership과 401/403를 검증·수정한다.,QA34-DF-010,모든 privileged endpoint 인증/권한 negative test와 browser session test,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,python cpf-tools/scripts/verify-cpf-qa34-bff-security.py --root . && .\gradlew.bat :cpf-starters:security:test,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
QA34-REQ-010,P0,Database,Oracle/PostgreSQL/MariaDB install/upgrade/rollback/drift를 실제 실행한다.,QA34-DF-008;QA34-DF-014,각 Vendor exact schema/index/constraint/backfill/runtime query evidence,완료,미검증,QA34-GPT-FINAL-OVERLAY;QA34-SOURCE-CLOSURE,pwsh -File cpf-tools/scripts/invoke-cpf-qa34-db-runtime-matrix.ps1,Source/Consumer/Test/Gate/Runner 구현 완료. 적용 후 최종 Push exact SHA의 clean fresh-clone 실행 Evidence가 있어야 verification_status=완료로 전환.
