requirement_id,phase,title,development_status,개발GPT_상태,개발GPT_자체검수_상태,runtime_verification_status,verification_status,transfer_id,개발GPT_내용,개발GPT_Evidence
CPF-SELF-DEV-S4-001,P00,분할 원장 Git 정본 byte/hash 정합성 및 fail-closed 검증,완료,완료,완료,완료,완료,,"30,558 Requirement·40,763 Scenario·30,558 Execution; 논리 1~10,027 scope PASS",cpf-docs/work/evidence/20260803/session4/P00_SPLIT_MASTER_VALIDATION_R2.json
CPF-SELF-DEV-S4-002,P01,분할 논리 원장 기반 Traceability와 기존 함수 계약 보존,완료,완료,완료,완료,완료,,전체 Cross-link PASS; 기존 공개 함수 회귀 포함 70건 PASS; 미완료 Release는 fail-closed,cpf-docs/work/evidence/20260803/session4/P01_REQUIREMENT_TRACEABILITY_R2.json;cpf-docs/work/evidence/20260803/session4/P00_P05_MERGED_REGRESSION_TESTS_R2.log
CPF-SELF-DEV-S4-003,P02,Core/Admin/BAT Owner 경계 fail-closed Gate,완료,완료,완료,검증 이관,미검증,CPF-XFER-S4-P02-FULL-SCAN,Gate·Positive/Negative 회귀 Test 완료. 전체 적용 Repository Source scan은 Codex 이관.,cpf-docs/work/development/p00-p05-session4/ENVIRONMENT_VALIDATION_HANDOFF.csv
CPF-SELF-DEV-S4-004,P03,ADM/CMN DB-less·Product Persistence 소유권과 안전 기본값,완료,완료,완료,완료,완료,,exact-SHA 대상 Source와 Starter Owner 계약 PASS,cpf-docs/work/evidence/20260803/session4/P03_DB_LESS_FAIL_CLOSED_R2_TARGETED.json
CPF-SELF-DEV-S4-005,P03,Transaction ID·표준 실행 ID 정본 Gate,완료,완료,완료,검증 이관,미검증,CPF-XFER-S4-P03-TX-FULL-SCAN,Targeted exact-SHA 계약 PASS; 전체 Repository Annotation/Legacy scan만 이관.,cpf-docs/work/evidence/20260803/session4/P03_TRANSACTION_ID_R2_TARGETED.json
CPF-SELF-DEV-S4-006,P03,ADM/BZA/Batch 운영자 신뢰경계·중첩 Actor 제거,완료,완료,완료,부분 완료,재확인 필요,CPF-XFER-S4-JAVA25;CPF-XFER-S4-FRONTEND-ADM;CPF-XFER-S4-FRONTEND-BZA,제품 Source·실제 Consumer·회귀 Test 구현 완료. Java21 Compile/Unit/Harness와 ADM/BZA TypeScript/Node/Chromium PASS. Java25/full app만 이관.,cpf-docs/work/evidence/20260803/session4/JAVA21_SUBSTITUTE_VALIDATION.json;cpf-docs/work/evidence/20260803/session4/FRONTEND_SUBSTITUTE_VALIDATION.json;cpf-docs/work/evidence/20260803/session4/P03_OPERATOR_TRUST_R2_TARGETED.json
CPF-SELF-DEV-S4-007,P03,공통 Network Policy Consumer 및 Durable Audit Gate 강화,완료,완료,완료,완료,완료,,공통 정책·3개 실제 Consumer·Audit fail-closed Source 계약과 Negative Test PASS,cpf-docs/work/evidence/20260803/session4/P03_NETWORK_POLICY_R2_TARGETED.json;cpf-docs/work/evidence/20260803/session4/P03_AUDIT_FAIL_CLOSED_R2_TARGETED.json
CPF-SELF-DEV-S4-008,P04,공식 DB Vendor exactly-three Manifest·물리 Lifecycle 정합성,완료,완료,완료,검증 이관,미검증,CPF-XFER-S4-DB-MARIADB;CPF-XFER-S4-DB-POSTGRESQL;CPF-XFER-S4-DB-ORACLE,Vendor별 DDL/DML/lifecycle 경로·정적 Gate 완료. 실제 서버 Lifecycle만 이관.,cpf-docs/work/evidence/20260803/session4/P04_DB_VENDOR_R2_TARGETED.json;cpf-docs/work/development/p00-p05-session4/ENVIRONMENT_VALIDATION_HANDOFF.csv
CPF-SELF-DEV-S4-009,P05,Canonical Starter Catalog·Capability Profile 파생 정합성,완료,완료,완료,검증 이관,미검증,CPF-XFER-S4-JAVA25;CPF-XFER-S4-PUBLICATION-SUPPLY-CHAIN,"38 Module/6 Profile/32 Internal/7 Group/9 Provider Slot, 물리 Build path PASS. Java25 publication/SBOM만 이관.",cpf-docs/work/evidence/20260803/session4/P05_STARTER_CATALOG_R2_TARGETED.json
CPF-SCOPE-000001,P00-P05,"논리 execution_order 행 1~10,027 전체 최종 완료",미완료,미완료,미검증,검증 이관,미검증,ENVIRONMENT_VALIDATION_HANDOFF.csv,"이번 Overlay가 실제 수정·검증한 자체 Requirement만 완료. Canonical 10,027건의 Requirement별 Consumer/Runtime Evidence가 모두 완료된 것은 아님.",cpf-docs/work/development/p00-p05-session4/OPEN_ISSUES.md
