area,canonical_requirement_id,path,method,operation_id,source_snapshot,baseline_sha,status
ADM,ADM-APPROVAL,/adm/api/approvals/policies,GET,admApprovalPolicies,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-APPROVAL,/adm/api/approvals/policies,POST,admApprovalPolicySave,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-APPROVAL,/adm/api/approvals/policies/{policyCode}/versions/{version},GET,admApprovalPolicyDetail,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-APPROVAL,/adm/api/approvals/requests,POST,admApprovalRequest,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-APPROVAL,/adm/api/approvals/requests/{id},GET,admApprovalRequestDetail,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-APPROVAL,/adm/api/approvals/requests/{id}/decisions,POST,admApprovalDecision,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-APPROVAL,/adm/api/approvals/requests/{id}/execute,POST,admApprovalExecute,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-AUDIT,/adm/api/audit-logs,GET,admAuditLogFindAuditLogs,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-AUDIT,/adm/api/audit-logs/deliveries,GET,admAuditDeliveryList,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-AUDIT,/adm/api/audit-logs/deliveries/{deliveryId}/retry,POST,admAuditDeliveryRetry,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-AUTH,/adm/api/auth/login,POST,admAuthLogin,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-AUTH,/adm/api/auth/logout,POST,admAuthLogout,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-AUTH,/adm/api/auth/me,GET,admAuthMe,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/commands,POST,admBatchRuntimeCommand,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/commands/{key},GET,admBatchRuntimeCommandState,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/deployment-plans,POST,admBatchRuntimeCreateDeploymentPlan,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/instances,GET,admBatchRuntimeInstances,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/job-definitions,GET,admBatchJobDefinitions,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/job-definitions/drafts,POST,admBatchJobDefinitionSave,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/job-definitions/validate,POST,admBatchJobDefinitionValidate,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/job-definitions/{jobId}/versions/{version},GET,admBatchJobDefinitionDetail,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/job-definitions/{jobId}/versions/{version}/transition,POST,admBatchJobDefinitionTransition,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch-runtime/views/{view},GET,admBatchRuntimeView,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/execution-targets,GET,admBatchFindExecutionTargets,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/executions,GET,admBatchFindExecutions,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/executions/page,GET,admBatchFindExecutionPage,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/executions/{executionId},GET,admBatchFindExecutionDetail,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/executions/{executionId}/retry,POST,admBatchRetryExecution,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/executions/{executionId}/stop,POST,admBatchStopExecution,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/ghost-candidates,GET,admBatchFindGhostCandidates,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/ghost-candidates/{executionId}/actions,POST,admBatchActGhostExecution,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/instances,GET,admBatchFindInstances,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/jobs,GET,admBatchFindJobs,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/jobs,POST,admBatchRegisterJob,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/jobs/{jobId},GET,admBatchFindJobDetail,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/jobs/{jobId}/run,POST,admBatchRunJob,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/locks,GET,admBatchFindLocks,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/locks/release,POST,admBatchReleaseLock,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/operations,GET,admBatchFindOperationLogs,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/relations,GET,admBatchFindRelations,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/scheduler/run-once,POST,admBatchRunSchedulerOnce,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/schedules,GET,admBatchFindSchedules,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
ADM,ADM-BATCH,/adm/api/batch/schedules/{scheduleId}/disable,POST,admBatchDisableSchedule,/mnt/data/adm-cpf-openapi-exact.json,af12a0c8851a2e8d20e9e42964d8dacc0266af03,CONFIRMED
