edu_id,category,title,manual,manual_section,coverage,canonical_catalog
EDU-DEV-01,DEV,Generator 기반 신규 업무 영역 생성,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-02,DEV,권한·범위가 적용된 목록·상세 조회,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-03,DEV,등록·수정·상태 변경과 감사,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-04,DEV,동시 수정과 예상 Version 충돌,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-05,DEV,지급 등록 멱등성·응답 유실·결과 대사,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-06,DEV,같은 애플리케이션·분리 서비스 호출 동등성,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-07,DEV,Kafka Outbox·Inbox·중복 소비·재처리,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-08,DEV,파일 업로드·검사·첨부·다운로드,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-09,DEV,외부 REST 신용조회와 결과 미확정,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-10,DEV,고정길이 전문 기관 이체,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-11,DEV,권한·데이터 범위·개인정보 가림·감사,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-12,DEV,Cache·기능 전환·Secret 교체,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-13,DEV,알림·비동기 내보내기·다운로드 감사,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-14,DEV,Oracle·PostgreSQL·MariaDB 동일 의미 Migration,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-15,DEV,지급 업무 장애 주입·복구·운영 인계,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-16,DEV,대용량 목록 검색·정렬·Cursor Paging,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-17,DEV,대량 등록 사전검증·부분 오류 보고·재업로드,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-18,DEV,논리 삭제·복원·보존기간 만료,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-19,DEV,기준일·유효기간이 있는 기준정보,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-20,DEV,다단계 고객 업무 상태기계와 취소·재개,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-21,DEV,Transactional Outbox 게시 지연·재시작,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-22,DEV,서비스 간 Saga 보상·수동 확정,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-23,DEV,공통 입력검증·오류 계약·OpenAPI 일치,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-24,DEV,장시간 비동기 Operation 조회·취소,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-25,DEV,Webhook Callback 서명·재전송·Replay 방지,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-26,DEV,SFTP 수신·송신·완료 파일 원자 처리,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-27,DEV,SOAP·XML 외부기관 연계와 Fault 처리,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-28,DEV,대용량 Multipart 업로드·중단 재개,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-29,DEV,악성코드 검사·격리·승인 해제,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-30,DEV,Object Storage 보존·버전·법적 보류,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-31,DEV,다중 채널 알림 선호·재시도·대체 채널,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-32,DEV,개인정보 암호화·Tokenization·Key Rotation,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-33,DEV,인증 Token 만료·갱신·폐기·세션 강제 종료,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-34,DEV,API 사용량 제한·고객별 Quota·초과 처리,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-35,DEV,기능 전환 Canary·Kill Switch·사용자 Segment,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-36,DEV,Cache Stampede·Negative Cache·원본 정합성,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-37,DEV,온라인 분산 Lease·Fencing·소유권 상실,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-38,DEV,다중 Tenant 격리·설정·데이터 범위,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-39,DEV,업무일자·시간대·휴일 Calendar,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-40,DEV,금액·통화·반올림·환율 Version,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-41,DEV,감사 증적 Export·무결성 Hash·검증,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-42,DEV,로그·Metric·Trace 상관관계와 Sampling,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-43,DEV,API Version 전환·하위 호환·폐기,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-44,DEV,Event Schema 진화·호환성·Dead Letter,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-DEV-45,DEV,조회 모델·검색색인 Eventual Consistency,01_개발자매뉴얼.md,EDU-DEV 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-01,BAT,업무일 마감 Tasklet,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-02,BAT,"회원 등급 10,000건 Chunk",02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-03,BAT,CSV 입출력 배치,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-04,BAT,8개 범위 Partition,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-05,BAT,Manager·Worker·Lease·Fencing,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-06,BAT,센터컷 Preview·승인·실행,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-07,BAT,영업일 23시 Scheduler,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-08,BAT,Job Pack Version·Artifact 배포,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-09,BAT,중지·재시작·실패건 재처리,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-10,BAT,실행 요청 응답 유실·결과 대사,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-11,BAT,조건 분기·다단계 Job Flow,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-12,BAT,Retry·Skip·No-Skip 예외 분류,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-13,BAT,Writer Commit 장애 후 Checkpoint 재시작,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-14,BAT,JobParameter 식별·중복 실행·새 Instance,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-15,BAT,지연 도착 데이터·Backfill·재산출,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-16,BAT,Watermark 기반 증분 수집·재시작,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-17,BAT,암호화·압축·Checksum 파일 산출,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-18,BAT,수신 파일 Header·Detail·Trailer 대사,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-19,BAT,다중 파일 Fan-in·Fan-out,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-20,BAT,Scheduler Misfire·Catch-up·건너뛰기,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-21,BAT,중복 실행 방지·동시 실행 허용 범위,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-22,BAT,휴일 Calendar·영업일 순번 JobParameter,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-23,BAT,Stop·Abandon·Restart 의미 분리,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-24,BAT,Remote Worker 유실·재할당·중복 결과 차단,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-25,BAT,Partition 편향 감지·재분할,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-26,BAT,센터컷 결과 대사·차이 보정·재실행,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-27,BAT,Job Pack Checksum·호환성·이전 Version 복구,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-28,BAT,Host Agent Offline·명령 ACK 유실,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-29,BAT,Dry Run·건수 Preview·표본 확인,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-BAT-30,BAT,대용량 처리 성능·용량·Backpressure,02_배치개발매뉴얼.md,EDU-BAT 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-ADM-01,ADM,기존 ADM 기능 재사용 판단,03_ADM개발자매뉴얼.md,EDU-ADM 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-ADM-02,ADM,고객 업무 조회 연동,03_ADM개발자매뉴얼.md,EDU-ADM 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-ADM-03,ADM,안전한 운영 조치,03_ADM개발자매뉴얼.md,EDU-ADM 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-ADM-04,ADM,승인 필요한 위험 조치,03_ADM개발자매뉴얼.md,EDU-ADM 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
EDU-ADM-05,ADM,비동기 작업·응답 유실,03_ADM개발자매뉴얼.md,EDU-ADM 전수 실행 카드,CARD_PRESENT,manual-135-catalog.json
