path,action,purpose
cpf-docs/work/v9i/qa/r6j/a/QA_A_REPORT.md,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/QA_A_FINDINGS.csv,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/QA_A_REQUIREMENT_STATUS.csv,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/QA_A_EDU_ARCH_CLASSIFICATION.csv,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/QA_A_LOGGING_MATRIX.csv,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/QA_A_RUNTIME_MATRIX.csv,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/QA_A_EVIDENCE.md,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/QA_A_OPINION.md,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/CROSS_REVIEW_REQUEST.md,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/HANDOVER.md,ADD,QA A R6J full independent review
cpf-docs/work/v9i/qa/r6j/a/evidence/artifact-consumer-selftest.log,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/db3-v105-v106-source-parity.json,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/developer-ledger-facts.json,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/edu-consumer-contract.log,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/edu135-facts.json,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/environment.txt,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/frontend-contract.log,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/frontend-semantic-mutation.log,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/observability-fake-proof.json,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/observability-fake-proof.log,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/selected-source-hash-parity.json,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/evidence/supply-chain-selftest.log,ADD,QA A direct execution/source evidence
cpf-docs/work/v9i/qa/r6j/a/CHANGE_MANIFEST.csv,ADD,QA package manifest
cpf-docs/work/v9i/qa/r6j/a/PACKAGE_MANIFEST.json,ADD,QA package provenance
cpf-docs/work/v9i/qa/r6j/a/SHA256SUMS.txt,ADD,QA package hashes
