defect_id,priority,area,title,current_status,root_cause,implemented_remediation,blocking_reason,required_next_validation,related_result_ids,base_sha,head_sha
QA31-D001,P0,Evidence,Active 문서 exact SHA 불일치,재확인 필요,Current/Handover/Summary가 최신 master SHA를 가리키지 않음,exact SHA와 Evidence metadata를 Gate에 강제,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,stale SHA 0; base/head 명시,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D002,P0,Evidence,QA30 Evidence 원본 경로 부재,재확인 필요,완료 원장이 참조하는 qa30-static-report.json이 최신 Tree에 없음,완료행 Evidence 실제 존재/Exit Code/Hash 검증,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,모든 완료 행의 실제 존재 Evidence,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D003,P0,Architecture,구형 Gateway Route 모델 잔존,부분 구현,core.common.gateway Route/Catalog/Test가 최신 master에 남음,구형 Gateway 삭제 Manifest와 import zero Gate,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,구형 파일/Import/Bean/Test 0,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D004,P0,Gate,Static Gate PASS 재현 불가,부분 구현,구형 모델 잔존과 PASS 보고가 충돌,문자열 Anchor를 넘어 Matrix/Hash/Consumer/DB 정합성 Gate,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,명령/Exit 0/Report Hash,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D005,P0,Gate,926 통합 Matrix가 Final Gate 직접 입력 아님,부분 구현,기존 Requirement/Evidence만 확인해 신규 Matrix 미검증을 놓칠 수 있음,99 Requirement+66 Scenario ID parity Gate,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,필수 미검증 행 존재 시 Exit 1,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D006,P0,Status,실행형 결함 검증 완료 오표기,부분 구현,3DB/Browser/Full Product Gate 미실행인데 완료/완료 행 존재,실행형 항목은 Runtime Evidence 없으면 완료 불가,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,미실행 PASS 0,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D007,P0,CI,최신 Commit CI Evidence 없음,재확인 필요,최신 SHA Workflow/Combined Status 없음,환경·명령·Exit Code Evidence 형식 추가,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,exact SHA·JUnit·Exit 0,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D008,P0,Gateway,실제 요청 Path가 Target에 전달되지 않음,부분 구현,매칭 Path Pattern이 Target Endpoint로 사용될 가능성,Ingress Path와 Target Path 분리 및 동적 Pattern fail-closed,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,/orders/123가 정확히 Target에 전달,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D009,P0,Gateway,ACK 전 Candidate Route 활성화,부분 구현,기동 시 ACK 없는 Candidate를 Snapshot 활성화,ACK 없는 Candidate startup/refresh 비활성,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,ACK 없는 신규 Route default deny,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
QA31-D010,P0,Gateway,Connection Test Type 미실행,부분 구현,NETWORK/TCP/TLS/APPLICATION이 동일 Socket Test,NETWORK/TCP/TLS/APPLICATION/GATEWAY_E2E Adapter 분리,Overlay가 아직 사용자 Repository에 적용·Push되지 않았고 요구 Runtime 환경 검증이 끝나지 않음,각 Type Failure Stage 구분,Work Package Matrix 참조,9594c8d5d9b1127a4e2694d0ec2f4add9475fc7e,WORKING_TREE_NOT_COMMITTED
