exact_id,priority,area,title,document_targets,current_status,verification_status,source_basis
AB-R6-001,P0,Management/Quality,Current result SHA와 execution Evidence provenance 미결속,00_프레임워크안내;01_개발자매뉴얼;05_플랫폼운영매뉴얼;산출물목록;기술사양서;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-002,P0,Runtime/Release,Current master Push에 Release Workflow 실행 근거 없음,00_프레임워크안내;05_플랫폼운영매뉴얼;산출물목록;기술사양서;기술표준서;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-010,P0,ADM/Frontend/Contract,Backend validation과 ADM OpenAPI/Generated artifact drift,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;기술사양서;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-012,P1,ADM/Frontend/Contract,Generated Client가 high-risk 실제 Consumer를 충분히 구속하지 못함,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;기술사양서;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-013,P0,Management/Quality,Operation consumer Gate false-green,01_개발자매뉴얼;03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;90_BZA매뉴얼;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-014,P0,Management/Quality,R6 behavior mutation Gate의 semantic 검출력 부족,01_개발자매뉴얼;05_플랫폼운영매뉴얼;기술표준서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-020,P0,Approval/Security,Process Kill 후 Approval RUNNING/EXECUTING 고착 경로,03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;05_플랫폼운영매뉴얼;기술사양서;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-025,P0,Runtime/Release,Owner success 후 DB finalization 장애 시 durable UNKNOWN 보장 부족,01_개발자매뉴얼;02_배치개발매뉴얼;03_ADM개발자매뉴얼;04_ADM운영자매뉴얼;05_플랫폼운영매뉴얼;91_Gateway매뉴얼;기술사양서;아키텍처설계서,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-028,P0,EDU/Sample,EDU Catalog/Handler/Scenario requiredRole 정합성 결함,00_프레임워크안내;01_개발자매뉴얼;02_배치개발매뉴얼;03_ADM개발자매뉴얼;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
AB-R6-029,P0,EDU/Sample,EDU Test가 실제 Product Consumer Runtime을 충분히 증명하지 못함,00_프레임워크안내;01_개발자매뉴얼;02_배치개발매뉴얼;산출물목록,재확인 필요,미검증,cpf-docs/work/v9i/final-dev-request/DEVELOPMENT_REWORK_REQUIREMENTS_R6J.csv
