requirement_id,parent_requirement_id,capability_name,canonical_requirement_ids,catalog_delivery_support,actual_applier_status,actual_source,actual_consumer_call_path,single_group_all_target_acceptance,scenario_ids,evidence_ref,remaining_gap,development_status,verification_status
CPF-FR-021605,RTC-LOG-LEVEL,Log Level,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Log Level가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010523;CPF-SC-010524;CPF-SC-010525;CPF-SC-010526;CPF-SC-010527;CPF-SC-010528;CPF-SC-010529;CPF-SC-010530;CPF-SC-010531;CPF-SC-010532,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021615,RTC-LOG-POLICY,Log Policy,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Log Policy가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010533;CPF-SC-010534;CPF-SC-010535;CPF-SC-010536;CPF-SC-010537;CPF-SC-010538;CPF-SC-010539;CPF-SC-010540;CPF-SC-010541;CPF-SC-010542,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021625,RTC-MESSAGE-CATALOG,Message Catalog,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Message Catalog가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010543;CPF-SC-010544;CPF-SC-010545;CPF-SC-010546;CPF-SC-010547;CPF-SC-010548;CPF-SC-010549;CPF-SC-010550;CPF-SC-010551;CPF-SC-010552,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021635,RTC-RESPONSE-CODE,Response Code,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Response Code가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010553;CPF-SC-010554;CPF-SC-010555;CPF-SC-010556;CPF-SC-010557;CPF-SC-010558;CPF-SC-010559;CPF-SC-010560;CPF-SC-010561;CPF-SC-010562,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021645,RTC-BUSINESS-CALENDAR,Business Calendar,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Business Calendar가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010563;CPF-SC-010564;CPF-SC-010565;CPF-SC-010566;CPF-SC-010567;CPF-SC-010568;CPF-SC-010569;CPF-SC-010570;CPF-SC-010571;CPF-SC-010572,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021655,RTC-PERMISSION-MANIFEST,Permission Manifest,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Permission Manifest가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010573;CPF-SC-010574;CPF-SC-010575;CPF-SC-010576;CPF-SC-010577;CPF-SC-010578;CPF-SC-010579;CPF-SC-010580;CPF-SC-010581;CPF-SC-010582,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021665,RTC-FEATURE-FLAG,Feature Flag,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,ACTUAL_APPLIER_SUBSTITUTE_VERIFIED,cpf-starters/platform-operations/feature-flag-openfeature/src/main/java/com/cpf/starter/platform/operations/feature/flag/openfeature/internal/CpfFeatureFlagRuntimeChangeApplier.java,CpfRuntimeControlAgent→CpfFeatureFlagRuntimeChangeApplier→CpfFeatureFlagOperations,Feature Flag가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010583;CPF-SC-010584;CPF-SC-010585;CPF-SC-010586;CPF-SC-010587;CPF-SC-010588;CPF-SC-010589;CPF-SC-010590;CPF-SC-010591;CPF-SC-010592,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_FEATURE_FLAG_HARNESS.txt,Java25/multi-instance/group/all/offline/partial/out-of-order/browser,완료,미완료
CPF-FR-021675,RTC-TENANT-CAPABILITY,Tenant Capability,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Tenant Capability가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010593;CPF-SC-010594;CPF-SC-010595;CPF-SC-010596;CPF-SC-010597;CPF-SC-010598;CPF-SC-010599;CPF-SC-010600;CPF-SC-010601;CPF-SC-010602,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021685,RTC-GATEWAY-ROUTE,Gateway Route,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Gateway Route가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010603;CPF-SC-010604;CPF-SC-010605;CPF-SC-010606;CPF-SC-010607;CPF-SC-010608;CPF-SC-010609;CPF-SC-010610;CPF-SC-010611;CPF-SC-010612,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
CPF-FR-021695,RTC-ROUTING-WEIGHT,Routing Weight,OPS-CONFIG/OPS-DRIFT/ADM-SERVICE,YES,NO_ACTUAL_RUNTIME_APPLIER,Capability owner module may exist; Runtime Agent bean manifest has no capability-specific applier,Desired-state delivery only; no actual side-effect consumer confirmed,Routing Weight가 단일·Group·전체 Target에서 version·ACK·actual·drift·rollback까지 추적돼야 한다.,CPF-SC-010613;CPF-SC-010614;CPF-SC-010615;CPF-SC-010616;CPF-SC-010617;CPF-SC-010618;CPF-SC-010619;CPF-SC-010620;CPF-SC-010621;CPF-SC-010622,cpf-docs/work/current/development-session-results/CPF-V8-DEVGPT-6C-09dd686c/DEVGPT-6C/REV-001/evidence/V8_SCOPE_VALIDATION.json,Owner adapter + direct runtime tests,미완료,미완료
