request_id,engineering_gate,status,evidence_ref,open_issue
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-01-OWNERSHIP,완료,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-02-CONSUMER,완료,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-04-EVENT-API,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-05-DB-QUERY,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-06-STATE-IDEMP,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-07-MULTI-INSTANCE,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-08-UNKNOWN-RECOVERY,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-09-SECURITY,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-10-CRYPTO-PRIVACY,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-11-OPS-AUDIT,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-12-OBSERVABILITY,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-13-PERFORMANCE,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-15-GENERATOR,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-16-COMPATIBILITY,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-17-SUPPLY-CHAIN,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-18-TEST-EVIDENCE,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-19-DOC-SUPPORT,완료,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-20-HYGIENE,완료,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-21-TIME,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
