document,r26_logical_lines,r27_logical_lines,delta_logical_lines,r26_chars,r27_chars,delta_chars,r26_words,r27_words,delta_words,r26_headings,r27_headings,delta_headings,r26_tables,r27_tables,delta_tables,r26_table_rows,r27_table_rows,delta_table_rows,r26_windows,r27_windows,delta_windows,r26_window_body_lines,r27_window_body_lines,delta_window_body_lines,r26_source_windows,r27_source_windows,delta_source_windows,r26_terminal_windows,r27_terminal_windows,delta_terminal_windows,r26_sql_windows,r27_sql_windows,delta_sql_windows,r26_config_windows,r27_config_windows,delta_config_windows,r26_http_windows,r27_http_windows,delta_http_windows,r26_json_windows,r27_json_windows,delta_json_windows,r26_output_windows,r27_output_windows,delta_output_windows,r26_code_windows,r27_code_windows,delta_code_windows,r26_test_windows,r27_test_windows,delta_test_windows,r26_pages,r27_pages,delta_pages,non_decrease_gate,review
cpf-docs/guides/00_프레임워크안내.docx,1020,1390,370,25361,37588,12227,3353,4787,1434,82,89,7,45,72,27,333,415,82,10,18,8,60,149,89,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,9,8,0,0,0,33,39,6,PASS,07_18 Modern Capability와 07_19 Root Layout + 07_20 Unified Context/Core Closure 정책을 제품 범위·Owner·도입 판단·과도상태까지 분리해 보강
cpf-docs/guides/01_개발자매뉴얼.docx,2637,3227,590,78166,101647,23481,9168,11669,2501,107,123,16,163,213,50,925,1061,136,86,117,31,709,988,279,20,20,0,22,22,0,5,5,0,6,6,0,3,3,0,0,0,0,5,5,0,19,48,29,0,2,2,80,90,10,PASS,Foundation/Testkit/Health/Session/Lock/S3/Schema/GraphQL/SSE 실제 Source·Config·Test·복구와 07_19 논리 project/목표 물리 Owner 전환 계약을 보강
cpf-docs/guides/02_배치개발매뉴얼.docx,1167,1263,96,31491,35676,4185,3835,4323,488,66,70,4,79,91,12,427,456,29,35,41,6,271,299,28,6,6,0,13,13,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,8,11,3,0,3,3,46,49,3,PASS,공식 Test Support 목표 경로와 Process Kill/Lease/Fencing/Restart/Reprocess/Reconcile 실습 및 장애 종료기준을 보강
cpf-docs/guides/03_ADM개발자매뉴얼.docx,1580,1752,172,52919,60021,7102,5989,6802,813,119,124,5,85,101,16,385,430,45,56,63,7,630,682,52,24,24,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27,33,6,0,1,1,58,62,4,PASS,ADM Runtime Health backend→OpenAPI→generated client→Vue→Browser/Fault 검증과 07_19 Root 영향 판정을 보강
cpf-docs/guides/04_ADM운영자매뉴얼.docx,5708,5857,149,288674,293864,5190,32646,33326,680,519,525,6,268,284,16,1902,1950,48,69,74,5,346,368,22,63,63,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,8,5,0,0,0,196,200,4,PASS,ADM 실제 Route를 64개 기준으로 currentize하고 health-instances 실제 Field/Operation/Stale/Drain/DB Evidence와 전환 상태를 보강
cpf-docs/guides/05_플랫폼운영매뉴얼.docx,1522,1964,442,34776,48462,13686,4647,6265,1618,86,98,12,79,111,32,564,669,105,24,41,17,157,306,149,0,1,1,5,5,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,10,26,16,0,0,0,59,67,8,PASS,Health/V112/Valkey/S3/GraphQL/SSE 설치·설정·검증·복구 Runbook과 07_19 Foundation/Testkit 목표 물리 경로 및 인수 중단기준을 보강
cpf-docs/guides/90_BZA매뉴얼.docx,2420,2486,66,71378,74376,2998,10043,10456,413,80,86,6,111,121,10,1092,1114,22,43,48,5,214,229,15,26,26,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,8,5,0,0,0,62,65,3,PASS,BZA build/frontend·Session/권한/강제로그아웃·Backup/Restore/Upgrade 명령과 07_19 배포 의존성 확인을 보강
cpf-docs/guides/91_Gateway매뉴얼.docx,852,976,124,22082,26408,4326,2467,3003,536,57,63,6,46,58,12,297,330,33,15,21,6,117,137,20,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,7,13,6,0,0,0,41,44,3,PASS,Gateway build/test/artifact·probe·NACK/PARTIAL/response-loss/LKG rollback과 07_19 배포 의존성 확인을 보강
cpf-docs/deliverables/산출물목록.docx,616,767,151,13394,18589,5195,2570,3309,739,33,41,8,70,85,15,256,302,46,2,3,1,14,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,34,38,4,PASS,"07_18/07_19 Currentization Gate, Evidence Bundle, 인수 묶음별 실패 예·통과 기준·검수 질문을 추가"
cpf-docs/deliverables/아키텍처설계서.docx,967,1425,458,26999,42479,15480,3382,5260,1878,76,91,15,47,79,32,338,446,108,12,20,8,78,173,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,0,0,0,41,49,8,PASS,"Pure Foundation/Core/Capability/Starter/Application 의존 방향, 07_19 Root Layout + 07_20 Unified Context ADR, transition/rollback/acceptance 조건을 보강"
