path,category,reason,replacement,preserve_if_modified
cpf-docs/quality/CPF_20260802_05_POST_QA37_REQUIREMENT_MATRIX.csv,DATED_MATRIX,최종 Matrix로 대체,cpf-docs/quality/CPF_QA38_FINAL_REQUIREMENT_MATRIX.csv,YES
cpf-docs/quality/CPF_20260802_05_POST_QA37_SCENARIO_MATRIX.csv,DATED_MATRIX,최종 Matrix로 대체,cpf-docs/quality/CPF_QA38_FINAL_SCENARIO_MATRIX.csv,YES
cpf-docs/quality/CPF_20260802_06_QA38_CANONICAL_MERGE_CROSSWALK.csv,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/quality/CPF_20260802_06_QA38_CORE_TO_STARTER_FINAL_REVIEW.csv,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/quality/CPF_20260802_06_QA38_DEVELOPER_BACKLOG_IMPORT_STATUS.csv,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/quality/CPF_20260802_06_QA38_FINAL_REQUIREMENTS.csv,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/quality/CPF_20260802_QA38_REQUIREMENT_MATRIX.csv,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/quality/CPF_20260802_QA38_SCENARIO_MATRIX.csv,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/quality/CPF_20260802_QA39_DELTA_REQUIREMENT_MATRIX.csv,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/quality/CPF_20260802_QA39_SCENARIO_MATRIX.csv,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/codex/qa38/FINAL_OPEN_ISSUES.md,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/codex/qa38/FINAL_REQUIREMENT_STATUS.csv,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/codex/qa38/FINAL_REVIEW_INDEX.md,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/codex/qa38/FINAL_TEST_AND_EVIDENCE.md,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/continuity/CPF_20260802_05_POST_QA37_CONTINUITY.md,DATED_CONTROL,최종 State/Handover/Manifest/Script로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260801_03_SELF_DEVELOPMENT_REMEDIATION_REQUEST.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260801_QA37_APPLY_AND_ROLLBACK.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260801_QA37_DEVELOPMENT_GPT_PROMPT.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260801_QA37_EDU_SOURCE_CLOSURE_AND_RECOVERY_REQUEST.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260801_QA37_SELF_DEVELOPMENT_REQUIREMENTS.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260801_QA37_SOURCE_READINESS_REPORT.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260801_QA37_VERIFICATION_READINESS_REPORT.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260802_05_POST_QA37_INTEGRATED_DEVELOPMENT_REQUEST.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260802_05_POST_QA37_SELF_DEVELOPMENT_REQUIREMENTS.csv,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260802_06_QA38_CHANGE_MANIFEST.csv,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_06_QA38_FILES.sha256,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_06_QA38_FINAL_INTEGRATED_REQUEST.md,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_06_QA38_PACKAGE_MANIFEST.json,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_06_QA38_PROTECTED_OWNER_ACTIONS.md,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_06_QA38_PROTECTED_PATHS.md,LOCAL_QA38_DRAFT,최종 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_QA37_CODEX_CREDIT_OPTIMIZATION_REPORT.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260802_QA37_CODEX_CREDIT_OPTIMIZATION_REQUIREMENTS.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_REPORT.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260802_QA37_CODEX_DOCKER_COMPLETION_REQUIREMENTS.md,DATED_CURRENT,최종 요청/Matrix/History에 흡수,cpf-docs/work/current/CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md,YES
cpf-docs/work/current/CPF_20260802_QA38_CHANGE_MANIFEST.csv,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_QA38_CODEX_CONTINUATION_AND_REMEDIATION_REQUEST.md,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_QA38_DELETE_MANIFEST.txt,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_QA38_DELETE_REVIEW.csv,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_QA38_FILES.sha256,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_QA38_PACKAGE_INDEX.md,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
cpf-docs/work/current/CPF_20260802_QA38_PACKAGE_MANIFEST.json,EARLIER_DRAFT,최종 QA38 안정 경로로 대체,CPF_QA38 stable paths,YES
