exec_id,canonical_ref,target_menu_group,route_id,screen_name,menu_code,feature_description,expected_operation_count,expected_operation_ids,required_flow,acceptance,status
BZAUI-001,BZA-BUSINESS,01 Dashboard,dashboard,대시보드,DASHBOARD,고객 업무관리자가 조직·권한·승인·감사·업무지원 현황을 한눈에 보고 필요한 관리업무로 Drill-down하는 시작화면.,1,bzaSupportDashboard,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-002,BZA-ORG,02 조직·인사,organizations,조직,ORGANIZATION,"조직 계층을 Tree/List로 조회·검색하고 상하위 관계, 유효기간, 상태, 책임자, 변경이력을 관리.",3,bzaBackofficeFindOrganizations|bzaBackofficeSaveOrganization|bzaBackofficeFindOrganizationsPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-003,BZA-ORG,02 조직·인사,employees,직원,EMPLOYEE,직원 Profile과 사번·소속·직급·직책·유효기간·연락처 Masking을 조회하고 조직·Role·Assignment와 연결.,4,bzaBackofficeFindEmployees|bzaBackofficeSaveEmployee|bzaBackofficeFindEmployeesPage|bzaBackofficeEmployeeRawContact,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-004,BZA-ORG,02 조직·인사,positions,직급,EMPLOYEE,직급 기준정보를 검색·등록·수정하고 유효기간·사용여부·정렬·참조영향을 관리.,3,bzaDirectoryFindPositions|bzaDirectorySavePosition|bzaDirectoryFindPositionsPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-005,BZA-ORG,02 조직·인사,jobTitles,직책,EMPLOYEE,직책 기준정보를 검색·등록·수정하고 조직 책임·결재 Owner와의 연결영향을 확인.,3,bzaDirectoryFindJobTitles|bzaDirectorySaveJobTitle|bzaDirectoryFindJobTitlesPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-006,BZA-ORG,02 조직·인사,assignments,발령·겸직,EMPLOYEE,겸직·파견·대행·다중소속 Assignment의 기간·우선순위·상태를 관리하고 충돌·중복을 검증.,3,bzaDirectoryFindAssignments|bzaDirectorySaveAssignment|bzaDirectoryFindAssignmentsPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-007,BZA-ORG,02 조직·인사,organizationResponsibilities,조직 책임,ORGANIZATION,조직장·대행·승인 Owner 등 조직 책임을 유효기간과 함께 관리하고 결재 Snapshot에 반영되는 경로를 검증.,3,bzaDirectoryFindResponsibilities|bzaDirectorySaveResponsibility|bzaDirectoryFindResponsibilitiesPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-008,"BZA-BUSINESS, SEC-AUTHZ",03 사용자·권한,users,사용자,AUTHORIZATION,BZA 인증 사용자를 검색·등록·상태관리하고 직원/조직/Role/Session과 연결.,3,bzaOperationFindAdminUsers|bzaOperationSaveAdminUser|bzaOperationFindAdminUsersPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-009,"BZA-BUSINESS, SEC-AUTHZ",03 사용자·권한,roles,역할,AUTHORIZATION,"업무 Role을 관리하고 Permission, User-Role, Menu 접근, Data Scope 영향도를 확인.",3,bzaOperationFindRoles|bzaOperationSaveRole|bzaOperationFindRolesPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-010,"BZA-BUSINESS, SEC-AUTHZ",03 사용자·권한,userRoles,사용자 Role,AUTHORIZATION,사용자별 다중 Role과 유효기간을 관리하고 즉시권한반영/회수와 충돌을 검증.,3,bzaDirectoryFindUserRoles|bzaDirectorySaveUserRole|bzaDirectoryFindUserRolesPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-011,"BZA-BUSINESS, SEC-AUTHZ",03 사용자·권한,menus,메뉴,AUTHORIZATION,BZA 메뉴 Registry와 계층·표시순서·권한연결을 관리하되 내부 구현 Feature를 사용자 메뉴로 그대로 노출하지 않음.,5,bzaOperationFindMenus|bzaOperationSaveMenu|bzaOperationFindMenusPage|bzaOperationDeleteMenu|bzaOperationFindMenuImpact,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-012,"BZA-BUSINESS, SEC-AUTHZ",03 사용자·권한,permissions,권한,AUTHORIZATION,화면·행위·API·Data Scope Permission을 관리하고 Server-side Enforcement와 Frontend 표시를 일치시킴.,3,bzaOperationFindPermissions|bzaOperationSavePermission|bzaOperationFindPermissionsPage,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-013,"BZA-BUSINESS, SEC-AUTHZ",03 사용자·권한,permissionTools,권한 분석,AUTHORIZATION,"Role 비교, Effective Permission, 권한 Simulation으로 변경 전 실제 접근효과를 분석.",3,bzaBackofficeFindEffectivePermissions|bzaSupportCompareRolePermissions|bzaSupportSimulatePermission,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-014,BZA-APPROVAL,04 승인·결재,approvalInbox,결재 처리,APPROVAL,결재 참여자가 처리할 Inbox를 조회하고 승인/반려/대결/만료 상태와 Snapshot을 확인.,1,bzaApprovalInbox,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-015,BZA-APPROVAL,04 승인·결재,approvalSubmissions,결재 상신,APPROVAL,정책 기반 결재상신·취소·회수·재상신·만료·동시승인 처리를 멱등하게 수행.,8,bzaApprovalSubmissions|bzaApprovalPolicySubmit|bzaApprovalExpireDue|bzaApprovalSubmissionDetail|bzaApprovalCancel|bzaApprovalResubmit|bzaApprovalWithdraw|bzaApprovalParticipantDecision,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-016,BZA-APPROVAL,04 승인·결재,approvalPolicies,결재 정책,APPROVAL,"Versioned 결재정책, 순차/병렬, 개인/Role/조직, ALL/ANY/N_OF_M, 유효기간, SoD를 관리.",3,bzaApprovalPolicies|bzaApprovalPolicySave|bzaApprovalPolicyDetail,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-017,BZA-APPROVAL,04 승인·결재,approvalSimulation,경로 Simulation,APPROVAL,정책 적용 전 조직·Role·위임·유효기간을 해석하여 예상 결재경로와 참여자를 시뮬레이션.,1,bzaApprovalPolicySimulate,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-018,BZA-APPROVAL,04 승인·결재,approvalDelegations,결재 위임,APPROVAL,결재 위임·대결의 유효기간·범위·위임자/수임자·충돌을 관리하고 Audit를 남김.,2,bzaApprovalDelegations|bzaApprovalDelegationSave,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-019,"BZA-BUSINESS, SEC-AUTHN",03 사용자·권한,sessions,내 세션,AUTHORIZATION,현재 사용자 Session을 조회하고 개별 Session Revoke를 제공하며 인증상태와 만료를 명확히 표시.,2,bzaAuthSessions|bzaAuthRevokeSession,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-020,"BZA-BUSINESS, SEC-AUDIT",06 감사·다운로드,audits,업무 감사,AUDIT,BZA 업무 변경·승인·다운로드의 Immutable Audit를 조회하고 Actor/Target/Reason/Result/TransactionId를 추적.,2,bzaBusinessAuditVerify|bzaBackofficeFindBusinessAudits,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-021,BZA-BUSINESS,05 업무지원·공통,notifications,알림,SETTING,업무 알림 목록·생성·읽음처리와 관련 업무대상 Drill-down을 제공.,4,bzaSupportFindNotifications|bzaSupportCreateNotification|bzaSupportReadAllNotifications|bzaSupportReadNotification,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-022,"BZA-BUSINESS, SEC-APP",05 업무지원·공통,attachments,첨부파일,ATTACHMENT,첨부 업로드/다운로드/재검사/보안상태를 관리하고 MIME·크기·악성파일·권한을 검증.,5,bzaSupportFindAttachments|bzaSupportUploadAttachment|bzaSupportDownloadAttachment|bzaSupportRecheckAttachment|bzaSupportUpdateAttachmentSecurity,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-023,BZA-BUSINESS,05 업무지원·공통,savedSearches,저장 검색,SETTING,자주 쓰는 검색조건을 사용자별 저장·비활성화하고 각 목록화면에서 재사용.,3,bzaSupportFindSavedSearches|bzaSupportSaveSavedSearch|bzaSupportDisableSavedSearch,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-024,BZA-BUSINESS,07 설정,settings,업무 설정,SETTING,BZA 업무설정의 Scope·현재값·변경가능여부를 조회하고 설정 Owner와 연결.,1,bzaOperationFindSettings,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-025,BZA-BUSINESS,05 업무지원·공통,commonCatalog,공통 코드·메시지,SETTING,고객 업무에서 사용하는 Common 응답코드·다국어 메시지를 검색·등록·수정·비활성화하고 Runtime Refresh를 추적.,11,bzaCommonResponseCodeSearch|bzaCommonResponseCodeDetail|bzaCommonResponseCodeCreate|bzaCommonResponseCodeUpdate|bzaCommonResponseCodeDisable|bzaCommonMessageSearch|bzaCommonMessageDetail|bzaCommonMessageCreate|bzaCommonMessageUpdate|bzaCommonMessageDisable|bzaCommonCatalogRefresh,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-026,"BZA-BUSINESS, SEC-DOWNLOAD",06 감사·다운로드,downloads,다운로드 정책,SETTING,다운로드 정책을 조회하고 민감정보·대량다운로드의 권한·사유·승인·제한을 표현.,1,bzaOperationFindDownloadPolicies,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
BZAUI-027,"BZA-BUSINESS, SEC-DOWNLOAD, SEC-AUDIT",06 감사·다운로드,downloadAudits,다운로드 감사,AUDIT,누가 어떤 조건으로 무엇을 다운로드했는지 검색하고 Row/Size/Masking/Result를 Audit.,1,bzaSupportFindDownloadAudits,Requirement→Menu→Route→Page→Generated Client→Backend→BZA_DB/Owner→Permission/Audit→E2E,Search/Paging/Detail/Validation/Error UX/Permission/Audit/Browser/Screenshot; mock-only 금지,TO_VERIFY
